Layer,Peak_Peel_Force_N,Work_of_Adhesion_mJ,Time_to_Peel_Start_s,Peel_Time_s,Total_Peel_Time_s,Distance_to_Peel_Start_mm,Peak_Retraction_Force_N
1,0.2042,0.1033,0.6051,0.0876,0.6926,1.6307,-0.0145
2,0.0302,0.0136,0.2172,0.0924,0.3096,0.5020,-0.0157
3,0.0254,0.0150,0.2428,0.0539,0.2967,0.5365,-0.0193
4,0.0278,0.0133,0.2178,0.0622,0.2801,0.5084,-0.0133
5,0.0242,0.0139,0.1865,0.0630,0.2495,0.4166,-0.0109
6,0.0242,0.0123,0.2174,0.0625,0.2799,0.4961,-0.0145
7,0.0218,0.0104,0.1856,0.0626,0.2482,0.4132,-0.0133
8,0.0218,0.0113,0.2011,0.0935,0.2946,0.3961,-0.0157
9,0.0230,0.0109,0.1848,0.0316,0.2163,0.4498,-0.0169
10,0.0254,0.0106,0.1718,0.0633,0.2351,0.3830,-0.0157
11,0.0193,0.0111,0.1856,0.0614,0.2470,0.4037,-0.0157
12,0.0254,0.0105,0.1994,0.0616,0.2610,0.4078,-0.0181
13,0.0230,0.0136,0.1885,0.0516,0.2401,0.3997,-0.0193
14,0.0218,0.0110,0.2161,0.0312,0.2473,0.5152,-0.0121
15,0.0193,0.0109,0.1889,0.0603,0.2492,0.4333,-0.0133
16,0.0218,0.0129,0.1877,0.0770,0.2647,0.3934,-0.0169
17,0.0193,0.0134,0.1875,0.0629,0.2504,0.4429,-0.0145
18,0.0181,0.0112,0.2179,0.0621,0.2800,0.4486,-0.0169
19,0.0218,0.0132,0.1237,0.0629,0.1865,0.3717,-0.0109
20,0.0242,0.0139,0.2166,0.0313,0.2479,0.4801,-0.0133
21,0.0230,0.0118,0.1868,0.0618,0.2486,0.4361,-0.0109
22,0.0290,0.0165,0.2217,0.0863,0.3080,0.4879,-0.0121
23,0.0278,0.0143,0.1851,0.0649,0.2500,0.4420,-0.0109
24,0.0242,0.0133,0.1866,0.0315,0.2180,0.4261,-0.0048
25,0.0230,0.0129,0.1860,0.0502,0.2363,0.4162,-0.0097
26,0.0218,0.0135,0.2498,0.0623,0.3122,0.4693,-0.0157
27,0.0230,0.0137,0.0931,0.1762,0.2693,0.0988,-0.0109
28,0.0205,0.0153,0.1246,0.1175,0.2422,0.3409,-0.0157
29,0.0218,0.0145,0.2208,0.0302,0.2510,0.5488,-0.0085
30,0.0205,0.0156,0.2182,0.0319,0.2501,0.5452,-0.0097
31,0.0254,0.0150,0.1449,0.1544,0.2993,0.1931,-0.0097
32,0.0169,0.0136,0.1771,0.0917,0.2688,0.3481,-0.0181
33,0.0278,0.0146,0.2781,0.0299,0.3080,0.4870,-0.0157
34,0.0205,0.0139,0.0918,0.0316,0.1235,0.1342,-0.0169
35,0.0181,0.0140,0.2797,0.0304,0.3101,0.5029,-0.0097
36,0.0242,0.0156,0.2013,0.0308,0.2321,0.4655,-0.0169
37,0.0242,0.0144,0.1867,0.0816,0.2683,0.3703,-0.0193
38,0.0266,0.0147,0.2624,0.0305,0.2929,0.6221,-0.0181
39,0.0266,0.0163,0.1466,0.0855,0.2320,0.4392,-0.0121
40,0.0181,0.0148,0.1961,0.0697,0.2658,0.3997,-0.0181
41,0.0218,0.0141,0.2710,0.0627,0.3337,0.4310,-0.0205
42,0.0205,0.0149,0.1868,0.0907,0.2774,0.4103,-0.0109
43,0.0205,0.0169,0.2600,0.0468,0.3068,0.4837,-0.0133
44,0.0218,0.0162,0.2918,0.0608,0.3526,0.4610,-0.0097
45,0.0242,0.0133,0.2324,0.0368,0.2691,0.4826,-0.0181
46,0.0266,0.0175,0.2019,0.0668,0.2687,0.4318,-0.0109
47,0.0242,0.0143,0.1536,0.0636,0.2172,0.4462,-0.0157
48,0.0205,0.0161,0.1864,0.0676,0.2540,0.3731,-0.0145
49,0.0290,0.0150,0.2622,0.0591,0.3213,0.4447,-0.0060
50,0.0242,0.0157,0.1559,0.0628,0.2188,0.4532,-0.0097
51,0.0254,0.0166,0.2777,0.0387,0.3164,0.4900,-0.0133
52,0.0230,0.0152,0.2479,0.0897,0.3376,0.4048,-0.0181
53,0.0254,0.0165,0.1843,0.0304,0.2147,0.5236,-0.0157
54,0.0254,0.0168,0.2482,0.0914,0.3396,0.4003,-0.0181
55,0.0254,0.0169,0.1843,0.0951,0.2794,0.3688,-0.0109
56,0.0278,0.0166,0.2022,0.0969,0.2990,0.4748,-0.0121
57,0.0242,0.0171,0.1251,0.0621,0.1872,0.3655,-0.0230
58,0.0278,0.0178,0.2214,0.0570,0.2785,0.4532,-0.0085
59,0.0254,0.0180,0.2180,0.0317,0.2496,0.5116,-0.0109
60,0.0278,0.0171,0.2299,0.0624,0.2924,0.5126,-0.0109
61,0.0290,0.0192,0.2178,0.0625,0.2803,0.5236,-0.0193
62,0.0242,0.0172,0.1867,0.0620,0.2487,0.4462,-0.0169
63,0.0254,0.0171,0.1911,0.0562,0.2474,0.4390,-0.0181
64,0.0254,0.0191,0.2130,0.0620,0.2751,0.4555,-0.0133
65,0.0242,0.0189,0.2006,0.0580,0.2586,0.4289,-0.0193
66,0.0242,0.0170,0.2177,0.0613,0.2791,0.4921,-0.0157
67,0.0205,0.0163,0.2296,0.0621,0.2917,0.4435,-0.0169
68,0.0230,0.0145,0.0906,0.0303,0.1209,0.1559,-0.0109
69,0.0230,0.0164,0.1835,0.0921,0.2755,0.3619,-0.0157
70,0.0254,0.0165,0.2380,0.0611,0.2990,0.4691,-0.0157
71,0.0205,0.0166,0.2170,0.0840,0.3009,0.3187,-0.0181
72,0.0242,0.0185,0.2114,0.0624,0.2739,0.4513,-0.0145
73,0.0230,0.0164,0.2226,0.0551,0.2776,0.5132,-0.0133
74,0.0242,0.0156,0.1729,0.0865,0.2593,0.3883,-0.0157
75,0.0266,0.0167,0.2171,0.0313,0.2485,0.4780,-0.0157
76,0.0254,0.0166,0.2280,0.0466,0.2746,0.4970,-0.0133
77,0.0218,0.0174,0.1240,0.1749,0.2990,0.1316,-0.0181
78,0.0254,0.0134,0.1865,0.0623,0.2488,0.4352,-0.0157
79,0.0278,0.0158,0.2611,0.0616,0.3227,0.4300,-0.0085
80,0.0266,0.0179,0.2264,0.0923,0.3188,0.4238,-0.0145
81,0.0290,0.0189,0.1835,0.0929,0.2763,0.3944,-0.0121
82,0.0290,0.0171,0.2309,0.0321,0.2630,0.5242,-0.0181
83,0.0278,0.0196,0.2805,0.0616,0.3421,0.5420,-0.0133
84,0.0230,0.0164,0.2166,0.0513,0.2679,0.4528,-0.0109
85,0.0254,0.0145,0.2488,0.0304,0.2792,0.5693,-0.0109
86,0.0230,0.0172,0.1841,0.0939,0.2781,0.3970,-0.0121
87,0.0278,0.0176,0.1867,0.0935,0.2802,0.3805,-0.0157
88,0.0266,0.0179,0.2166,0.0625,0.2791,0.5164,-0.0145
89,0.0290,0.0170,0.2169,0.0464,0.2633,0.4606,-0.0133
90,0.0302,0.0179,0.2105,0.0774,0.2879,0.4517,-0.0157
91,0.0254,0.0175,0.1864,0.0937,0.2801,0.4037,-0.0085
92,0.0302,0.0188,0.2047,0.0619,0.2667,0.4796,-0.0181
93,0.0266,0.0169,0.2339,0.0626,0.2964,0.4790,-0.0169
94,0.0302,0.0175,0.1537,0.1224,0.2761,0.3340,-0.0121
95,0.0254,0.0171,0.1869,0.0620,0.2489,0.4490,-0.0048
96,0.0302,0.0190,0.2020,0.0525,0.2545,0.4807,-0.0145
97,0.0302,0.0190,0.2599,0.0669,0.3268,0.4540,-0.0073
98,0.0314,0.0183,0.2257,0.0634,0.2891,0.4198,-0.0169
99,0.0326,0.0184,0.1520,0.0930,0.2451,0.4213,-0.0060
100,0.0302,0.0166,0.2622,0.0612,0.3234,0.4934,-0.0157
101,0.0290,0.0177,0.2167,0.0614,0.2781,0.4760,-0.0121
102,0.0278,0.0180,0.1684,0.0648,0.2333,0.4826,-0.0157
103,0.0326,0.0196,0.2134,0.0937,0.3071,0.4942,-0.0145
104,0.0314,0.0188,0.1851,0.0934,0.2785,0.4333,-0.0133
105,0.0302,0.0198,0.1865,0.0620,0.2485,0.4507,-0.0169
106,0.0326,0.0181,0.2105,0.0943,0.3047,0.4513,-0.0157
107,0.0314,0.0183,0.1671,0.0906,0.2576,0.4697,-0.0169
108,0.0375,0.0235,0.2832,0.0555,0.3387,0.5240,-0.0133
109,0.0302,0.0219,0.1545,0.0616,0.2161,0.4657,-0.0121
110,0.0290,0.0221,0.2025,0.0946,0.2971,0.4883,-0.0085
111,0.0314,0.0206,0.2789,0.0605,0.3394,0.5080,-0.0169
112,0.0302,0.0202,0.2001,0.0770,0.2771,0.4651,-0.0181
113,0.0302,0.0193,0.2726,0.0600,0.3326,0.4915,-0.0157
114,0.0350,0.0214,0.2151,0.0769,0.2920,0.4610,-0.0145
115,0.0326,0.0248,0.2212,0.0897,0.3110,0.5426,-0.0085
116,0.0338,0.0221,0.2107,0.0927,0.3034,0.4517,-0.0073
117,0.0350,0.0231,0.2158,0.0931,0.3090,0.4898,-0.0218
118,0.0363,0.0188,0.2306,0.0625,0.2931,0.5027,-0.0133
119,0.0363,0.0229,0.2317,0.0618,0.2935,0.5606,-0.0157
120,0.0338,0.0218,0.2492,0.0611,0.3103,0.4777,-0.0169
121,0.0387,0.0228,0.2502,0.0768,0.3270,0.5443,-0.0133
122,0.0338,0.0186,0.2165,0.1091,0.3256,0.4879,-0.0169
123,0.0375,0.0212,0.2808,0.0918,0.3726,0.5596,-0.0073
124,0.0375,0.0212,0.2167,0.0784,0.2951,0.5426,-0.0121
125,0.0326,0.0173,0.1855,0.0939,0.2793,0.4522,-0.0169
126,0.0375,0.0207,0.2479,0.0307,0.2786,0.6166,-0.0145
127,0.0375,0.0200,0.2331,0.0631,0.2962,0.5797,-0.0060
128,0.0411,0.0220,0.2486,0.0624,0.3110,0.5636,-0.0169
129,0.0363,0.0221,0.2960,0.0613,0.3572,0.5797,-0.0121
130,0.0363,0.0219,0.2158,0.1088,0.3245,0.4961,-0.0145
131,0.0375,0.0215,0.2511,0.0659,0.3170,0.5689,-0.0133
132,0.0375,0.0231,0.2179,0.0927,0.3106,0.5369,-0.0133
133,0.0350,0.0224,0.1543,0.1081,0.2623,0.4575,-0.0169
