Layer,Peak_Peel_Force_N,Work_of_Adhesion_mJ,Time_to_Peel_Start_s,Peel_Time_s,Total_Peel_Time_s,Distance_to_Peel_Start_mm,Peak_Retraction_Force_N
1,0.1317,0.0784,0.7247,0.2165,0.9411,2.0335,-0.0979
2,0.1305,0.0929,0.7256,0.2720,0.9975,2.0764,-0.1015
3,0.1003,0.0755,0.6654,0.3724,1.0378,1.8358,-0.0967
4,0.0810,0.0579,0.7150,0.3275,1.0424,1.9963,-0.0979
5,0.0785,0.0588,0.7288,0.3414,1.0702,2.0155,-0.0943
6,0.0846,0.0596,0.7479,0.3144,1.0623,2.0965,-0.0882
7,0.0834,0.0619,0.7315,0.3408,1.0723,2.0362,-0.0822
8,0.0846,0.0605,0.6387,0.4178,1.0564,1.8043,-0.0798
9,0.0858,0.0605,0.6615,0.3875,1.0490,1.8197,-0.0761
10,0.0906,0.0576,0.6663,0.3738,1.0400,1.8341,-0.0785
11,0.0906,0.0646,0.6493,0.3552,1.0045,1.7506,-0.0810
12,0.0870,0.0587,0.6201,0.3600,0.9801,1.7239,-0.0810
13,0.0882,0.0642,0.6526,0.2785,0.9311,1.8235,-0.0701
14,0.0894,0.0561,0.6513,0.2326,0.8840,1.8448,-0.0713
15,0.0894,0.0555,0.6241,0.2024,0.8265,1.7087,-0.0701
16,0.0967,0.0585,0.5964,0.2475,0.8439,1.6288,-0.0616
17,0.0955,0.0642,0.5085,0.3698,0.8783,1.4089,-0.0689
18,0.1063,0.0678,0.6006,0.2653,0.8659,1.6406,-0.0677
19,0.1039,0.0654,0.4633,0.3557,0.8190,1.3919,-0.0604
20,0.1233,0.0679,0.6053,0.2640,0.8693,1.6996,-0.0616
21,0.1233,0.0718,0.5882,0.2946,0.8829,1.5911,-0.0616
22,0.1148,0.0756,0.6750,0.2190,0.8940,1.7218,-0.0580
23,0.1378,0.0803,0.6220,0.2629,0.8848,1.7051,-0.0604
24,0.1378,0.0871,0.6434,0.2478,0.8911,1.7761,-0.0568
25,0.1390,0.0787,0.6203,0.2619,0.8822,1.7212,-0.0592
26,0.1329,0.0793,0.5738,0.2998,0.8736,1.5748,-0.0532
27,0.1583,0.0880,0.6528,0.2172,0.8700,1.8049,-0.0544
28,0.1498,0.0889,0.5917,0.2641,0.8558,1.6525,-0.0556
29,0.1631,0.0986,0.6707,0.2648,0.9355,1.8085,-0.0532
30,0.1680,0.0977,0.6663,0.2168,0.8831,1.8472,-0.0532
31,0.1631,0.0949,0.6380,0.2192,0.8572,1.7639,-0.0508
32,0.1740,0.1055,0.6674,0.2009,0.8682,1.8499,-0.0520
33,0.1740,0.1071,0.6512,0.2479,0.8991,1.7683,-0.0508
34,0.1716,0.0991,0.7180,0.1559,0.8739,2.0041,-0.0508
35,0.1921,0.1135,0.6397,0.2798,0.9194,1.8040,-0.0447
36,0.1728,0.1188,0.6948,0.2166,0.9114,1.9235,-0.0471
37,0.1511,0.1001,0.6074,0.2808,0.8882,1.6768,-0.0520
38,0.1752,0.1046,0.6764,0.2183,0.8947,1.8370,-0.0447
39,0.1825,0.1092,0.6692,0.2495,0.9187,1.8436,-0.0508
40,0.1752,0.1187,0.6811,0.2317,0.9128,1.8880,-0.0471
41,0.2054,0.1270,0.6994,0.2066,0.9061,1.9430,-0.0471
42,0.1897,0.1310,0.6679,0.2499,0.9178,1.8853,-0.0459
43,0.2066,0.1394,0.7140,0.2171,0.9311,2.0425,-0.0471
44,0.1958,0.1240,0.6666,0.2347,0.9013,1.8926,-0.0459
45,0.1789,0.1218,0.6660,0.2634,0.9294,1.8643,-0.0483
46,0.2006,0.1417,0.6711,0.2574,0.9284,1.8616,-0.0471
47,0.1909,0.1257,0.7076,0.2200,0.9276,1.9318,-0.0435
48,0.1946,0.1231,0.6686,0.2204,0.8889,1.8863,-0.0447
