Elapsed Time (s),Position (mm),Force (N)
-0.012,56.2001,-0.029003
0.019,56.2001,-0.031420
0.050,56.2001,-0.027794
0.080,56.2001,-0.024169
0.111,56.2001,-0.027794
0.143,56.2001,-0.027794
0.174,56.2001,-0.027794
0.206,56.2001,-0.027794
0.236,56.2001,-0.021752
0.268,56.2001,-0.022961
0.299,56.2001,-0.025377
0.330,56.2001,-0.024169
0.361,56.2001,-0.025377
0.381,56.2001,-0.020544
0.407,56.2001,-0.022961
0.438,56.2001,-0.025377
0.470,56.2001,-0.024169
0.499,56.2001,-0.025377
0.530,56.2001,-0.022961
0.561,56.2001,-0.026586
0.593,56.2001,-0.024169
0.624,56.2001,-0.024169
0.654,56.2001,-0.025377
0.685,56.2001,-0.024169
0.716,56.2001,-0.024169
0.747,56.2001,-0.022961
0.778,56.2001,-0.024169
0.809,56.2001,-0.025377
0.839,56.2001,-0.020544
0.861,56.2001,-0.022961
0.886,56.2001,-0.022961
0.917,56.2001,-0.024169
0.948,56.2001,-0.022961
0.979,56.2001,-0.020544
1.010,56.2001,-0.022961
1.042,56.2001,-0.020544
1.073,56.2001,-0.022961
1.105,56.2001,-0.027794
1.135,56.2001,-0.025377
1.167,56.2001,-0.020544
1.198,56.2001,-0.020544
1.229,56.2001,-0.021752
1.260,56.2001,-0.024169
1.291,56.2001,-0.020544
1.322,56.2001,-0.019335
1.354,56.2001,-0.025377
1.386,56.2001,-0.024169
1.417,56.2001,-0.016918
1.448,56.2001,-0.016918
1.468,56.2001,-0.019335
1.494,56.2001,-0.024169
1.525,56.2001,-0.014501
1.556,56.2001,-0.019335
1.588,56.2001,-0.019335
1.619,56.2001,-0.020544
1.650,56.2001,-0.018127
1.681,56.2001,-0.019335
1.713,56.2001,-0.019335
1.745,56.2001,-0.020544
1.774,56.2001,-0.016918
1.805,56.2001,-0.020544
1.835,56.2001,-0.019335
1.866,56.2001,-0.018127
1.899,56.2001,-0.022961
1.929,56.2001,-0.018127
1.961,56.2001,-0.022961
1.992,56.2001,-0.016918
2.022,56.2001,-0.016918
2.057,56.2001,-0.021752
2.084,56.2001,-0.021752
2.115,56.2001,-0.019335
2.146,56.2001,-0.016918
2.178,56.2001,-0.018127
2.209,56.2001,-0.021752
2.240,56.2001,-0.022961
2.271,56.2001,-0.016918
2.303,56.2001,-0.019335
2.333,56.2001,-0.016918
2.364,56.2001,-0.016918
2.394,56.2001,-0.016918
2.426,56.2001,-0.018127
2.457,56.2001,-0.019335
2.488,56.2001,-0.020544
2.519,56.2001,-0.020544
2.540,56.2001,-0.021752
2.565,56.2001,-0.021752
2.597,56.2001,-0.024169
2.628,56.2001,-0.022961
2.649,56.2001,-0.020544
2.675,56.2001,-0.020544
2.706,56.2001,-0.019335
2.737,56.2001,-0.019335
2.768,56.2001,-0.020544
2.798,56.2001,-0.018127
2.829,56.2001,-0.020544
2.860,56.2001,-0.019335
2.890,56.2001,-0.016918
2.922,56.2001,-0.016918
2.953,56.2001,-0.022961
2.984,56.2001,-0.020544
3.017,56.2001,-0.019335
3.047,56.2001,-0.020544
3.077,56.2001,-0.020544
3.108,56.2001,-0.024169
3.128,56.2001,-0.020544
3.154,56.2001,-0.019335
3.185,56.2001,-0.019335
3.206,56.2001,-0.020544
3.232,56.2001,-0.020544
3.263,56.2001,-0.020544
3.294,56.2001,-0.019335
3.324,56.2001,-0.021752
3.357,56.2001,-0.021752
3.387,56.2001,-0.016918
3.419,56.2001,-0.016918
3.450,56.2001,-0.021752
3.481,56.2001,-0.018127
3.513,56.2001,-0.015710
3.544,56.2001,-0.015710
3.575,56.2001,-0.016918
3.607,56.2001,-0.016918
3.638,56.2001,-0.014501
3.668,56.2001,-0.019335
3.699,56.2001,-0.022961
3.730,56.2001,-0.019335
3.750,56.2001,-0.019335
3.778,56.2001,-0.024169
3.798,56.2001,-0.019335
3.830,56.2001,-0.019335
3.854,56.2001,-0.018127
3.886,56.2001,-0.019335
3.917,56.2001,-0.019335
3.949,56.2001,-0.013293
3.979,56.2001,-0.014501
4.010,56.2001,-0.015710
4.042,56.2001,-0.016918
4.074,56.2001,-0.015710
4.105,56.2001,-0.018127
4.136,56.2001,-0.016918
4.168,56.2001,-0.016918
4.198,56.2001,-0.015710
4.230,56.2001,-0.013293
4.260,56.2001,-0.019335
4.292,56.2001,-0.014501
4.322,56.2001,-0.015710
4.353,56.2001,-0.018127
4.374,56.2001,-0.018127
4.399,56.2001,-0.019335
4.429,56.2001,-0.018127
4.460,56.2001,-0.016918
4.491,56.2001,-0.019335
4.521,56.2001,-0.019335
4.552,56.2001,-0.021752
4.583,56.2001,-0.021752
4.615,56.2001,-0.019335
4.647,56.2001,-0.016918
4.679,56.2001,-0.020544
4.710,56.2001,-0.018127
4.741,56.2001,-0.014501
4.773,56.2001,-0.014501
4.803,56.2001,-0.014501
4.834,56.2001,-0.018127
4.854,56.2001,-0.018127
4.881,56.2001,-0.015710
4.901,56.2001,-0.015710
4.928,56.2001,-0.016918
4.959,56.2001,-0.016918
4.990,56.2001,-0.016918
5.021,56.2001,-0.018127
5.053,56.2001,-0.018127
5.084,56.2001,-0.019335
5.115,56.2001,-0.015710
5.146,56.2001,-0.019335
5.177,56.2001,-0.021752
5.209,56.2001,-0.018127
5.240,56.2001,-0.018127
5.271,56.2001,-0.019335
5.303,56.2001,-0.019335
5.334,56.2001,-0.020544
5.365,56.2001,-0.018127
5.397,56.2001,-0.019335
5.427,56.2001,-0.020544
5.457,56.2001,-0.012084
