Layer,Peak_Peel_Force_N,Work_of_Adhesion_mJ,Time_to_Peel_Start_s,Peel_Time_s,Total_Peel_Time_s,Distance_to_Peel_Start_mm,Peak_Retraction_Force_N
1,0.0447,0.0090,24.1826,5.7057,29.8884,1.2081,-0.1015
2,0.0145,0.0019,25.5849,0.0615,25.6463,1.2772,-0.0918
3,0.0133,0.0017,21.9961,0.0293,22.0254,1.0981,-0.0846
4,0.0181,0.0037,8.8059,0.2014,9.0072,1.1968,-0.0822
5,0.0193,0.0036,8.2990,0.1402,8.4392,1.1253,-0.0785
6,0.0169,0.0039,8.3695,0.0618,8.4313,1.1354,-0.0761
7,0.0314,0.0084,4.0393,2.2348,6.2741,0.8886,-0.0701
8,0.0338,0.0087,4.2071,1.8737,6.0808,0.9302,-0.0701
9,0.0363,0.0092,4.2766,1.7394,6.0160,0.9422,-0.0665
10,0.0326,0.0103,3.2932,1.1339,4.4271,1.0036,-0.0628
11,0.0435,0.0130,3.1507,1.2894,4.4401,0.9648,-0.0616
12,0.0459,0.0139,2.8893,1.5026,4.3919,0.8839,-0.0568
13,0.0616,0.0215,2.8283,0.9132,3.7415,1.1016,-0.0568
14,0.0653,0.0223,2.9620,0.7698,3.7318,1.1525,-0.0544
15,0.0773,0.0290,3.5034,0.5150,4.0184,1.3656,-0.0544
16,0.0810,0.0317,2.7717,0.6076,3.3792,1.3104,-0.0520
17,0.0798,0.0306,2.6512,0.6204,3.2715,1.2648,-0.0520
18,0.0773,0.0308,2.8420,0.4027,3.2447,1.3682,-0.0447
19,0.0931,0.0416,2.2940,0.6716,2.9655,1.2750,-0.0495
20,0.0931,0.0406,2.1969,0.8231,3.0199,1.2182,-0.0447
21,0.0943,0.0425,2.2818,0.6181,2.8999,1.2988,-0.0447
22,0.1088,0.0514,2.0288,0.6948,2.7236,1.3242,-0.0447
23,0.1076,0.0510,2.0773,0.6413,2.7186,1.3309,-0.0459
24,0.1329,0.0582,2.1890,0.6232,2.8121,1.4080,-0.0411
25,0.1269,0.0610,1.9504,0.5599,2.5103,1.4082,-0.0411
26,0.1583,0.0740,2.1538,0.4665,2.6203,1.5720,-0.0411
27,0.1486,0.0643,1.9733,0.5593,2.5326,1.4261,-0.0411
28,0.1631,0.0768,1.9143,0.4954,2.4097,1.5399,-0.0411
29,0.1656,0.0759,1.9978,0.3973,2.3951,1.6154,-0.0411
30,0.1897,0.0881,2.0242,0.4706,2.4947,1.6252,-0.0435
31,0.1994,0.0944,1.9707,0.3598,2.3305,1.7615,-0.0387
32,0.2429,0.1171,2.1747,0.3237,2.4984,1.9283,-0.0411
33,0.2211,0.1093,2.0888,0.3263,2.4151,1.8639,-0.0411
34,0.2514,0.1223,2.0170,0.3072,2.3242,1.9652,-0.0435
35,0.2308,0.1176,1.9727,0.3255,2.2982,1.9112,-0.0435
36,0.2538,0.1292,2.0740,0.2497,2.3237,2.0208,-0.0399
37,0.2453,0.1247,1.9204,0.2197,2.1401,2.0335,-0.0387
38,0.2381,0.1312,1.8403,0.3413,2.1816,1.9583,-0.0387
39,0.2634,0.1359,1.9581,0.2164,2.1745,2.0719,-0.0387
40,0.2659,0.1472,1.7832,0.3264,2.1096,2.0362,-0.0387
41,0.2308,0.1173,1.6668,0.2495,1.9163,1.8983,-0.0363
42,0.2755,0.1533,1.7859,0.2929,2.0788,2.0526,-0.0387
43,0.2707,0.1442,1.6798,0.2670,1.9469,2.0551,-0.0411
44,0.2538,0.1363,1.7092,0.2077,1.9169,2.0743,-0.0387
45,0.2429,0.1290,1.5824,0.2940,1.8764,1.9298,-0.0375
46,0.2755,0.1522,1.5962,0.2495,1.8457,2.0822,-0.0375
47,0.2381,0.1264,1.4725,0.2813,1.7537,1.9145,-0.0350
48,0.2634,0.1373,1.5505,0.2236,1.7741,1.9971,-0.0363
49,0.2381,0.1262,1.4254,0.2330,1.6584,1.9506,-0.0375
50,0.2695,0.1432,1.4478,0.2489,1.6966,1.9984,-0.0375
