Elapsed Time (s),Position (mm),Force (N)
-0.007,51.2001,-0.031420
0.023,51.2001,-0.031420
0.053,51.2001,-0.031420
0.084,51.2001,-0.032628
0.115,51.2001,-0.032628
0.146,51.2001,-0.032628
0.177,51.2001,-0.030211
0.209,51.2001,-0.032628
0.240,51.2001,-0.027794
0.270,51.2001,-0.027794
0.294,51.2001,-0.027794
0.318,51.2001,-0.031420
0.349,51.2001,-0.030211
0.381,51.2001,-0.030211
0.412,51.2001,-0.030211
0.442,51.2001,-0.029003
0.473,51.2001,-0.029003
0.505,51.2001,-0.029003
0.536,51.2001,-0.029003
0.567,51.2001,-0.025377
0.599,51.2001,-0.024169
0.629,51.2001,-0.025377
0.660,51.2001,-0.021752
0.692,51.2001,-0.025377
0.722,51.2001,-0.026586
0.753,51.2001,-0.026586
0.786,51.2001,-0.025377
0.815,51.2001,-0.025377
0.846,51.2001,-0.027794
0.878,51.2001,-0.025377
0.910,51.2001,-0.025377
0.942,51.2001,-0.024169
0.972,51.2001,-0.024169
1.002,51.2001,-0.026586
1.033,51.2001,-0.026586
1.054,51.2001,-0.026586
1.080,51.2001,-0.026586
1.112,51.2001,-0.021752
1.142,51.2001,-0.022961
1.173,51.2001,-0.025377
1.204,51.2001,-0.024169
1.235,51.2001,-0.022961
1.266,51.2001,-0.025377
1.297,51.2001,-0.022961
1.328,51.2001,-0.019335
1.359,51.2001,-0.021752
1.392,51.2001,-0.021752
1.423,51.2001,-0.018127
1.455,51.2001,-0.016918
1.486,51.2001,-0.018127
1.516,51.2001,-0.024169
1.547,51.2001,-0.029003
1.579,51.2001,-0.022961
1.609,51.2001,-0.021752
1.630,51.2001,-0.021752
1.656,51.2001,-0.022961
1.687,51.2001,-0.019335
1.717,51.2001,-0.021752
1.748,51.2001,-0.020544
1.779,51.2001,-0.022961
1.810,51.2001,-0.021752
1.841,51.2001,-0.022961
1.872,51.2001,-0.022961
1.902,51.2001,-0.019335
1.933,51.2001,-0.019335
1.964,51.2001,-0.020544
1.995,51.2001,-0.021752
2.026,51.2001,-0.021752
2.057,51.2001,-0.021752
2.077,51.2001,-0.020544
2.104,51.2001,-0.027794
2.126,51.2001,-0.022961
2.152,51.2001,-0.020544
2.174,51.2001,-0.018127
2.197,51.2001,-0.021752
2.227,51.2001,-0.024169
2.258,51.2001,-0.018127
2.289,51.2001,-0.018127
2.321,51.2001,-0.022961
2.353,51.2001,-0.022961
2.386,51.2001,-0.019335
2.416,51.2001,-0.018127
2.449,51.2001,-0.022961
2.478,51.2001,-0.018127
2.510,51.2001,-0.016918
2.541,51.2001,-0.018127
2.571,51.2001,-0.019335
2.603,51.2001,-0.022961
2.633,51.2001,-0.025377
2.653,51.2001,-0.021752
2.680,51.2001,-0.022961
2.712,51.2001,-0.022961
2.734,51.2001,-0.020544
2.757,51.2001,-0.021752
2.787,51.2001,-0.020544
2.818,51.2001,-0.020544
2.850,51.2001,-0.021752
2.882,51.2001,-0.021752
2.913,51.2001,-0.019335
2.944,51.2001,-0.022961
2.975,51.2001,-0.022961
3.006,51.2001,-0.021752
3.037,51.2001,-0.022961
3.069,51.2001,-0.019335
3.100,51.2001,-0.018127
3.131,51.2001,-0.021752
3.162,51.2001,-0.018127
3.193,51.2001,-0.018127
3.213,51.2001,-0.018127
3.240,51.2001,-0.022961
3.261,51.2001,-0.022961
3.286,51.2001,-0.022961
3.317,51.2001,-0.020544
3.349,51.2001,-0.021752
3.380,51.2001,-0.018127
3.411,51.2001,-0.018127
3.441,51.2001,-0.015710
3.472,51.2001,-0.019335
3.503,51.2001,-0.020544
3.534,51.2001,-0.019335
3.566,51.2001,-0.020544
3.597,51.2001,-0.024169
3.628,51.2001,-0.024169
3.659,51.2001,-0.016918
3.690,51.2001,-0.018127
3.711,51.2001,-0.018127
3.737,51.2001,-0.020544
3.768,51.2001,-0.021752
3.792,51.2001,-0.019335
3.815,51.2001,-0.019335
3.846,51.2001,-0.020544
3.877,51.2001,-0.016918
3.909,51.2001,-0.016918
3.940,51.2001,-0.015710
3.971,51.2001,-0.018127
4.001,51.2001,-0.021752
4.031,51.2001,-0.020544
4.062,51.2001,-0.021752
4.094,51.2001,-0.021752
4.125,51.2001,-0.016918
4.156,51.2001,-0.018127
4.188,51.2001,-0.019335
4.219,51.2001,-0.020544
4.250,51.2001,-0.019335
4.281,51.2001,-0.022961
4.312,51.2001,-0.021752
4.332,51.2001,-0.019335
4.360,51.2001,-0.013293
4.381,51.2001,-0.013293
4.404,51.2001,-0.018127
4.438,51.2001,-0.018127
4.466,51.2001,-0.015710
4.500,51.2001,-0.018127
4.527,51.2001,-0.018127
4.559,51.2001,-0.019335
4.589,51.2001,-0.016918
4.619,51.2001,-0.020544
4.650,51.2001,-0.019335
4.681,51.2001,-0.015710
4.713,51.2001,-0.013293
4.742,51.2001,-0.014501
4.773,51.2001,-0.014501
4.806,51.2001,-0.015710
4.835,51.2001,-0.015710
4.867,51.2001,-0.014501
4.898,51.2001,-0.016918
4.928,51.2001,-0.016918
4.960,51.2001,-0.015710
4.991,51.2001,-0.018127
5.023,51.2001,-0.014501
5.054,51.2001,-0.014501
5.085,51.2001,-0.020544
5.116,51.2001,-0.018127
5.147,51.2001,-0.015710
5.179,51.2001,-0.020544
5.210,51.2001,-0.016918
5.232,51.2001,-0.016918
5.257,51.2001,-0.015710
5.277,51.2001,-0.015710
5.303,51.2001,-0.018127
5.324,51.2001,-0.019335
5.356,51.2001,-0.019335
5.380,51.2001,-0.019335
5.412,51.2001,-0.015710
5.432,51.2001,-0.021752
5.458,51.2001,-0.021752
5.489,51.2001,-0.013293
5.520,51.2001,-0.013293
5.552,51.2001,-0.018127
5.583,51.2001,-0.016918
5.615,51.2001,-0.015710
5.645,51.2001,-0.015710
5.676,51.2001,-0.018127
5.706,51.2001,-0.013293
5.738,51.2001,-0.013293
5.769,51.2001,-0.016918
5.801,51.2001,-0.018127
5.831,51.2001,-0.015710
5.862,51.2001,-0.016918
5.894,51.2001,-0.020544
5.924,51.2001,-0.020544
5.955,51.2001,-0.018127
5.975,51.2001,-0.019335
6.002,51.2001,-0.019335
6.033,51.2001,-0.018127
6.064,51.2001,-0.020544
6.095,51.2001,-0.018127
6.126,51.2001,-0.021752
6.157,51.2001,-0.022961
6.193,51.2001,-0.014501
6.219,51.2001,-0.016918
6.251,51.2001,-0.018127
6.283,51.2001,-0.014501
6.313,51.2001,-0.014501
6.345,51.2001,-0.019335
6.377,51.2001,-0.020544
6.408,51.2001,-0.019335
6.439,51.2001,-0.015710
6.470,51.2001,-0.019335
6.501,51.2001,-0.019335
6.525,51.2001,-0.015710
6.548,51.2001,-0.015710
6.580,51.2001,-0.020544
6.600,51.2001,-0.020544
6.627,51.2001,-0.018127
6.647,51.2001,-0.015710
6.673,51.2001,-0.015710
6.704,51.2001,-0.018127
6.734,51.2001,-0.016918
6.765,51.2001,-0.015710
6.796,51.2001,-0.019335
6.827,51.2001,-0.025377
6.858,51.2001,-0.019335
6.889,51.2001,-0.015710
6.919,51.2001,-0.016918
6.950,51.2001,-0.015710
6.981,51.2001,-0.019335
7.012,51.2001,-0.016918
7.045,51.2001,-0.021752
7.076,51.2001,-0.019335
7.097,51.2001,-0.018127
7.122,51.2001,-0.016918
7.153,51.2001,-0.019335
7.184,51.2001,-0.016918
7.215,51.2001,-0.021752
7.247,51.2001,-0.019335
7.277,51.2001,-0.016918
7.308,51.2001,-0.016918
7.339,51.2001,-0.014501
7.370,51.2001,-0.014501
7.402,51.2001,-0.018127
7.432,51.2001,-0.018127
7.464,51.2001,-0.014501
7.494,51.2001,-0.018127
7.525,51.2001,-0.016918
7.556,51.2001,-0.014501
7.587,51.2001,-0.016918
7.607,51.2001,-0.018127
7.633,51.2001,-0.018127
7.664,51.2001,-0.016918
7.695,51.2001,-0.012084
7.726,51.2001,-0.016918
7.757,51.2001,-0.015710
7.788,51.2001,-0.013293
7.820,51.2001,-0.016918
7.851,51.2001,-0.016918
7.882,51.2001,-0.013293
7.913,51.2001,-0.013293
7.944,51.2001,-0.016918
7.975,51.2001,-0.019335
8.006,51.2001,-0.018127
8.037,51.2001,-0.015710
8.067,51.2001,-0.018127
8.088,51.2001,-0.016918
8.114,51.2001,-0.015710
8.135,51.2001,-0.015710
8.163,51.2001,-0.020544
8.183,51.2001,-0.020544
8.208,51.2001,-0.019335
8.243,51.2001,-0.016918
8.263,51.2001,-0.016918
8.285,51.2001,-0.016918
8.315,51.2001,-0.013293
8.348,51.2001,-0.022961
8.378,51.2001,-0.020544
