Layer,Peak_Peel_Force_N,Work_of_Adhesion_mJ,Time_to_Peel_Start_s,Peel_Time_s,Total_Peel_Time_s,Distance_to_Peel_Start_mm,Peak_Retraction_Force_N
1,0.1825,0.1090,4.3368,0.9304,5.2672,2.1446,-0.1027
2,0.1583,0.0829,4.3034,0.6688,4.9722,2.1287,-0.0967
3,0.1221,0.0592,3.7687,0.7601,4.5288,1.8518,-0.0918
4,0.0979,0.0451,3.3333,0.7615,4.0948,1.6402,-0.0870
5,0.0870,0.0390,3.0546,0.8863,3.9410,1.5043,-0.0834
6,0.0822,0.0360,2.9856,0.7892,3.7747,1.4638,-0.0785
7,0.2115,0.1733,0.5422,0.1703,0.7125,2.4487,-0.0991
8,0.2042,0.1465,0.4794,0.2182,0.6975,2.1952,-0.0955
9,0.1776,0.1281,0.4797,0.2482,0.7279,2.2067,-0.0894
10,0.2284,0.1778,0.5239,0.1558,0.6797,2.5801,-0.0894
11,0.2332,0.1812,0.4948,0.1701,0.6649,2.3535,-0.0967
12,0.2369,0.1791,0.5133,0.1235,0.6368,2.5460,-0.0894
13,0.2284,0.1528,0.4488,0.1550,0.6038,2.3607,-0.0834
14,0.2344,0.1733,0.4474,0.1567,0.6041,2.3901,-0.0822
15,0.1970,0.1616,0.4347,0.2028,0.6375,2.2929,-0.0773
16,0.2864,0.2319,0.4470,0.1252,0.5722,2.6767,-0.0773
17,0.2175,0.1816,0.4032,0.2315,0.6348,2.2432,-0.0810
18,0.3057,0.2448,0.4803,0.1354,0.6157,2.7573,-0.0701
19,0.2804,0.2345,0.4218,0.1412,0.5631,2.5266,-0.0713
20,0.2719,0.1880,0.4204,0.1415,0.5619,2.5204,-0.0677
21,0.2586,0.1940,0.4006,0.1395,0.5401,2.5008,-0.0725
22,0.2876,0.2178,0.3865,0.1359,0.5224,2.4787,-0.0689
23,0.3420,0.2561,0.4474,0.0615,0.5089,2.9640,-0.0665
24,0.3239,0.2342,0.4164,0.0781,0.4945,2.8186,-0.0665
25,0.2973,0.2415,0.4043,0.0937,0.4980,2.7172,-0.0665
26,0.3142,0.1945,0.3721,0.0928,0.4649,2.6220,-0.0604
27,0.3686,0.3170,0.3883,0.1085,0.4969,2.7988,-0.0653
28,0.3118,0.2196,0.3846,0.0931,0.4777,2.7124,-0.0628
29,0.2683,0.2359,0.3333,0.1483,0.4816,2.2695,-0.0616
30,0.3504,0.1998,0.3878,0.0919,0.4797,2.7591,-0.0580
31,0.3722,0.3056,0.3584,0.0920,0.4504,2.9147,-0.0592
32,0.3130,0.2310,0.3421,0.0773,0.4194,2.5753,-0.0592
33,0.3492,0.2387,0.3697,0.0902,0.4599,2.7409,-0.0568
34,0.4024,0.3589,0.3574,0.0930,0.4504,3.0562,-0.0568
35,0.3819,0.2706,0.3551,0.0941,0.4492,2.8890,-0.0459
36,0.4471,0.3258,0.3711,0.0931,0.4642,3.1549,-0.0592
37,0.3130,0.2504,0.3256,0.1249,0.4504,2.5585,-0.0616
38,0.2598,0.1686,0.3252,0.0928,0.4180,2.5135,-0.0520
39,0.3432,0.2972,0.3538,0.0604,0.4141,2.8964,-0.0544
40,0.2949,0.2178,0.3419,0.0618,0.4037,2.7795,-0.0544
41,0.2755,0.1876,0.2958,0.1254,0.4212,2.5411,-0.0604
42,0.2792,0.2026,0.2802,0.1082,0.3884,2.4089,-0.0568
43,0.3372,0.3128,0.3185,0.1168,0.4353,2.7046,-0.0568
44,0.3770,0.2530,0.3269,0.1236,0.4505,2.6382,-0.0544
45,0.3964,0.3242,0.3854,0.0624,0.4477,3.2084,-0.0556
46,0.4592,0.3865,0.3732,0.0932,0.4664,3.3063,-0.0640
47,0.2949,0.2172,0.3373,0.0640,0.4014,2.8891,-0.0640
48,0.4677,0.3875,0.3536,0.0825,0.4361,3.2095,-0.0544
49,0.4858,0.3895,0.3425,0.0940,0.4364,3.1953,-0.0616
50,0.4798,0.3562,0.3442,0.0927,0.4369,3.0497,-0.0592
51,0.4761,0.4181,0.3732,0.0628,0.4360,3.4689,-0.0628
52,0.4483,0.3662,0.3414,0.1246,0.4660,2.8864,-0.0556
53,0.3251,0.2583,0.3401,0.1237,0.4638,2.9590,-0.0544
54,0.3166,0.2554,0.3077,0.0935,0.4012,2.7794,-0.0520
55,0.3347,0.2698,0.3270,0.0922,0.4193,2.8911,-0.0616
56,0.4411,0.3695,0.3535,0.0915,0.4450,3.1561,-0.0580
57,0.3722,0.3034,0.3235,0.0785,0.4020,2.8668,-0.0653
58,0.3094,0.2675,0.2927,0.0788,0.3716,2.8067,-0.0556
59,0.4012,0.2644,0.3140,0.0927,0.4068,2.8976,-0.0653
60,0.4145,0.3367,0.3418,0.0636,0.4055,3.2892,-0.0568
61,0.4133,0.3878,0.2984,0.1181,0.4165,2.7837,-0.0653
62,0.4181,0.2980,0.3359,0.0939,0.4298,3.0353,-0.0616
63,0.4544,0.3585,0.3843,0.0611,0.4454,3.3928,-0.0604
64,0.4133,0.3988,0.2996,0.1189,0.4185,2.8808,-0.0520
65,0.4471,0.4487,0.3864,0.0626,0.4491,3.4421,-0.0544
66,0.3517,0.2738,0.2827,0.0937,0.3764,2.6400,-0.0592
67,0.2985,0.2189,0.3053,0.0930,0.3984,2.7439,-0.0689
68,0.3227,0.2754,0.2962,0.0827,0.3789,2.6801,-0.0544
69,0.4205,0.3529,0.3431,0.0800,0.4231,3.2214,-0.0532
