Elapsed Time (s),Position (mm),Force (N)
-0.011,61.2001,-0.022961
0.020,61.2001,-0.027794
0.053,61.2001,-0.019335
0.082,61.2001,-0.026586
0.113,61.2001,-0.024169
0.144,61.2001,-0.026586
0.176,61.2001,-0.022961
0.206,61.2001,-0.022961
0.237,61.2001,-0.022961
0.268,61.2001,-0.027794
0.300,61.2001,-0.024169
0.331,61.2001,-0.022961
0.362,61.2001,-0.025377
0.394,61.2001,-0.024169
0.425,61.2001,-0.020544
0.445,61.2001,-0.024169
0.475,61.2001,-0.024169
0.504,61.2001,-0.022961
0.534,61.2001,-0.020544
0.565,61.2001,-0.022961
0.599,61.2001,-0.021752
0.619,61.2001,-0.021752
0.643,61.2001,-0.021752
0.674,61.2001,-0.022961
0.704,61.2001,-0.022961
0.736,61.2001,-0.022961
0.767,61.2001,-0.021752
0.798,61.2001,-0.024169
0.828,61.2001,-0.024169
0.859,61.2001,-0.024169
0.893,61.2001,-0.025377
0.921,61.2001,-0.024169
0.953,61.2001,-0.022961
0.983,61.2001,-0.020544
1.014,61.2001,-0.018127
1.035,61.2001,-0.018127
1.060,61.2001,-0.024169
1.092,61.2001,-0.024169
1.125,61.2001,-0.021752
1.155,61.2001,-0.021752
1.186,61.2001,-0.025377
1.216,61.2001,-0.025377
1.247,61.2001,-0.020544
1.280,61.2001,-0.021752
1.310,61.2001,-0.019335
1.342,61.2001,-0.020544
1.373,61.2001,-0.019335
1.404,61.2001,-0.020544
1.436,61.2001,-0.019335
1.467,61.2001,-0.020544
1.498,61.2001,-0.025377
1.529,61.2001,-0.022961
1.561,61.2001,-0.018127
1.592,61.2001,-0.022961
1.623,61.2001,-0.024169
1.655,61.2001,-0.015710
1.686,61.2001,-0.018127
1.707,61.2001,-0.018127
1.733,61.2001,-0.020544
1.762,61.2001,-0.022961
1.792,61.2001,-0.019335
1.824,61.2001,-0.018127
1.855,61.2001,-0.020544
1.886,61.2001,-0.021752
1.916,61.2001,-0.019335
1.948,61.2001,-0.019335
1.979,61.2001,-0.019335
2.010,61.2001,-0.021752
2.041,61.2001,-0.021752
2.072,61.2001,-0.018127
2.103,61.2001,-0.021752
2.134,61.2001,-0.016918
2.155,61.2001,-0.016918
2.180,61.2001,-0.018127
2.211,61.2001,-0.024169
2.242,61.2001,-0.020544
2.273,61.2001,-0.021752
2.304,61.2001,-0.020544
2.334,61.2001,-0.019335
2.366,61.2001,-0.020544
2.398,61.2001,-0.020544
2.428,61.2001,-0.020544
2.459,61.2001,-0.015710
2.490,61.2001,-0.016918
2.521,61.2001,-0.020544
2.553,61.2001,-0.022961
2.583,61.2001,-0.018127
2.615,61.2001,-0.016918
2.645,61.2001,-0.016918
2.667,61.2001,-0.020544
2.691,61.2001,-0.020544
2.722,61.2001,-0.020544
2.752,61.2001,-0.018127
2.784,61.2001,-0.021752
2.815,61.2001,-0.021752
2.847,61.2001,-0.016918
2.878,61.2001,-0.021752
2.910,61.2001,-0.021752
2.939,61.2001,-0.016918
2.970,61.2001,-0.015710
3.000,61.2001,-0.021752
3.031,61.2001,-0.021752
3.062,61.2001,-0.016918
