Layer,Peak_Peel_Force_N,Work_of_Adhesion_mJ,Time_to_Peel_Start_s,Peel_Time_s,Total_Peel_Time_s,Distance_to_Peel_Start_mm,Peak_Retraction_Force_N
1,0.0205,0.0049,17.0702,0.2390,17.3092,0.8515,-0.0616
2,0.0193,0.0050,17.5521,0.0475,17.5996,0.8756,-0.0520
3,0.0169,0.0044,15.7528,0.0149,15.7677,0.7851,-0.0471
4,0.0266,0.0083,6.4648,0.7634,7.2282,0.8745,-0.0447
5,0.0266,0.0077,5.6310,0.3768,6.0078,0.7609,-0.0423
6,0.0254,0.0083,5.3008,2.2603,7.5610,0.7144,-0.0411
7,0.0326,0.0109,4.3289,0.7327,5.0616,0.9633,-0.0447
8,0.0363,0.0113,4.1057,0.9155,5.0212,0.8977,-0.0399
9,0.0350,0.0110,4.3620,0.5797,4.9417,0.9586,-0.0411
10,0.0387,0.0137,2.7876,0.9801,3.7677,0.8604,-0.0387
11,0.0411,0.0141,3.1166,0.6520,3.7686,0.9625,-0.0399
12,0.0411,0.0138,3.2531,0.5574,3.8104,0.9909,-0.0375
13,0.0459,0.0167,2.4134,0.7548,3.1682,0.9278,-0.0387
14,0.0483,0.0170,2.0077,1.0981,3.1058,0.7720,-0.0399
15,0.0471,0.0168,2.4588,0.6446,3.1035,0.9494,-0.0363
16,0.0520,0.0188,2.0601,0.5672,2.6273,0.9666,-0.0423
17,0.0508,0.0189,1.7992,0.8284,2.6277,0.8398,-0.0375
18,0.0520,0.0207,1.9782,0.7474,2.7256,0.9288,-0.0375
19,0.0568,0.0236,1.6517,0.7301,2.3817,0.9100,-0.0375
20,0.0592,0.0231,1.8129,0.6164,2.4293,1.0012,-0.0375
21,0.0544,0.0229,1.4925,0.8972,2.3897,0.8178,-0.0363
22,0.0604,0.0244,1.8578,0.3140,2.1718,1.1829,-0.0375
23,0.0604,0.0256,1.4698,0.7084,2.1781,0.9208,-0.0363
24,0.0616,0.0254,1.6173,0.5406,2.1579,1.0222,-0.0363
25,0.0665,0.0289,1.6082,0.3508,1.9590,1.1532,-0.0375
26,0.0653,0.0280,1.4675,0.4957,1.9632,1.0481,-0.0375
27,0.0628,0.0273,1.4712,0.5068,1.9780,1.0399,-0.0387
28,0.0653,0.0291,1.5343,0.2878,1.8221,1.2276,-0.0350
29,0.0665,0.0292,1.2144,0.6148,1.8293,0.9603,-0.0350
30,0.0665,0.0299,1.5300,0.3016,1.8316,1.2235,-0.0375
31,0.0701,0.0317,1.1837,0.5076,1.6913,1.0272,-0.0375
32,0.0749,0.0318,1.4341,0.2565,1.6905,1.2552,-0.0387
33,0.0713,0.0319,1.2793,0.4226,1.7019,1.1214,-0.0387
34,0.0761,0.0348,1.1728,0.4233,1.5962,1.1197,-0.0375
35,0.0725,0.0345,1.2280,0.3822,1.6102,1.1609,-0.0375
36,0.0737,0.0339,1.3352,0.2796,1.6148,1.2680,-0.0411
37,0.0773,0.0372,1.2763,0.2254,1.5017,1.3279,-0.0375
38,0.0785,0.0361,1.0865,0.4303,1.5168,1.1219,-0.0387
39,0.0713,0.0347,1.2533,0.2725,1.5258,1.3060,-0.0387
40,0.0785,0.0381,1.1174,0.3659,1.4833,1.2178,-0.0375
41,0.0773,0.0372,0.9755,0.4159,1.3914,1.1346,-0.0447
42,0.0761,0.0384,1.0581,0.3744,1.4325,1.1724,-0.0363
43,0.0761,0.0379,0.9687,0.4071,1.3758,1.1420,-0.0387
44,0.0810,0.0395,1.0453,0.3119,1.3572,1.2365,-0.0387
45,0.0810,0.0393,1.1624,0.2074,1.3698,1.3810,-0.0387
46,0.0810,0.0413,1.0775,0.2076,1.2851,1.3768,-0.0399
47,0.0810,0.0416,0.9065,0.3958,1.3023,1.1428,-0.0375
48,0.0810,0.0417,0.9973,0.3039,1.3012,1.2633,-0.0387
49,0.0810,0.0439,0.8853,0.3768,1.2622,1.1883,-0.0435
50,0.0822,0.0445,0.9061,0.3471,1.2532,1.2138,-0.0411
51,0.0858,0.0460,1.0110,0.2388,1.2498,1.3639,-0.0411
52,0.0810,0.0440,0.8579,0.3356,1.1935,1.2060,-0.0375
53,0.0858,0.0480,0.9199,0.3035,1.2234,1.2891,-0.0387
54,0.0834,0.0459,0.9710,0.2703,1.2413,1.3008,-0.0435
55,0.0918,0.0501,0.8747,0.2405,1.1152,1.3626,-0.0375
