Elapsed Time (s),Position (mm),Force (N)
-0.018,64.0999,-0.026586
0.001,64.0999,-0.026586
0.015,64.0999,-0.024169
0.032,64.0999,-0.025377
0.047,64.0999,-0.029003
0.063,64.0999,-0.035045
0.078,64.0999,-0.024169
0.095,64.0999,-0.024169
0.111,64.0999,-0.024169
0.126,64.0999,-0.026586
0.142,64.0999,-0.019335
0.158,64.0999,-0.027794
0.175,64.0999,-0.027794
0.190,64.0999,-0.027794
0.206,64.0999,-0.022961
0.223,64.0999,-0.024169
0.240,64.0999,-0.024169
0.255,64.0999,-0.022961
0.270,64.0999,-0.018127
0.286,64.0999,-0.026586
0.303,64.0999,-0.030211
0.318,64.0999,-0.031420
0.343,64.0999,-0.019335
0.367,64.0999,-0.018127
0.382,64.0999,-0.025377
0.398,64.0999,-0.021752
0.414,64.0999,-0.029003
0.430,64.0999,-0.029003
0.447,64.0999,-0.019335
0.478,64.0999,-0.026586
0.493,64.0999,-0.026586
0.510,64.0999,-0.022961
0.525,64.0999,-0.021752
0.541,64.0999,-0.021752
0.557,64.0999,-0.021752
0.573,64.0999,-0.029003
0.590,64.0999,-0.022961
0.606,64.0999,-0.022961
0.622,64.0999,-0.026586
0.638,64.0999,-0.020544
0.653,64.0999,-0.022961
0.672,64.0999,-0.027794
0.685,64.0999,-0.020544
0.701,64.0999,-0.020544
0.717,64.0999,-0.020544
0.733,64.0999,-0.021752
0.749,64.0999,-0.021752
0.765,64.0999,-0.022961
0.781,64.0999,-0.022961
0.797,64.0999,-0.030211
0.813,64.0999,-0.029003
0.829,64.0999,-0.030211
0.847,64.0999,-0.026586
0.861,64.0999,-0.022961
0.878,64.0999,-0.024169
0.893,64.0999,-0.024169
0.910,64.0999,-0.020544
0.926,64.0999,-0.024169
0.942,64.0999,-0.021752
0.957,64.0999,-0.024169
0.976,64.0999,-0.020544
0.990,64.0999,-0.021752
1.006,64.0999,-0.018127
1.022,64.0999,-0.026586
1.037,64.0999,-0.021752
1.059,64.0999,-0.030211
1.075,64.0999,-0.026586
1.091,64.0999,-0.024169
1.107,64.0999,-0.021752
1.123,64.0999,-0.031420
1.139,64.0999,-0.022961
1.155,64.0999,-0.024169
1.174,64.0999,-0.025377
1.187,64.0999,-0.018127
1.203,64.0999,-0.020544
1.219,64.0999,-0.020544
1.236,64.0999,-0.026586
1.251,64.0999,-0.020544
1.267,64.0999,-0.022961
1.283,64.0999,-0.018127
1.299,64.0999,-0.018127
1.315,64.0999,-0.018127
1.331,64.0999,-0.015710
1.347,64.0999,-0.020544
1.363,64.0999,-0.020544
1.380,64.0999,-0.025377
1.399,64.0999,-0.025377
1.411,64.0999,-0.013293
1.427,64.0999,-0.010876
1.443,64.0999,-0.020544
1.460,64.0999,-0.020544
1.475,64.0999,-0.026586
1.491,64.0999,-0.025377
1.507,64.0999,-0.025377
1.523,64.0999,-0.022961
1.541,64.0999,-0.022961
1.555,64.0999,-0.024169
1.571,64.0999,-0.024169
1.587,64.0999,-0.026586
1.610,64.0999,-0.025377
1.626,64.0999,-0.021752
1.642,64.0999,-0.022961
1.658,64.0999,-0.019335
1.674,64.0999,-0.020544
1.690,64.0999,-0.020544
1.708,64.0999,-0.026586
1.722,64.0999,-0.021752
1.738,64.0999,-0.021752
1.754,64.0999,-0.020544
1.770,64.0999,-0.018127
1.786,64.0999,-0.019335
1.802,64.0999,-0.018127
1.818,64.0999,-0.018127
1.834,64.0999,-0.020544
1.850,64.0999,-0.020544
1.866,64.0999,-0.021752
1.882,64.0999,-0.021752
1.898,64.0999,-0.024169
1.914,64.0999,-0.025377
1.929,64.0999,-0.019335
1.946,64.0999,-0.027794
1.962,64.0999,-0.018127
1.978,64.0999,-0.016918
1.993,64.0999,-0.019335
2.010,64.0999,-0.019335
2.025,64.0999,-0.024169
2.042,64.0999,-0.022961
2.058,64.0999,-0.020544
2.074,64.0999,-0.020544
2.093,64.0999,-0.020544
2.105,64.0999,-0.013293
2.121,64.0999,-0.016918
2.137,64.0999,-0.015710
2.161,64.0999,-0.024169
2.177,64.0999,-0.022961
2.192,64.0999,-0.019335
2.208,64.0999,-0.019335
2.224,64.0999,-0.024169
2.240,64.0999,-0.024169
2.256,64.0999,-0.018127
2.272,64.0999,-0.019335
2.288,64.0999,-0.020544
2.304,64.0999,-0.022961
2.321,64.0999,-0.022961
2.336,64.0999,-0.019335
2.353,64.0999,-0.020544
2.369,64.0999,-0.025377
2.384,64.0999,-0.027794
2.400,64.0999,-0.015710
2.417,64.0999,-0.020544
2.433,64.0999,-0.015710
2.449,64.0999,-0.014501
2.465,64.0999,-0.014501
2.480,64.0999,-0.026586
2.496,64.0999,-0.021752
2.513,64.0999,-0.021752
2.529,64.0999,-0.021752
2.544,64.0999,-0.025377
2.560,64.0999,-0.020544
2.576,64.0999,-0.018127
2.593,64.0999,-0.018127
2.613,64.0999,-0.013293
2.625,64.0999,-0.024169
2.641,64.0999,-0.018127
2.657,64.0999,-0.021752
2.672,64.0999,-0.020544
2.688,64.0999,-0.025377
2.704,64.0999,-0.022961
2.726,64.0999,-0.024169
2.742,64.0999,-0.019335
2.758,64.0999,-0.019335
2.775,64.0999,-0.018127
2.790,64.0999,-0.016918
2.806,64.0999,-0.013293
2.824,64.0999,-0.020544
2.840,64.0999,-0.020544
2.854,64.0999,-0.024169
2.871,64.0999,-0.015710
2.886,64.0999,-0.020544
2.903,64.0999,-0.020544
2.919,64.0999,-0.020544
2.938,64.0999,-0.016918
2.950,64.0999,-0.018127
2.967,64.0999,-0.021752
2.982,64.0999,-0.019335
2.998,64.0999,-0.019335
3.016,64.0999,-0.019335
3.030,64.0999,-0.016918
3.046,64.0999,-0.018127
3.062,64.0999,-0.018127
3.081,64.0999,-0.022961
3.094,64.0999,-0.022961
3.110,64.0999,-0.014501
3.126,64.0999,-0.013293
3.144,64.0999,-0.021752
3.158,64.0999,-0.021752
3.174,64.0999,-0.019335
3.190,64.0999,-0.019335
3.206,64.0999,-0.019335
3.222,64.0999,-0.021752
3.238,64.0999,-0.020544
3.268,64.0999,-0.024169
3.284,64.0999,-0.026586
3.300,64.0999,-0.014501
3.316,64.0999,-0.022961
3.334,64.0999,-0.016918
3.348,64.0999,-0.020544
3.364,64.0999,-0.013293
3.380,64.0999,-0.019335
3.396,64.0999,-0.012084
3.412,64.0999,-0.012084
3.429,64.0999,-0.025377
3.444,64.0999,-0.024169
3.460,64.0999,-0.020544
3.476,64.0999,-0.014501
3.492,64.0999,-0.013293
3.508,64.0999,-0.015710
3.524,64.0999,-0.015710
3.540,64.0999,-0.020544
3.556,64.0999,-0.024169
3.573,64.0999,-0.016918
3.589,64.0999,-0.015710
3.605,64.0999,-0.016918
3.620,64.0999,-0.021752
3.636,64.0999,-0.019335
3.652,64.0999,-0.021752
3.668,64.0999,-0.018127
3.684,64.0999,-0.019335
3.700,64.0999,-0.016918
3.716,64.0999,-0.014501
3.732,64.0999,-0.019335
3.748,64.0999,-0.022961
3.764,64.0999,-0.022961
3.780,64.0999,-0.022961
3.799,64.0999,-0.019335
3.823,64.0999,-0.018127
3.839,64.0999,-0.018127
3.855,64.0999,-0.015710
3.871,64.0999,-0.019335
3.887,64.0999,-0.019335
3.904,64.0999,-0.015710
3.919,64.0999,-0.015710
3.935,64.0999,-0.014501
3.951,64.0999,-0.014501
3.967,64.0999,-0.019335
3.984,64.0999,-0.020544
3.999,64.0999,-0.020544
4.015,64.0999,-0.020544
4.031,64.0999,-0.019335
4.047,64.0999,-0.019335
4.063,64.0999,-0.020544
4.079,64.0999,-0.015710
4.094,64.0999,-0.018127
4.111,64.0999,-0.016918
4.127,64.0999,-0.018127
4.142,64.0999,-0.019335
4.159,64.0999,-0.020544
4.174,64.0999,-0.016918
4.191,64.0999,-0.012084
4.207,64.0999,-0.013293
4.222,64.0999,-0.014501
4.239,64.0999,-0.021752
4.255,64.0999,-0.021752
4.273,64.0999,-0.016918
4.286,64.0999,-0.015710
4.303,64.0999,-0.013293
4.319,64.0999,-0.013293
4.335,64.0999,-0.020544
4.352,64.0999,-0.021752
4.375,64.0999,-0.020544
4.391,64.0999,-0.020544
4.407,64.0999,-0.014501
4.423,64.0999,-0.018127
4.440,64.0999,-0.018127
4.455,64.0999,-0.018127
4.471,64.0999,-0.020544
4.488,64.0999,-0.019335
4.503,64.0999,-0.021752
4.520,64.0999,-0.021752
4.539,64.0999,-0.021752
