Layer,Peak_Peel_Force_N,Work_of_Adhesion_mJ,Time_to_Peel_Start_s,Peel_Time_s,Total_Peel_Time_s,Distance_to_Peel_Start_mm,Peak_Retraction_Force_N
1,0.0205,0.0027,25.9472,0.0614,26.0086,1.2951,-0.1015
2,0.0145,0.0026,21.7196,0.0617,21.7814,1.0837,-0.0810
3,0.0121,0.0022,18.4360,0.0558,18.4917,0.9196,-0.0653
4,0.0193,0.0045,7.9630,0.4689,8.4319,1.0822,-0.0580
5,0.0181,0.0045,7.8015,0.2497,8.0511,1.0501,-0.0556
6,0.0205,0.0051,6.6495,1.3502,7.9997,0.9007,-0.0495
7,0.0266,0.0081,4.0206,1.3570,5.3776,0.8868,-0.0483
8,0.0266,0.0081,3.5207,1.8520,5.3727,0.7753,-0.0459
9,0.0314,0.0083,4.0182,1.2615,5.2797,0.8854,-0.0423
10,0.0350,0.0119,3.2406,0.8538,4.0944,0.9859,-0.0435
11,0.0350,0.0119,2.7119,1.3794,4.0912,0.8269,-0.0387
12,0.0363,0.0125,2.8066,1.2267,4.0334,0.8506,-0.0411
13,0.0435,0.0157,2.7101,0.6531,3.3632,1.0615,-0.0387
14,0.0459,0.0163,2.7587,0.6192,3.3780,1.0478,-0.0387
15,0.0447,0.0165,2.7412,0.6047,3.3460,1.0662,-0.0375
16,0.0508,0.0194,2.2722,0.6335,2.9057,1.0704,-0.0387
17,0.0495,0.0200,2.1877,0.6999,2.8876,1.0226,-0.0375
18,0.0495,0.0206,2.0167,0.8550,2.8716,0.9465,-0.0363
19,0.0592,0.0255,2.1616,0.4503,2.6119,1.1934,-0.0363
20,0.0544,0.0241,1.7833,0.7136,2.4969,0.9922,-0.0399
21,0.0568,0.0242,2.0422,0.4970,2.5392,1.1420,-0.0350
22,0.0592,0.0258,1.6697,0.5742,2.2439,1.0695,-0.0363
23,0.0580,0.0256,1.9131,0.3639,2.2770,1.2076,-0.0375
24,0.0592,0.0250,1.5577,0.7309,2.2887,0.9780,-0.0375
25,0.0628,0.0288,1.5204,0.5403,2.0607,1.0998,-0.0375
26,0.0604,0.0273,1.5435,0.5404,2.0839,1.1114,-0.0350
27,0.0653,0.0300,1.7065,0.4016,2.1082,1.2366,-0.0387
28,0.0640,0.0297,1.4603,0.4516,1.9119,1.1631,-0.0363
29,0.0653,0.0304,1.4867,0.4484,1.9351,1.1764,-0.0363
30,0.0640,0.0297,1.3969,0.5115,1.9083,1.1197,-0.0375
31,0.0725,0.0332,1.3655,0.4158,1.7813,1.2199,-0.0387
32,0.0761,0.0356,1.3936,0.4201,1.8137,1.2246,-0.0363
33,0.0665,0.0316,1.2214,0.5599,1.7812,1.0744,-0.0375
34,0.0846,0.0418,1.3442,0.4017,1.7459,1.2928,-0.0375
35,0.0725,0.0362,1.2566,0.4180,1.6746,1.2121,-0.0399
36,0.0773,0.0363,1.2465,0.4487,1.6952,1.1973,-0.0363
37,0.0785,0.0391,1.2366,0.3408,1.5775,1.2887,-0.0363
38,0.0834,0.0438,1.3676,0.3406,1.7082,1.4341,-0.0375
39,0.0834,0.0428,1.3674,0.3692,1.7366,1.4310,-0.0399
40,0.1136,0.0609,1.3788,0.3260,1.7048,1.5570,-0.0363
41,0.0906,0.0441,1.2090,0.3573,1.5662,1.3706,-0.0399
42,0.0882,0.0435,1.1966,0.3419,1.5384,1.3638,-0.0411
43,0.0906,0.0499,1.2138,0.3254,1.5392,1.4657,-0.0411
44,0.0834,0.0466,1.1474,0.3224,1.4699,1.3939,-0.0387
45,0.0785,0.0409,1.1017,0.3413,1.4431,1.3066,-0.0387
46,0.0834,0.0427,0.9609,0.4342,1.3951,1.2329,-0.0399
47,0.0834,0.0418,1.0231,0.3318,1.3549,1.3232,-0.0387
48,0.0846,0.0422,1.0564,0.3119,1.3683,1.3679,-0.0375
49,0.0918,0.0500,0.9510,0.4368,1.3878,1.2900,-0.0411
50,0.0918,0.0486,0.9828,0.3559,1.3387,1.3468,-0.0387
51,0.0931,0.0512,0.9588,0.3698,1.3285,1.2959,-0.0375
52,0.1015,0.0523,1.0028,0.3043,1.3071,1.4390,-0.0350
53,0.0906,0.0500,0.9705,0.3115,1.2820,1.3899,-0.0399
