Elapsed Time (s),Position (mm),Force (N)
-0.016,56.6000,-0.027794
0.001,56.6000,-0.024169
0.015,56.6000,-0.020544
0.031,56.6000,-0.025377
0.046,56.6000,-0.018127
0.063,56.6000,-0.029003
0.079,56.6000,-0.029003
0.094,56.6000,-0.027794
0.110,56.6000,-0.020544
0.126,56.6000,-0.021752
0.142,56.6000,-0.019335
0.159,56.6000,-0.021752
0.175,56.6000,-0.016918
0.192,56.6000,-0.015710
0.206,56.6000,-0.030211
0.225,56.6000,-0.024169
0.239,56.6000,-0.019335
0.255,56.6000,-0.019335
0.271,56.6000,-0.016918
0.286,56.6000,-0.025377
0.303,56.6000,-0.025377
0.320,56.6000,-0.020544
0.337,56.6000,-0.020544
0.350,56.6000,-0.015710
0.366,56.6000,-0.018127
0.382,56.6000,-0.018127
0.398,56.6000,-0.026586
0.414,56.6000,-0.020544
0.430,56.6000,-0.016918
0.446,56.6000,-0.015710
0.462,56.6000,-0.019335
0.479,56.6000,-0.015710
0.495,56.6000,-0.016918
0.510,56.6000,-0.021752
0.526,56.6000,-0.018127
0.543,56.6000,-0.016918
0.559,56.6000,-0.014501
0.574,56.6000,-0.013293
0.590,56.6000,-0.014501
0.607,56.6000,-0.021752
0.622,56.6000,-0.021752
0.639,56.6000,-0.019335
0.654,56.6000,-0.019335
0.670,56.6000,-0.014501
0.687,56.6000,-0.010876
0.702,56.6000,-0.016918
0.718,56.6000,-0.013293
0.735,56.6000,-0.013293
0.752,56.6000,-0.021752
0.769,56.6000,-0.021752
0.782,56.6000,-0.019335
0.799,56.6000,-0.015710
0.815,56.6000,-0.012084
0.830,56.6000,-0.012084
0.848,56.6000,-0.014501
0.863,56.6000,-0.014501
0.878,56.6000,-0.014501
0.896,56.6000,-0.012084
0.912,56.6000,-0.014501
0.927,56.6000,-0.018127
0.942,56.6000,-0.015710
0.960,56.6000,-0.014501
0.974,56.6000,-0.013293
0.991,56.6000,-0.013293
1.006,56.6000,-0.014501
1.022,56.6000,-0.014501
1.038,56.6000,-0.012084
1.054,56.6000,-0.012084
1.072,56.6000,-0.012084
1.087,56.6000,-0.018127
1.102,56.6000,-0.019335
1.130,56.6000,-0.014501
1.145,56.6000,-0.013293
1.162,56.6000,-0.015710
1.177,56.6000,-0.014501
1.194,56.6000,-0.014501
1.209,56.6000,-0.018127
1.225,56.6000,-0.021752
1.241,56.6000,-0.012084
1.258,56.6000,-0.016918
1.273,56.6000,-0.013293
1.290,56.6000,-0.010876
1.305,56.6000,-0.018127
1.323,56.6000,-0.018127
1.337,56.6000,-0.018127
1.353,56.6000,-0.016918
1.369,56.6000,-0.013293
1.385,56.6000,-0.009668
1.402,56.6000,-0.012084
1.417,56.6000,-0.015710
1.433,56.6000,-0.010876
1.451,56.6000,-0.016918
1.465,56.6000,-0.016918
1.482,56.6000,-0.009668
1.497,56.6000,-0.015710
1.513,56.6000,-0.016918
1.529,56.6000,-0.013293
1.546,56.6000,-0.014501
1.561,56.6000,-0.020544
1.577,56.6000,-0.013293
1.593,56.6000,-0.014501
1.610,56.6000,-0.014501
1.625,56.6000,-0.019335
1.642,56.6000,-0.022961
1.672,56.6000,-0.019335
1.687,56.6000,-0.018127
1.703,56.6000,-0.007251
1.720,56.6000,-0.007251
1.735,56.6000,-0.012084
1.751,56.6000,-0.009668
1.768,56.6000,-0.015710
1.783,56.6000,-0.014501
1.801,56.6000,-0.019335
1.815,56.6000,-0.015710
1.831,56.6000,-0.013293
1.847,56.6000,-0.012084
1.864,56.6000,-0.012084
1.879,56.6000,-0.018127
1.895,56.6000,-0.013293
1.913,56.6000,-0.013293
1.927,56.6000,-0.013293
1.943,56.6000,-0.012084
1.960,56.6000,-0.015710
1.975,56.6000,-0.010876
1.991,56.6000,-0.018127
2.007,56.6000,-0.016918
2.028,56.6000,-0.014501
2.039,56.6000,-0.014501
2.055,56.6000,-0.012084
2.071,56.6000,-0.001208
2.087,56.6000,-0.009668
2.104,56.6000,-0.016918
2.119,56.6000,-0.016918
2.135,56.6000,-0.014501
2.152,56.6000,-0.014501
2.167,56.6000,-0.018127
2.183,56.6000,-0.008459
2.213,56.6000,-0.016918
2.229,56.6000,-0.014501
2.245,56.6000,-0.010876
2.261,56.6000,-0.009668
2.278,56.6000,-0.010876
2.293,56.6000,-0.007251
2.309,56.6000,-0.014501
2.325,56.6000,-0.014501
2.341,56.6000,-0.014501
2.357,56.6000,-0.020544
2.374,56.6000,-0.020544
2.389,56.6000,-0.009668
2.405,56.6000,-0.012084
2.421,56.6000,-0.009668
2.437,56.6000,-0.012084
2.453,56.6000,-0.016918
2.469,56.6000,-0.012084
2.484,56.6000,-0.012084
2.500,56.6000,-0.014501
2.519,56.6000,-0.003625
2.533,56.6000,-0.008459
2.548,56.6000,-0.013293
2.564,56.6000,-0.012084
2.581,56.6000,-0.008459
2.597,56.6000,-0.012084
2.612,56.6000,-0.012084
2.628,56.6000,-0.010876
2.648,56.6000,-0.010876
2.660,56.6000,-0.015710
2.677,56.6000,-0.015710
2.693,56.6000,-0.015710
2.709,56.6000,-0.018127
2.725,56.6000,-0.018127
2.742,56.6000,-0.012084
2.770,56.6000,-0.007251
2.785,56.6000,-0.019335
2.801,56.6000,-0.016918
2.817,56.6000,-0.013293
2.833,56.6000,-0.013293
2.849,56.6000,-0.013293
2.865,56.6000,-0.007251
2.880,56.6000,-0.012084
2.899,56.6000,-0.018127
2.913,56.6000,-0.018127
2.928,56.6000,-0.014501
2.945,56.6000,-0.016918
2.961,56.6000,-0.008459
2.976,56.6000,-0.013293
2.992,56.6000,-0.013293
3.008,56.6000,-0.018127
3.024,56.6000,-0.018127
3.040,56.6000,-0.018127
3.058,56.6000,-0.016918
3.072,56.6000,-0.010876
3.089,56.6000,-0.009668
3.104,56.6000,-0.012084
3.123,56.6000,-0.012084
3.136,56.6000,-0.016918
3.152,56.6000,-0.018127
3.168,56.6000,-0.014501
3.185,56.6000,-0.010876
3.200,56.6000,-0.013293
3.216,56.6000,-0.009668
3.232,56.6000,-0.010876
3.251,56.6000,-0.014501
3.266,56.6000,-0.014501
3.281,56.6000,-0.014501
3.296,56.6000,-0.008459
3.327,56.6000,-0.009668
3.342,56.6000,-0.008459
3.358,56.6000,-0.014501
3.374,56.6000,-0.012084
3.392,56.6000,-0.012084
3.407,56.6000,-0.008459
3.425,56.6000,-0.010876
3.439,56.6000,-0.009668
3.455,56.6000,-0.010876
3.470,56.6000,-0.014501
3.486,56.6000,-0.013293
3.503,56.6000,-0.013293
3.518,56.6000,-0.009668
3.534,56.6000,-0.009668
3.550,56.6000,-0.015710
3.566,56.6000,-0.014501
3.582,56.6000,-0.016918
3.598,56.6000,-0.016918
3.615,56.6000,-0.015710
3.631,56.6000,-0.009668
3.647,56.6000,-0.009668
3.662,56.6000,-0.009668
3.681,56.6000,-0.014501
3.694,56.6000,-0.015710
3.710,56.6000,-0.010876
3.726,56.6000,-0.009668
3.742,56.6000,-0.012084
3.758,56.6000,-0.013293
3.774,56.6000,-0.008459
3.790,56.6000,-0.012084
3.806,56.6000,-0.016918
3.822,56.6000,-0.014501
3.838,56.6000,-0.012084
3.870,56.6000,-0.007251
3.889,56.6000,-0.008459
3.902,56.6000,-0.010876
3.918,56.6000,-0.013293
3.934,56.6000,-0.013293
3.952,56.6000,-0.008459
3.967,56.6000,-0.016918
3.981,56.6000,-0.016918
3.998,56.6000,-0.009668
4.015,56.6000,-0.016918
4.030,56.6000,-0.019335
4.046,56.6000,-0.018127
4.063,56.6000,-0.018127
4.078,56.6000,-0.010876
4.094,56.6000,-0.010876
4.112,56.6000,-0.008459
4.126,56.6000,-0.012084
4.142,56.6000,-0.009668
4.158,56.6000,-0.015710
4.174,56.6000,-0.018127
4.190,56.6000,-0.008459
4.206,56.6000,-0.004834
4.222,56.6000,-0.010876
4.238,56.6000,-0.012084
4.254,56.6000,-0.007251
4.270,56.6000,-0.006042
4.286,56.6000,-0.019335
4.302,56.6000,-0.015710
4.318,56.6000,-0.009668
4.334,56.6000,-0.009668
4.350,56.6000,-0.014501
4.366,56.6000,-0.012084
4.381,56.6000,-0.015710
4.398,56.6000,-0.013293
4.421,56.6000,-0.013293
4.437,56.6000,-0.013293
4.454,56.6000,-0.013293
4.471,56.6000,-0.003625
4.485,56.6000,-0.014501
4.500,56.6000,-0.018127
4.516,56.6000,-0.015710
4.533,56.6000,-0.003625
4.550,56.6000,-0.001208
4.564,56.6000,-0.009668
4.580,56.6000,-0.013293
4.596,56.6000,-0.007251
4.614,56.6000,-0.007251
4.629,56.6000,-0.013293
4.644,56.6000,-0.010876
4.661,56.6000,-0.007251
4.678,56.6000,-0.009668
4.693,56.6000,-0.012084
4.708,56.6000,-0.015710
4.724,56.6000,-0.009668
4.742,56.6000,-0.012084
4.756,56.6000,-0.012084
4.773,56.6000,-0.007251
4.789,56.6000,-0.010876
4.804,56.6000,-0.008459
4.820,56.6000,-0.010876
4.838,56.6000,-0.022961
4.852,56.6000,-0.020544
4.868,56.6000,-0.009668
4.884,56.6000,-0.013293
4.902,56.6000,-0.007251
4.917,56.6000,-0.007251
4.934,56.6000,-0.013293
4.948,56.6000,-0.009668
4.964,56.6000,-0.008459
4.980,56.6000,-0.006042
4.996,56.6000,-0.008459
5.012,56.6000,-0.004834
5.029,56.6000,-0.014501
5.045,56.6000,-0.007251
5.061,56.6000,-0.010876
5.076,56.6000,-0.013293
5.092,56.6000,-0.009668
5.109,56.6000,-0.013293
5.126,56.6000,-0.013293
5.140,56.6000,-0.014501
5.156,56.6000,-0.012084
5.172,56.6000,-0.012084
5.188,56.6000,-0.013293
5.204,56.6000,-0.013293
5.220,56.6000,-0.012084
5.236,56.6000,-0.013293
5.252,56.6000,-0.013293
5.269,56.6000,-0.008459
5.284,56.6000,-0.014501
5.300,56.6000,-0.014501
5.316,56.6000,-0.012084
5.333,56.6000,-0.008459
5.349,56.6000,-0.012084
5.364,56.6000,-0.012084
5.380,56.6000,-0.008459
5.399,56.6000,-0.014501
5.412,56.6000,-0.015710
5.428,56.6000,-0.010876
5.444,56.6000,-0.008459
5.463,56.6000,-0.007251
5.476,56.6000,-0.015710
5.493,56.6000,-0.016918
5.520,56.6000,-0.009668
5.536,56.6000,-0.012084
5.552,56.6000,-0.014501
5.568,56.6000,-0.008459
5.585,56.6000,-0.009668
5.600,56.6000,-0.009668
5.619,56.6000,-0.013293
5.632,56.6000,-0.009668
5.648,56.6000,-0.008459
5.664,56.6000,-0.008459
5.680,56.6000,-0.002417
5.696,56.6000,-0.013293
5.712,56.6000,-0.012084
5.728,56.6000,-0.014501
5.744,56.6000,-0.013293
5.763,56.6000,-0.013293
5.776,56.6000,-0.013293
5.792,56.6000,-0.013293
5.808,56.6000,-0.012084
5.825,56.6000,-0.010876
5.840,56.6000,-0.013293
5.857,56.6000,-0.013293
5.872,56.6000,-0.014501
5.889,56.6000,-0.013293
5.904,56.6000,-0.008459
5.920,56.6000,-0.013293
5.936,56.6000,-0.014501
5.953,56.6000,-0.014501
5.968,56.6000,-0.010876
5.985,56.6000,-0.013293
6.000,56.6000,-0.007251
6.016,56.6000,-0.010876
6.032,56.6000,-0.010876
6.048,56.6000,-0.010876
6.072,56.6000,-0.013293
6.087,56.6000,-0.014501
6.103,56.6000,-0.010876
6.119,56.6000,-0.016918
6.137,56.6000,-0.012084
6.151,56.6000,-0.009668
6.167,56.6000,-0.009668
6.183,56.6000,-0.014501
6.205,56.6000,-0.014501
6.222,56.6000,-0.015710
6.238,56.6000,-0.010876
6.254,56.6000,-0.015710
6.269,56.6000,-0.015710
6.285,56.6000,-0.007251
6.301,56.6000,-0.006042
6.312,56.6000,-0.013293
6.327,56.6000,-0.008459
