Elapsed Time (s),Position (mm),Force (N)
-0.017,61.6001,-0.004834
0.000,61.6001,-0.004834
0.014,61.6001,-0.002417
0.030,61.6001,0.003625
0.046,61.6001,0.002417
0.062,61.6001,-0.002417
0.079,61.6001,-0.006042
0.095,61.6001,0.001208
0.119,61.6001,0.001208
0.135,61.6001,-0.006042
0.151,61.6001,-0.003625
0.167,61.6001,-0.002417
0.185,61.6001,0.000000
0.200,61.6001,0.001208
0.215,61.6001,-0.007251
0.231,61.6001,-0.006042
0.247,61.6001,-0.001208
0.264,61.6001,-0.002417
0.284,61.6001,-0.003625
0.295,61.6001,0.000000
0.312,61.6001,-0.003625
0.327,61.6001,-0.001208
0.346,61.6001,0.001208
0.359,61.6001,0.000000
0.375,61.6001,-0.001208
0.391,61.6001,-0.001208
0.407,61.6001,-0.001208
0.424,61.6001,0.002417
0.440,61.6001,-0.002417
0.457,61.6001,-0.002417
0.472,61.6001,0.000000
0.488,61.6001,-0.001208
0.503,61.6001,0.000000
0.519,61.6001,-0.001208
0.535,61.6001,-0.002417
0.551,61.6001,-0.002417
0.568,61.6001,-0.002417
0.584,61.6001,-0.002417
0.600,61.6001,-0.004834
0.615,61.6001,-0.002417
0.646,61.6001,-0.004834
0.662,61.6001,-0.002417
0.678,61.6001,-0.007251
0.694,61.6001,-0.004834
0.710,61.6001,-0.002417
0.726,61.6001,-0.002417
0.742,61.6001,-0.002417
0.760,61.6001,0.001208
0.774,61.6001,0.001208
0.790,61.6001,-0.001208
0.806,61.6001,0.000000
0.822,61.6001,0.001208
0.838,61.6001,0.001208
0.853,61.6001,-0.001208
0.875,61.6001,-0.002417
0.886,61.6001,-0.001208
0.902,61.6001,-0.004834
0.918,61.6001,-0.003625
0.935,61.6001,0.003625
0.950,61.6001,0.000000
0.966,61.6001,-0.001208
0.982,61.6001,-0.006042
0.998,61.6001,0.007251
1.014,61.6001,0.009668
1.035,61.6001,0.000000
1.046,61.6001,-0.007251
1.062,61.6001,0.001208
1.078,61.6001,0.000000
1.100,61.6001,0.001208
1.117,61.6001,0.000000
1.132,61.6001,0.002417
1.143,61.6001,0.000000
1.161,61.6001,-0.003625
1.186,61.6001,-0.002417
1.201,61.6001,-0.001208
1.218,61.6001,-0.002417
1.233,61.6001,0.000000
1.250,61.6001,0.000000
1.266,61.6001,-0.001208
1.283,61.6001,-0.002417
1.299,61.6001,-0.006042
1.314,61.6001,-0.008459
1.329,61.6001,-0.003625
1.345,61.6001,0.000000
1.361,61.6001,0.003625
1.377,61.6001,0.003625
1.393,61.6001,-0.001208
1.409,61.6001,-0.003625
1.425,61.6001,-0.003625
1.442,61.6001,-0.002417
1.458,61.6001,0.003625
1.473,61.6001,-0.002417
1.490,61.6001,-0.002417
1.505,61.6001,0.000000
1.522,61.6001,-0.002417
1.537,61.6001,0.000000
1.554,61.6001,0.000000
1.569,61.6001,-0.003625
1.588,61.6001,-0.003625
1.602,61.6001,-0.006042
1.617,61.6001,-0.003625
1.638,61.6001,-0.003625
1.649,61.6001,-0.007251
1.666,61.6001,-0.007251
1.682,61.6001,0.002417
1.699,61.6001,-0.003625
1.723,61.6001,0.001208
1.739,61.6001,-0.007251
1.754,61.6001,0.003625
1.770,61.6001,0.002417
1.787,61.6001,-0.002417
1.803,61.6001,0.003625
1.819,61.6001,0.000000
1.835,61.6001,0.000000
1.857,61.6001,-0.002417
1.867,61.6001,-0.004834
1.882,61.6001,-0.002417
1.899,61.6001,-0.006042
1.914,61.6001,-0.006042
1.930,61.6001,-0.004834
1.946,61.6001,-0.004834
1.964,61.6001,0.002417
1.978,61.6001,0.004834
1.994,61.6001,0.006042
2.010,61.6001,0.003625
2.029,61.6001,0.003625
2.042,61.6001,-0.002417
2.058,61.6001,0.003625
2.074,61.6001,-0.001208
2.091,61.6001,0.001208
2.106,61.6001,0.001208
2.127,61.6001,-0.004834
2.138,61.6001,0.003625
2.154,61.6001,0.002417
2.170,61.6001,-0.001208
2.186,61.6001,0.000000
2.202,61.6001,0.000000
2.218,61.6001,0.001208
2.234,61.6001,-0.002417
2.250,61.6001,0.000000
2.273,61.6001,-0.002417
2.289,61.6001,-0.001208
2.305,61.6001,-0.004834
2.321,61.6001,-0.004834
2.338,61.6001,0.000000
2.353,61.6001,0.003625
2.374,61.6001,0.001208
2.385,61.6001,0.001208
2.402,61.6001,0.000000
2.418,61.6001,-0.003625
2.435,61.6001,-0.003625
2.449,61.6001,0.003625
2.465,61.6001,0.003625
2.481,61.6001,-0.001208
2.497,61.6001,-0.001208
2.513,61.6001,-0.004834
2.529,61.6001,-0.004834
2.545,61.6001,-0.003625
2.561,61.6001,-0.001208
2.579,61.6001,-0.003625
2.593,61.6001,-0.001208
2.609,61.6001,-0.003625
2.625,61.6001,0.000000
2.642,61.6001,-0.001208
2.657,61.6001,-0.001208
2.673,61.6001,-0.002417
2.689,61.6001,-0.001208
2.705,61.6001,0.003625
2.721,61.6001,0.001208
2.737,61.6001,-0.003625
2.753,61.6001,-0.003625
2.769,61.6001,-0.001208
2.785,61.6001,0.000000
2.806,61.6001,0.003625
2.830,61.6001,0.001208
2.845,61.6001,0.002417
2.861,61.6001,-0.002417
2.877,61.6001,0.000000
2.894,61.6001,0.002417
2.909,61.6001,0.000000
2.929,61.6001,-0.002417
2.941,61.6001,0.003625
2.957,61.6001,0.003625
2.973,61.6001,-0.003625
2.991,61.6001,0.000000
3.005,61.6001,-0.002417
3.021,61.6001,0.002417
