Layer_Number,Peak_Force_N,Work_of_Adhesion_mJ,Initiation_Time_s,Propagation_End_Time_s,Total_Peel_Duration_s,Distance_to_Peak_mm,Peel_Distance_mm,Peak_Retraction_Force_N,Peak_Position_mm,Propagation_Start_Time_s,Propagation_Duration_s
1,0.0487,-0.0553,11.8268,31.8615,20.0347,-0.8564,-1.5886,-0.1088,67.7375,13.5399,18.3215
2,0.0560,-0.0538,11.8324,23.9043,12.0719,-1.0502,-5.6117,-0.1027,67.5166,13.9324,9.9719
3,0.0568,-0.0570,11.9548,16.1757,4.2209,-1.0579,-2.1099,-0.1003,67.4170,14.0713,2.1044
4,0.0419,-0.0523,11.6483,33.5123,21.8640,-0.8501,-0.9138,-0.0943,67.7200,13.3484,20.1640
5,0.0334,-0.0223,11.8571,26.7713,14.9142,-0.9048,-4.2064,-0.0846,67.5314,13.6668,13.1045
6,0.0342,-0.0260,11.7869,29.4795,17.6926,-0.7856,-2.8275,-0.0798,67.6075,13.3578,16.1217
7,0.0290,-0.0241,11.7314,26.5344,14.8029,-0.9189,-4.2822,-0.0761,67.4350,13.5696,12.9647
8,0.0314,-0.0217,11.7143,29.0026,17.2883,-0.8600,-3.0685,-0.0701,67.4593,13.4347,15.5678
9,0.0306,-0.0239,11.7527,30.0829,18.3302,-0.7660,-2.5617,-0.0665,67.4922,13.2842,16.7987
10,0.0282,-0.0210,11.8135,29.0995,17.2859,-0.4363,-2.9893,-0.0616,67.7384,12.6862,16.4132
11,0.0314,-0.0285,11.5367,33.7274,22.1906,-0.9114,-0.7768,-0.0604,67.3514,13.3599,20.3675
12,0.0298,-0.0290,11.6054,33.4602,21.8547,-0.8679,-0.9903,-0.0495,67.3339,13.3410,20.1191
13,0.0330,-0.0208,11.5910,18.4488,6.8578,-0.8528,-3.4288,-0.0459,67.3195,13.2963,5.1525
14,0.0330,-0.0026,13.0435,13.2180,0.1745,-0.0556,-0.0872,-0.0556,67.2832,13.1549,0.0631
15,0.0483,-0.0603,11.4949,29.5387,18.0437,-1.3454,-2.9284,-0.0544,66.7358,14.1857,15.3530
16,0.0383,-0.0431,11.7041,24.6629,12.9588,-0.7357,-5.2220,-0.0520,67.2343,13.1754,11.4875
17,0.0455,-0.0467,11.5917,21.6515,10.0598,-0.7897,-5.0296,-0.0508,67.1485,13.1711,8.4804
18,0.0499,-0.0519,11.6516,18.2749,6.6233,-0.8607,-3.3114,-0.0483,67.0252,13.3732,4.9017
19,0.0576,-0.0692,11.6111,17.5718,5.9607,-0.8225,-2.9803,-0.0556,66.9844,13.2561,4.3156
20,0.0669,-0.0908,11.5809,19.7515,8.1705,-0.9351,-4.0851,-0.0520,66.8531,13.4505,6.3010
21,0.0600,-0.1292,11.6516,23.3163,11.6646,-0.9975,-5.8045,-0.0568,66.7071,13.6469,9.6694
