Elapsed Time (s),Position (mm),Force (N)
-0.018,51.6501,-0.053172
0.000,51.6501,-0.053172
0.015,51.6501,-0.050755
0.031,51.6501,-0.051963
0.047,51.6501,-0.048338
0.063,51.6501,-0.056797
0.079,51.6501,-0.049546
0.094,51.6501,-0.049546
0.111,51.6501,-0.041087
0.127,51.6501,-0.041087
0.142,51.6501,-0.049546
0.158,51.6501,-0.045921
0.175,51.6501,-0.045921
0.193,51.6501,-0.048338
0.206,51.6501,-0.050755
0.223,51.6501,-0.049546
0.239,51.6501,-0.041087
0.254,51.6501,-0.045921
0.271,51.6501,-0.043504
0.286,51.6501,-0.045921
0.303,51.6501,-0.047129
0.319,51.6501,-0.041087
0.336,51.6501,-0.038670
0.351,51.6501,-0.045921
0.367,51.6501,-0.044713
0.383,51.6501,-0.039879
0.398,51.6501,-0.045921
0.415,51.6501,-0.045921
0.430,51.6501,-0.047129
0.447,51.6501,-0.044713
0.464,51.6501,-0.043504
0.488,51.6501,-0.041087
0.504,51.6501,-0.037462
0.520,51.6501,-0.039879
0.536,51.6501,-0.045921
0.553,51.6501,-0.045921
0.568,51.6501,-0.037462
0.587,51.6501,-0.037462
0.600,51.6501,-0.041087
0.617,51.6501,-0.039879
0.633,51.6501,-0.039879
0.649,51.6501,-0.035045
0.665,51.6501,-0.035045
0.681,51.6501,-0.044713
0.697,51.6501,-0.044713
0.712,51.6501,-0.041087
0.728,51.6501,-0.039879
0.744,51.6501,-0.032628
0.760,51.6501,-0.037462
0.776,51.6501,-0.038670
0.793,51.6501,-0.039879
0.808,51.6501,-0.037462
0.824,51.6501,-0.042296
0.840,51.6501,-0.036253
0.857,51.6501,-0.036253
0.873,51.6501,-0.039879
0.888,51.6501,-0.042296
0.904,51.6501,-0.045921
0.921,51.6501,-0.039879
0.936,51.6501,-0.038670
0.953,51.6501,-0.038670
0.969,51.6501,-0.038670
0.985,51.6501,-0.037462
1.000,51.6501,-0.033837
1.018,51.6501,-0.036253
1.042,51.6501,-0.037462
1.058,51.6501,-0.038670
1.074,51.6501,-0.032628
1.090,51.6501,-0.035045
1.108,51.6501,-0.037462
1.123,51.6501,-0.035045
1.139,51.6501,-0.036253
1.154,51.6501,-0.036253
1.170,51.6501,-0.039879
1.186,51.6501,-0.035045
1.202,51.6501,-0.036253
1.218,51.6501,-0.037462
1.234,51.6501,-0.036253
1.250,51.6501,-0.031420
1.266,51.6501,-0.032628
1.282,51.6501,-0.038670
1.298,51.6501,-0.036253
1.314,51.6501,-0.036253
1.330,51.6501,-0.038670
1.347,51.6501,-0.038670
1.362,51.6501,-0.035045
1.378,51.6501,-0.036253
1.394,51.6501,-0.035045
1.410,51.6501,-0.032628
1.426,51.6501,-0.035045
1.442,51.6501,-0.038670
1.458,51.6501,-0.032628
1.476,51.6501,-0.032628
1.490,51.6501,-0.039879
1.506,51.6501,-0.032628
1.522,51.6501,-0.032628
1.538,51.6501,-0.036253
1.554,51.6501,-0.039879
1.570,51.6501,-0.037462
1.596,51.6501,-0.036253
1.612,51.6501,-0.035045
1.628,51.6501,-0.030211
1.644,51.6501,-0.033837
1.660,51.6501,-0.030211
1.676,51.6501,-0.037462
1.692,51.6501,-0.033837
1.708,51.6501,-0.031420
1.724,51.6501,-0.039879
1.740,51.6501,-0.031420
1.757,51.6501,-0.031420
1.772,51.6501,-0.035045
1.788,51.6501,-0.035045
1.804,51.6501,-0.033837
1.821,51.6501,-0.031420
1.837,51.6501,-0.031420
1.852,51.6501,-0.035045
1.869,51.6501,-0.035045
1.884,51.6501,-0.035045
1.901,51.6501,-0.036253
1.916,51.6501,-0.030211
1.932,51.6501,-0.026586
1.949,51.6501,-0.037462
1.964,51.6501,-0.042296
1.980,51.6501,-0.029003
1.996,51.6501,-0.036253
2.012,51.6501,-0.033837
2.028,51.6501,-0.032628
2.044,51.6501,-0.031420
2.060,51.6501,-0.031420
2.076,51.6501,-0.031420
2.092,51.6501,-0.027794
2.107,51.6501,-0.035045
2.123,51.6501,-0.035045
2.140,51.6501,-0.030211
2.156,51.6501,-0.032628
2.172,51.6501,-0.038670
2.188,51.6501,-0.033837
2.204,51.6501,-0.032628
2.221,51.6501,-0.027794
2.235,51.6501,-0.037462
2.252,51.6501,-0.037462
2.268,51.6501,-0.032628
2.284,51.6501,-0.032628
2.299,51.6501,-0.033837
2.316,51.6501,-0.031420
2.332,51.6501,-0.029003
2.351,51.6501,-0.031420
2.364,51.6501,-0.031420
2.380,51.6501,-0.031420
2.396,51.6501,-0.035045
2.413,51.6501,-0.030211
2.428,51.6501,-0.031420
2.444,51.6501,-0.036253
2.460,51.6501,-0.027794
2.475,51.6501,-0.027794
2.492,51.6501,-0.033837
2.508,51.6501,-0.033837
2.523,51.6501,-0.035045
2.539,51.6501,-0.027794
2.557,51.6501,-0.027794
2.571,51.6501,-0.031420
2.587,51.6501,-0.031420
2.603,51.6501,-0.036253
2.624,51.6501,-0.032628
2.635,51.6501,-0.031420
2.651,51.6501,-0.032628
