Layer_Number,Peak_Force_N,Work_of_Adhesion_mJ,Initiation_Time_s,Propagation_End_Time_s,Total_Peel_Duration_s,Distance_to_Peak_mm,Peel_Distance_mm,Peak_Retraction_Force_N,Peak_Position_mm,Propagation_Start_Time_s,Propagation_Duration_s
1,0.0717,-0.0699,11.6228,19.6673,8.0444,-1.0644,-1.8926,-0.0858,67.6958,13.7519,5.9154
2,0.0761,-0.0623,11.6688,17.8763,6.2076,-0.8107,-2.7578,-0.0761,67.8674,13.2899,4.5864
3,0.0649,-0.0503,11.5733,20.2307,8.6574,-0.7011,-4.3284,-0.0773,67.9297,12.9760,7.2547
4,0.0608,-0.0412,11.5825,25.8910,14.3085,-0.7216,-4.7758,-0.0713,67.8758,13.0253,12.8656
5,0.0483,-0.0269,11.6474,20.5839,8.9365,-0.5314,-4.4677,-0.0689,67.9800,12.7112,7.8727
6,0.0508,-0.0438,11.4503,33.6920,22.2417,-0.6107,-0.9369,-0.0653,67.9414,12.6722,21.0199
7,0.0487,-0.0303,11.5513,21.2770,9.7257,-0.6035,-4.8628,-0.0628,67.8540,12.7582,8.5188
8,0.0483,-0.0584,7.6605,35.6107,27.9502,-0.7149,-0.1477,-0.0653,67.8852,12.5656,23.0450
9,0.0693,-0.0487,11.5381,16.9571,5.4190,-0.7239,-2.7095,-0.0628,67.6385,12.9860,3.9712
10,0.0516,-0.0304,11.4982,23.8292,12.3310,-0.6061,-5.8524,-0.0592,67.7180,12.7105,11.1187
11,0.0596,-0.0444,11.4227,32.8948,21.4721,-0.5466,-1.3608,-0.0616,67.7751,12.5157,20.3791
12,0.0661,-0.0422,11.4471,20.0485,8.6014,-0.6773,-4.3008,-0.0604,67.6002,12.8018,7.2467
13,0.0830,-0.0592,11.4748,31.8606,20.3858,-0.7119,-1.8054,-0.0592,67.4681,12.8979,18.9626
14,0.0693,-0.0442,11.5116,17.3778,5.8662,-0.7603,-2.9329,-0.0556,67.3672,13.0324,4.3454
15,0.0765,-0.0468,11.5205,20.2992,8.7787,-0.6504,-4.3889,-0.0568,67.4297,12.8219,7.4773
16,0.0773,-0.0519,11.4197,21.1663,9.7466,-0.8365,-4.8729,-0.0520,67.2219,13.0929,8.0734
17,0.0777,-0.0564,11.4369,14.3161,2.8792,-0.7995,-1.4397,-0.0532,67.2181,13.0358,1.2803
18,0.0890,-0.0631,11.5154,19.0334,7.5180,-0.6964,-3.7585,-0.0508,67.2088,12.9086,6.1247
19,0.0858,-0.0614,11.5187,27.8321,16.3134,-0.7574,-3.9205,-0.0532,67.1530,13.0334,14.7987
20,0.1035,-0.0730,11.5723,15.1429,3.5706,-0.8322,-1.7851,-0.0483,67.0003,13.2370,1.9059
21,0.1055,-0.0752,11.5767,15.6059,4.0291,-0.8456,-2.0144,-0.0508,66.9461,13.2679,2.3380
22,0.1257,-0.0904,11.3792,19.9658,8.5866,-1.0796,-4.2928,-0.0520,66.6894,13.5389,6.4269
23,0.1192,-0.0890,11.5323,17.7196,6.1873,-0.9439,-3.0935,-0.0483,66.7438,13.4194,4.3002
24,0.1474,-0.1100,11.4577,28.0771,16.6194,-1.1480,-3.7254,-0.0520,66.4974,13.7541,14.3231
25,0.1277,-0.1240,8.7926,36.2783,27.4857,-1.2102,-0.0500,-0.0447,66.5398,13.6748,22.6035
26,0.1494,-0.1156,11.4428,28.7920,17.3492,-1.1404,-3.4366,-0.0520,66.4431,13.7237,15.0683
27,0.1478,-0.1166,11.5158,18.1059,6.5900,-1.0845,-3.2947,-0.0483,66.4131,13.6846,4.4213
28,0.1466,-0.1062,11.4403,16.9784,5.5381,-1.1630,-2.7688,-0.0483,66.3266,13.7663,3.2121
29,0.1885,-0.1532,11.4009,17.5925,6.1915,-1.3855,-3.0957,-0.0508,66.0512,14.1720,3.4204
30,0.1458,-0.1106,11.5368,14.2756,2.7388,-0.9986,-1.3693,-0.0483,66.2964,13.5336,0.7420
31,0.1885,-0.1511,11.3732,28.8976,17.5243,-1.3603,-3.3230,-0.0471,65.9575,14.0940,14.8036
32,0.1458,-0.1124,11.4149,23.6416,12.2267,-1.1232,-5.9304,-0.0471,66.1573,13.6617,9.9799
33,0.1623,-0.1539,8.9324,35.8428,26.9104,-1.3424,-0.0500,-0.0520,66.0076,13.8381,22.0047
34,0.1490,-0.1131,11.6121,16.9475,5.3354,-1.0755,-2.6679,-0.0471,66.0302,13.7637,3.1839
35,0.1857,-0.1516,11.3714,31.3065,19.9351,-1.3692,-2.1095,-0.0483,65.7722,14.1096,17.1969
36,0.1780,-0.0849,13.2617,14.3895,1.1279,-0.3723,-0.5636,-0.0459,65.7698,14.0068,0.3827
37,0.1821,-0.1536,11.4236,15.9355,4.5119,-1.3598,-2.2557,-0.0459,65.6647,14.1433,1.7922
38,0.1732,-0.1355,11.4864,22.8587,11.3723,-1.2100,-5.6860,-0.0459,65.7364,13.9064,8.9523
39,0.1772,-0.1453,11.4036,20.1857,8.7821,-1.2733,-4.3909,-0.0483,65.6677,13.9504,6.2353
40,0.1893,-0.1555,11.3717,30.7691,19.3975,-1.3870,-2.3852,-0.0483,65.5041,14.1463,16.6228
41,0.1704,-0.1345,11.5596,17.3083,5.7487,-1.2168,-2.8745,-0.0459,65.5817,13.9935,3.3148
42,0.1986,-0.1727,11.5185,14.9209,3.4024,-1.3923,-1.7011,-0.0520,65.3589,14.3032,0.6177
43,0.1265,-0.0973,11.6512,14.2179,2.5667,-0.8679,-1.2834,-0.0459,65.7430,13.3867,0.8311
44,0.1938,-0.1641,11.6053,14.8049,3.1995,-1.2799,-1.5997,-0.0495,65.3225,14.1652,0.6397
45,0.2356,-0.2107,11.6903,15.1020,3.4117,-1.4777,-1.7058,-0.0471,65.0076,14.6462,0.4557
46,0.1547,-0.1283,11.5506,14.8531,3.3024,-1.1978,-1.6511,-0.0447,65.3618,13.9465,0.9066
47,0.2437,-0.2188,11.6284,15.1056,3.4772,-1.5280,-1.7384,-0.0520,64.8715,14.6843,0.4213
48,0.1756,-0.1406,11.4772,20.2074,8.7303,-1.2636,-4.3650,-0.0459,65.1866,14.0040,6.2034
49,0.0403,-0.0103,18.3122,148.5047,130.1925,-0.2452,-4.8770,-0.0423,65.9470,23.2113,125.2935
50,0.0592,-0.0118,21.6790,134.0800,112.4009,-0.2438,-5.4550,-0.0314,65.7306,26.5510,107.5290
51,0.0612,-0.0149,22.0314,178.9764,156.9450,-0.2428,-3.2018,-0.0302,65.6681,26.8851,152.0913
52,0.0705,-0.0228,22.7810,230.7552,207.9742,-0.2447,-0.5724,-0.0278,65.5770,27.6728,203.0824
53,0.0431,-0.0115,19.0633,163.8124,144.7491,-0.2453,-4.1111,-0.0278,65.7163,23.9659,139.8465
54,0.1494,-0.1047,12.3051,51.2444,38.9393,-1.0651,-3.2670,-0.0326,65.0169,17.1774,34.0670
55,0.1071,-0.0743,11.5898,49.1102,37.5203,-0.9593,-3.8229,-0.0350,65.2045,15.9773,33.1328
56,0.1023,-0.0697,11.7506,50.0352,38.2846,-0.8750,-3.6303,-0.0338,65.2018,15.7534,34.2818
57,0.1088,-0.0723,11.6241,41.3246,29.7005,-0.9459,-5.5121,-0.0338,65.1057,15.9505,25.3740
58,0.1096,-0.0765,11.8304,29.1743,17.3439,-0.9196,-3.7915,-0.0350,65.0524,16.0373,13.1370
59,0.1648,-0.1350,11.6004,15.3946,3.7942,-1.1172,-1.4694,-0.0399,64.7521,14.4849,0.9097
60,0.1700,-0.1430,11.4210,33.8206,22.3995,-1.2416,-3.3602,-0.0411,64.6361,14.6271,19.1935
61,0.2006,-0.1738,11.6265,15.8052,4.1787,-1.3402,-1.6183,-0.0399,64.4207,15.0872,0.7180
62,0.1784,-0.1506,11.5983,29.5026,17.9043,-1.3122,-5.0091,-0.0435,64.4235,14.9866,14.5160
63,0.1692,-0.1390,11.9321,15.5849,3.6528,-1.1194,-1.4149,-0.0423,64.4545,14.8222,0.7627
64,0.2050,-0.1761,11.4446,18.4965,7.0518,-1.3848,-3.9205,-0.0423,64.2585,13.9354,4.5610
65,0.2014,-0.1774,11.5288,14.3909,2.8621,-1.2535,-1.5911,-0.0447,64.2681,13.7836,0.6072
66,0.2304,-0.2139,11.5492,14.6938,3.1445,-1.4860,-1.7482,-0.0483,63.9949,14.2219,0.4718
67,0.1539,-0.1309,11.3707,17.4670,6.0962,-1.1475,-3.3888,-0.0471,64.3853,13.4352,4.0317
68,0.2506,-0.2352,11.4211,14.7821,3.3610,-1.6231,-1.8683,-0.0495,63.8149,14.3413,0.4408
69,0.2340,-0.2179,11.5019,13.8171,2.3152,-1.3433,-1.6775,-0.0544,63.9145,13.3550,0.4621
70,0.1664,-0.1464,11.6834,13.5486,1.8652,-1.0164,-1.3514,-0.0459,64.1112,13.0857,0.4629
71,0.1619,-0.1529,11.4708,13.6126,2.1418,-1.1146,-1.5519,-0.0459,64.1184,13.0090,0.6037
72,0.2844,-0.2887,11.4480,14.2084,2.7604,-1.7098,-1.9998,-0.0495,63.5029,13.8084,0.4000
73,0.1700,-0.1572,11.6667,13.6875,2.0207,-1.0888,-1.4648,-0.0520,63.9392,13.1693,0.5182
74,0.3706,-0.4235,11.3148,13.9671,2.6523,-2.1260,-2.3688,-0.0592,63.0018,13.6952,0.2719
75,0.1301,-0.1244,11.2513,22.8769,11.6256,-1.2126,-1.9612,-0.0532,63.9531,12.6086,10.2683
76,0.1861,-0.1862,11.3559,13.2637,1.9078,-1.2600,-1.7045,-0.0495,63.7441,12.7669,0.4968
77,0.3138,-0.3302,11.4124,13.6784,2.2660,-1.8240,-2.0239,-0.0580,63.0584,13.4546,0.2238
78,0.2731,-0.2712,11.4871,13.6490,2.1619,-1.6537,-1.9309,-0.0616,63.2227,13.3387,0.3103
79,0.3807,-0.4394,11.3990,13.5442,2.1452,-2.0339,-2.2778,-0.0592,62.7389,13.3147,0.2295
80,0.1813,-0.1817,11.3097,20.3880,9.0784,-1.3049,-2.5251,-0.0520,63.5552,12.5386,7.8494
81,0.2731,-0.2750,11.4789,13.1841,1.7052,-1.4872,-1.8110,-0.0592,63.1281,12.8793,0.3048
82,0.3601,-0.3978,11.3236,13.4577,2.1341,-2.0628,-2.2657,-0.0556,62.6524,13.2662,0.1915
83,0.2916,-0.3096,11.3737,13.2526,1.8789,-1.6288,-1.9954,-0.0556,62.9496,12.9074,0.3452
84,0.1857,-0.1943,11.3268,12.7377,1.4108,-1.2556,-1.7361,-0.0556,63.3280,12.3472,0.3904
