Layer	File	Thickness	Time	Intensity	Step Speed	Overstep Distance	Step Type	Pause
1	1.png	50	30	80	500	6000	1000	10
2	2.png	50	1	80	500	6000	1000	10
3	3.png	50	1	80	500	6000	1000	10
4	4.png	50	1	80	500	6000	1000	10
5	5.png	50	1	80	500	6000	1000	10
6	6.png	50	1	80	500	6000	1000	10
7	7.png	50	1	80	500	6000	1000	10
8	8.png	50	1	80	500	6000	1000	10
9	9.png	50	1	80	500	6000	1000	10
10	10.png	50	1	80	500	6000	1000	10
11	11.png	50	1	80	500	6000	1000	10
12	12.png	50	1	80	500	6000	1000	10
13	13.png	50	1	80	500	6000	1000	10
14	14.png	50	1	80	500	6000	1000	10
15	15.png	50	1	80	500	6000	1000	10
16	16.png	50	1	80	500	6000	1000	10
17	17.png	50	1	80	500	6000	1000	10
18	18.png	50	1	80	500	6000	1000	10
19	19.png	50	1	80	500	6000	1000	10
20	20.png	50	1	80	500	6000	1000	10
21	21.png	50	1	80	500	6000	1000	10
22	22.png	50	1	80	500	6000	1000	10
23	23.png	50	1	80	500	6000	1000	10
24	24.png	50	1	80	500	6000	1000	10
25	25.png	50	1	80	500	6000	1000	10
26	26.png	50	1	80	500	6000	1000	10
27	27.png	50	1	80	500	6000	1000	10
28	28.png	50	1	80	500	6000	1000	10
29	29.png	50	1	80	500	6000	1000	10
30	30.png	50	1	80	500	6000	1000	10
31	31.png	50	1	80	500	6000	1000	10
32	32.png	50	1	80	500	6000	1000	10
33	33.png	50	1	80	500	6000	1000	10
34	34.png	50	1	80	500	6000	1000	10
35	35.png	50	1	80	500	6000	1000	10
36	36.png	50	1	80	500	6000	1000	10
37	37.png	50	1	80	500	6000	1000	10
38	38.png	50	1	80	500	6000	1000	10
39	39.png	50	1	80	500	6000	1000	10
40	40.png	50	1	80	500	6000	1000	10
41	41.png	50	1	80	500	6000	1000	10
42	42.png	50	1	80	500	6000	1000	10
43	43.png	50	1	80	500	6000	1000	10
44	44.png	50	1	80	500	6000	1000	10
45	45.png	50	1	80	500	6000	1000	10
46	46.png	50	1	80	500	6000	1000	10
47	47.png	50	1	80	500	6000	1000	10
48	48.png	50	1	80	500	6000	1000	10
49	49.png	50	1	80	500	6000	1000	10
50	50.png	50	1	80	50	6000	1000	10
51	51.png	50	1	80	50	6000	1000	10
52	52.png	50	1	80	50	6000	1000	10
53	53.png	50	1	80	50	6000	1000	10
54	54.png	50	1	80	50	6000	1000	10
55	55.png	50	1	80	218.6440678	6000	1000	10
56	56.png	50	1	80	218.6440678	6000	1000	10
57	57.png	50	1	80	218.6440678	6000	1000	10
58	58.png	50	1	80	218.6440678	6000	1000	10
59	59.png	50	1	80	218.6440678	6000	1000	10
60	60.png	50	1	80	387.2881356	6000	1000	10
61	61.png	50	1	80	387.2881356	6000	1000	10
62	62.png	50	1	80	387.2881356	6000	1000	10
63	63.png	50	1	80	387.2881356	6000	1000	10
64	64.png	50	1	80	387.2881356	6000	1000	10
65	65.png	50	1	80	555.9322034	6000	1000	10
66	66.png	50	1	80	555.9322034	6000	1000	10
67	67.png	50	1	80	555.9322034	6000	1000	10
68	68.png	50	1	80	555.9322034	6000	1000	10
69	69.png	50	1	80	555.9322034	6000	1000	10
70	70.png	50	1	80	724.5762712	6000	1000	10
71	71.png	50	1	80	724.5762712	6000	1000	10
72	72.png	50	1	80	724.5762712	6000	1000	10
73	73.png	50	1	80	724.5762712	6000	1000	10
74	74.png	50	1	80	724.5762712	6000	1000	10
75	75.png	50	1	80	893.220339	6000	1000	10
76	76.png	50	1	80	893.220339	6000	1000	10
77	77.png	50	1	80	893.220339	6000	1000	10
78	78.png	50	1	80	893.220339	6000	1000	10
79	79.png	50	1	80	893.220339	6000	1000	10
80	80.png	50	1	80	1061.864407	6000	1000	10
81	81.png	50	1	80	1061.864407	6000	1000	10
82	82.png	50	1	80	1061.864407	6000	1000	10
83	83.png	50	1	80	1061.864407	6000	1000	10
84	84.png	50	1	80	1061.864407	6000	1000	10
85	85.png	50	1	80	1230.508475	6000	1000	10
86	86.png	50	1	80	1230.508475	6000	1000	10
87	87.png	50	1	80	1230.508475	6000	1000	10
88	88.png	50	1	80	1230.508475	6000	1000	10
89	89.png	50	1	80	1230.508475	6000	1000	10
90	90.png	50	1	80	1399.152542	6000	1000	10
91	91.png	50	1	80	1399.152542	6000	1000	10
92	92.png	50	1	80	1399.152542	6000	1000	10
93	93.png	50	1	80	1399.152542	6000	1000	10
94	94.png	50	1	80	1399.152542	6000	1000	10
95	95.png	50	1	80	1567.79661	6000	1000	10
96	96.png	50	1	80	1567.79661	6000	1000	10
97	97.png	50	1	80	1567.79661	6000	1000	10
