Elapsed Time (s),Position (mm),Force (N)
-0.008,53.7000,-0.025377
0.025,53.7000,-0.025377
0.055,53.7000,-0.025377
0.086,53.7000,-0.025377
0.117,53.7000,-0.027794
0.148,53.7000,-0.026586
0.179,53.7000,-0.026586
0.211,53.7000,-0.026586
0.244,53.7000,-0.030211
0.274,53.7000,-0.030211
0.304,53.7000,-0.026586
0.334,53.7000,-0.022961
0.366,53.7000,-0.022961
0.400,53.7000,-0.024169
0.427,53.7000,-0.022961
0.458,53.7000,-0.022961
0.490,53.7000,-0.024169
0.510,53.7000,-0.020544
0.537,53.7000,-0.024169
0.568,53.7000,-0.026586
0.599,53.7000,-0.030211
0.632,53.7000,-0.026586
0.661,53.7000,-0.024169
0.693,53.7000,-0.021752
0.723,53.7000,-0.020544
0.754,53.7000,-0.018127
0.786,53.7000,-0.018127
0.817,53.7000,-0.019335
0.848,53.7000,-0.020544
0.879,53.7000,-0.018127
0.910,53.7000,-0.020544
0.942,53.7000,-0.021752
0.972,53.7000,-0.022961
1.004,53.7000,-0.024169
1.035,53.7000,-0.024169
1.066,53.7000,-0.021752
1.088,53.7000,-0.021752
1.114,53.7000,-0.020544
1.134,53.7000,-0.019335
1.160,53.7000,-0.022961
1.191,53.7000,-0.025377
1.222,53.7000,-0.015710
1.252,53.7000,-0.022961
1.284,53.7000,-0.020544
1.315,53.7000,-0.025377
1.345,53.7000,-0.021752
1.378,53.7000,-0.022961
1.410,53.7000,-0.020544
1.441,53.7000,-0.015710
1.471,53.7000,-0.015710
1.502,53.7000,-0.024169
1.524,53.7000,-0.022961
1.548,53.7000,-0.022961
1.580,53.7000,-0.019335
1.611,53.7000,-0.015710
1.642,53.7000,-0.025377
1.675,53.7000,-0.021752
1.706,53.7000,-0.019335
1.738,53.7000,-0.018127
1.768,53.7000,-0.020544
1.798,53.7000,-0.021752
1.829,53.7000,-0.021752
1.860,53.7000,-0.016918
1.892,53.7000,-0.016918
1.923,53.7000,-0.018127
1.953,53.7000,-0.016918
1.984,53.7000,-0.021752
2.015,53.7000,-0.019335
2.035,53.7000,-0.016918
2.061,53.7000,-0.021752
2.083,53.7000,-0.022961
2.109,53.7000,-0.022961
2.139,53.7000,-0.022961
2.170,53.7000,-0.020544
2.202,53.7000,-0.020544
2.232,53.7000,-0.016918
2.262,53.7000,-0.018127
2.294,53.7000,-0.020544
2.325,53.7000,-0.021752
2.356,53.7000,-0.020544
2.386,53.7000,-0.018127
2.418,53.7000,-0.020544
2.448,53.7000,-0.020544
2.480,53.7000,-0.016918
2.511,53.7000,-0.018127
2.540,53.7000,-0.018127
2.573,53.7000,-0.015710
2.594,53.7000,-0.015710
2.618,53.7000,-0.016918
2.640,53.7000,-0.016918
2.664,53.7000,-0.019335
2.695,53.7000,-0.019335
2.726,53.7000,-0.020544
2.757,53.7000,-0.021752
2.788,53.7000,-0.016918
2.819,53.7000,-0.018127
2.851,53.7000,-0.018127
2.881,53.7000,-0.018127
2.914,53.7000,-0.016918
2.944,53.7000,-0.020544
2.975,53.7000,-0.020544
3.006,53.7000,-0.016918
3.036,53.7000,-0.016918
3.067,53.7000,-0.016918
3.088,53.7000,-0.016918
3.114,53.7000,-0.018127
3.135,53.7000,-0.019335
3.161,53.7000,-0.020544
3.191,53.7000,-0.021752
3.222,53.7000,-0.020544
3.253,53.7000,-0.020544
3.284,53.7000,-0.021752
3.317,53.7000,-0.015710
3.348,53.7000,-0.016918
3.378,53.7000,-0.016918
3.410,53.7000,-0.020544
3.441,53.7000,-0.014501
3.472,53.7000,-0.018127
3.505,53.7000,-0.016918
3.535,53.7000,-0.012084
3.565,53.7000,-0.015710
3.596,53.7000,-0.018127
3.628,53.7000,-0.021752
3.658,53.7000,-0.019335
3.689,53.7000,-0.018127
3.720,53.7000,-0.020544
3.741,53.7000,-0.018127
3.767,53.7000,-0.018127
3.798,53.7000,-0.015710
3.829,53.7000,-0.018127
3.859,53.7000,-0.018127
3.890,53.7000,-0.020544
3.921,53.7000,-0.018127
3.953,53.7000,-0.015710
3.984,53.7000,-0.018127
4.016,53.7000,-0.018127
4.047,53.7000,-0.018127
4.078,53.7000,-0.018127
4.108,53.7000,-0.016918
4.138,53.7000,-0.015710
4.170,53.7000,-0.019335
4.202,53.7000,-0.014501
4.233,53.7000,-0.019335
4.264,53.7000,-0.018127
4.285,53.7000,-0.019335
4.310,53.7000,-0.016918
4.340,53.7000,-0.016918
4.371,53.7000,-0.020544
4.402,53.7000,-0.020544
4.433,53.7000,-0.019335
4.464,53.7000,-0.015710
4.495,53.7000,-0.021752
4.526,53.7000,-0.020544
4.558,53.7000,-0.015710
4.589,53.7000,-0.019335
4.620,53.7000,-0.018127
4.652,53.7000,-0.019335
4.683,53.7000,-0.016918
4.714,53.7000,-0.014501
4.745,53.7000,-0.018127
4.776,53.7000,-0.016918
4.796,53.7000,-0.019335
4.822,53.7000,-0.019335
4.853,53.7000,-0.015710
4.883,53.7000,-0.019335
4.915,53.7000,-0.015710
4.946,53.7000,-0.014501
4.977,53.7000,-0.022961
5.008,53.7000,-0.022961
5.038,53.7000,-0.016918
5.069,53.7000,-0.016918
5.100,53.7000,-0.016918
5.131,53.7000,-0.014501
5.162,53.7000,-0.015710
5.193,53.7000,-0.019335
5.226,53.7000,-0.019335
5.255,53.7000,-0.013293
5.276,53.7000,-0.012084
5.301,53.7000,-0.016918
5.332,53.7000,-0.016918
5.363,53.7000,-0.015710
5.394,53.7000,-0.018127
5.425,53.7000,-0.021752
5.457,53.7000,-0.018127
5.488,53.7000,-0.015710
5.519,53.7000,-0.019335
5.550,53.7000,-0.019335
5.581,53.7000,-0.016918
5.613,53.7000,-0.014501
5.643,53.7000,-0.016918
5.674,53.7000,-0.019335
5.704,53.7000,-0.019335
5.736,53.7000,-0.015710
5.757,53.7000,-0.016918
5.782,53.7000,-0.018127
5.812,53.7000,-0.018127
5.843,53.7000,-0.018127
5.874,53.7000,-0.015710
5.905,53.7000,-0.015710
5.936,53.7000,-0.015710
5.966,53.7000,-0.015710
5.997,53.7000,-0.016918
6.028,53.7000,-0.016918
6.059,53.7000,-0.016918
6.090,53.7000,-0.016918
6.122,53.7000,-0.018127
6.153,53.7000,-0.015710
6.183,53.7000,-0.016918
6.204,53.7000,-0.018127
6.229,53.7000,-0.018127
6.261,53.7000,-0.016918
6.291,53.7000,-0.010876
6.323,53.7000,-0.018127
6.354,53.7000,-0.018127
6.385,53.7000,-0.015710
6.416,53.7000,-0.015710
6.448,53.7000,-0.014501
6.479,53.7000,-0.021752
6.510,53.7000,-0.021752
6.541,53.7000,-0.013293
6.573,53.7000,-0.015710
6.604,53.7000,-0.019335
6.635,53.7000,-0.016918
6.666,53.7000,-0.014501
6.698,53.7000,-0.019335
6.730,53.7000,-0.014501
6.761,53.7000,-0.016918
6.792,53.7000,-0.019335
6.813,53.7000,-0.019335
6.837,53.7000,-0.015710
6.869,53.7000,-0.016918
6.899,53.7000,-0.015710
6.930,53.7000,-0.016918
6.950,53.7000,-0.016918
6.976,53.7000,-0.015710
7.006,53.7000,-0.013293
7.038,53.7000,-0.018127
7.069,53.7000,-0.016918
7.099,53.7000,-0.012084
7.131,53.7000,-0.016918
7.162,53.7000,-0.019335
7.194,53.7000,-0.016918
7.225,53.7000,-0.015710
7.255,53.7000,-0.019335
7.286,53.7000,-0.016918
7.318,53.7000,-0.015710
7.348,53.7000,-0.013293
7.379,53.7000,-0.018127
7.411,53.7000,-0.015710
7.441,53.7000,-0.015710
7.463,53.7000,-0.018127
7.488,53.7000,-0.018127
7.519,53.7000,-0.019335
7.551,53.7000,-0.019335
7.582,53.7000,-0.018127
7.613,53.7000,-0.019335
7.644,53.7000,-0.019335
7.675,53.7000,-0.012084
7.708,53.7000,-0.015710
7.738,53.7000,-0.014501
7.770,53.7000,-0.019335
7.801,53.7000,-0.016918
7.832,53.7000,-0.016918
7.863,53.7000,-0.016918
