Elapsed Time (s),Position (mm),Force (N)
-0.013,61.2001,-0.037462
0.018,61.2001,-0.032628
0.050,61.2001,-0.035045
0.080,61.2001,-0.033837
0.112,61.2001,-0.033837
0.142,61.2001,-0.030211
0.173,61.2001,-0.030211
0.203,61.2001,-0.032628
0.236,61.2001,-0.029003
0.266,61.2001,-0.033837
0.296,61.2001,-0.029003
0.318,61.2001,-0.029003
0.342,61.2001,-0.029003
0.372,61.2001,-0.027794
0.403,61.2001,-0.026586
0.426,61.2001,-0.029003
0.450,61.2001,-0.029003
0.480,61.2001,-0.030211
0.511,61.2001,-0.026586
0.541,61.2001,-0.029003
0.573,61.2001,-0.027794
0.605,61.2001,-0.025377
0.637,61.2001,-0.029003
0.667,61.2001,-0.030211
0.690,61.2001,-0.026586
0.714,61.2001,-0.027794
0.746,61.2001,-0.025377
0.776,61.2001,-0.022961
0.807,61.2001,-0.025377
0.837,61.2001,-0.027794
0.869,61.2001,-0.025377
0.899,61.2001,-0.025377
0.930,61.2001,-0.021752
0.960,61.2001,-0.026586
0.982,61.2001,-0.029003
1.006,61.2001,-0.029003
1.038,61.2001,-0.027794
1.069,61.2001,-0.026586
1.101,61.2001,-0.026586
1.132,61.2001,-0.025377
1.162,61.2001,-0.024169
1.194,61.2001,-0.025377
1.224,61.2001,-0.024169
1.246,61.2001,-0.024169
1.270,61.2001,-0.026586
1.300,61.2001,-0.020544
1.332,61.2001,-0.022961
1.363,61.2001,-0.026586
1.394,61.2001,-0.026586
1.425,61.2001,-0.022961
1.446,61.2001,-0.022961
1.472,61.2001,-0.025377
1.502,61.2001,-0.025377
1.534,61.2001,-0.021752
1.566,61.2001,-0.022961
1.595,61.2001,-0.025377
1.626,61.2001,-0.026586
1.658,61.2001,-0.025377
1.689,61.2001,-0.026586
1.720,61.2001,-0.024169
1.751,61.2001,-0.024169
1.783,61.2001,-0.025377
1.813,61.2001,-0.021752
1.844,61.2001,-0.022961
1.876,61.2001,-0.026586
1.907,61.2001,-0.019335
1.938,61.2001,-0.027794
1.970,61.2001,-0.025377
2.001,61.2001,-0.021752
2.022,61.2001,-0.024169
2.048,61.2001,-0.025377
2.069,61.2001,-0.025377
2.095,61.2001,-0.025377
2.125,61.2001,-0.025377
2.156,61.2001,-0.024169
2.186,61.2001,-0.021752
2.217,61.2001,-0.021752
2.248,61.2001,-0.020544
2.279,61.2001,-0.021752
2.312,61.2001,-0.021752
2.343,61.2001,-0.024169
2.374,61.2001,-0.021752
2.405,61.2001,-0.021752
2.436,61.2001,-0.024169
2.468,61.2001,-0.021752
2.500,61.2001,-0.019335
2.530,61.2001,-0.022961
2.561,61.2001,-0.020544
2.581,61.2001,-0.020544
2.607,61.2001,-0.021752
2.627,61.2001,-0.022961
2.653,61.2001,-0.025377
2.685,61.2001,-0.022961
2.715,61.2001,-0.016918
2.746,61.2001,-0.024169
2.777,61.2001,-0.016918
2.807,61.2001,-0.014501
2.839,61.2001,-0.021752
2.870,61.2001,-0.024169
2.901,61.2001,-0.022961
2.932,61.2001,-0.019335
2.964,61.2001,-0.021752
2.995,61.2001,-0.021752
3.026,61.2001,-0.024169
3.057,61.2001,-0.020544
3.088,61.2001,-0.022961
3.119,61.2001,-0.021752
3.140,61.2001,-0.021752
3.166,61.2001,-0.020544
3.187,61.2001,-0.019335
3.214,61.2001,-0.020544
3.235,61.2001,-0.022961
3.258,61.2001,-0.019335
3.289,61.2001,-0.020544
3.320,61.2001,-0.021752
3.352,61.2001,-0.021752
3.383,61.2001,-0.018127
3.416,61.2001,-0.018127
3.446,61.2001,-0.021752
3.477,61.2001,-0.022961
3.508,61.2001,-0.022961
3.540,61.2001,-0.019335
3.570,61.2001,-0.019335
