Elapsed Time (s),Position (mm),Force (N)
-0.013,51.2001,-0.031420
0.018,51.2001,-0.030211
0.051,51.2001,-0.025377
0.081,51.2001,-0.029003
0.112,51.2001,-0.031420
0.143,51.2001,-0.036253
0.174,51.2001,-0.026586
0.205,51.2001,-0.027794
0.239,51.2001,-0.027794
0.272,51.2001,-0.025377
0.298,51.2001,-0.029003
0.329,51.2001,-0.030211
0.350,51.2001,-0.024169
0.376,51.2001,-0.024169
0.407,51.2001,-0.026586
0.439,51.2001,-0.024169
0.470,51.2001,-0.025377
0.501,51.2001,-0.026586
0.533,51.2001,-0.022961
0.564,51.2001,-0.021752
0.594,51.2001,-0.026586
0.626,51.2001,-0.022961
0.657,51.2001,-0.024169
0.687,51.2001,-0.027794
0.719,51.2001,-0.025377
0.751,51.2001,-0.022961
0.782,51.2001,-0.025377
0.813,51.2001,-0.026586
0.844,51.2001,-0.025377
0.875,51.2001,-0.019335
0.906,51.2001,-0.021752
0.937,51.2001,-0.025377
0.969,51.2001,-0.025377
1.001,51.2001,-0.022961
1.031,51.2001,-0.024169
1.063,51.2001,-0.020544
1.084,51.2001,-0.020544
1.111,51.2001,-0.021752
1.131,51.2001,-0.020544
1.157,51.2001,-0.020544
1.188,51.2001,-0.025377
1.218,51.2001,-0.022961
1.248,51.2001,-0.019335
1.279,51.2001,-0.021752
1.311,51.2001,-0.022961
1.341,51.2001,-0.022961
1.373,51.2001,-0.024169
1.397,51.2001,-0.024169
1.419,51.2001,-0.018127
1.450,51.2001,-0.018127
1.480,51.2001,-0.018127
1.512,51.2001,-0.020544
1.542,51.2001,-0.024169
1.573,51.2001,-0.020544
1.604,51.2001,-0.022961
1.636,51.2001,-0.022961
1.666,51.2001,-0.022961
1.697,51.2001,-0.022961
1.718,51.2001,-0.021752
1.744,51.2001,-0.020544
1.764,51.2001,-0.020544
1.792,51.2001,-0.016918
1.812,51.2001,-0.019335
1.838,51.2001,-0.024169
1.869,51.2001,-0.018127
1.900,51.2001,-0.020544
1.931,51.2001,-0.018127
1.953,51.2001,-0.019335
1.978,51.2001,-0.020544
2.009,51.2001,-0.020544
2.038,51.2001,-0.020544
2.069,51.2001,-0.021752
2.101,51.2001,-0.024169
2.132,51.2001,-0.021752
2.164,51.2001,-0.019335
2.194,51.2001,-0.016918
2.226,51.2001,-0.019335
2.257,51.2001,-0.019335
2.287,51.2001,-0.024169
2.319,51.2001,-0.022961
2.351,51.2001,-0.018127
2.382,51.2001,-0.019335
2.412,51.2001,-0.020544
2.433,51.2001,-0.016918
2.458,51.2001,-0.019335
2.490,51.2001,-0.018127
2.512,51.2001,-0.015710
2.537,51.2001,-0.015710
2.568,51.2001,-0.015710
2.599,51.2001,-0.020544
2.629,51.2001,-0.022961
2.660,51.2001,-0.021752
2.691,51.2001,-0.020544
2.722,51.2001,-0.018127
2.754,51.2001,-0.021752
2.785,51.2001,-0.020544
2.816,51.2001,-0.021752
2.847,51.2001,-0.018127
2.877,51.2001,-0.018127
2.908,51.2001,-0.019335
2.941,51.2001,-0.019335
2.969,51.2001,-0.014501
3.000,51.2001,-0.019335
3.030,51.2001,-0.018127
3.061,51.2001,-0.015710
3.092,51.2001,-0.018127
3.123,51.2001,-0.022961
3.154,51.2001,-0.019335
3.184,51.2001,-0.016918
3.209,51.2001,-0.016918
3.231,51.2001,-0.016918
3.262,51.2001,-0.020544
3.293,51.2001,-0.015710
3.324,51.2001,-0.019335
3.356,51.2001,-0.020544
3.387,51.2001,-0.020544
3.418,51.2001,-0.018127
3.449,51.2001,-0.019335
3.480,51.2001,-0.020544
3.510,51.2001,-0.020544
3.541,51.2001,-0.016918
3.573,51.2001,-0.018127
3.603,51.2001,-0.018127
3.626,51.2001,-0.018127
3.650,51.2001,-0.018127
3.681,51.2001,-0.015710
3.712,51.2001,-0.021752
3.743,51.2001,-0.021752
3.774,51.2001,-0.016918
3.805,51.2001,-0.020544
3.836,51.2001,-0.019335
3.866,51.2001,-0.019335
3.897,51.2001,-0.020544
3.929,51.2001,-0.020544
3.960,51.2001,-0.019335
3.991,51.2001,-0.018127
4.022,51.2001,-0.018127
4.042,51.2001,-0.019335
4.069,51.2001,-0.015710
4.090,51.2001,-0.014501
4.116,51.2001,-0.014501
4.145,51.2001,-0.015710
4.177,51.2001,-0.015710
4.208,51.2001,-0.015710
4.238,51.2001,-0.018127
4.270,51.2001,-0.016918
4.301,51.2001,-0.020544
4.332,51.2001,-0.015710
4.364,51.2001,-0.016918
4.395,51.2001,-0.016918
4.426,51.2001,-0.015710
4.457,51.2001,-0.016918
4.487,51.2001,-0.018127
4.519,51.2001,-0.018127
4.550,51.2001,-0.019335
4.582,51.2001,-0.019335
4.603,51.2001,-0.022961
4.629,51.2001,-0.020544
4.650,51.2001,-0.020544
4.676,51.2001,-0.020544
4.706,51.2001,-0.018127
4.729,51.2001,-0.018127
4.753,51.2001,-0.018127
4.784,51.2001,-0.015710
4.815,51.2001,-0.014501
4.846,51.2001,-0.018127
4.877,51.2001,-0.015710
4.908,51.2001,-0.018127
4.940,51.2001,-0.019335
4.971,51.2001,-0.018127
5.002,51.2001,-0.014501
5.033,51.2001,-0.014501
5.064,51.2001,-0.018127
5.096,51.2001,-0.019335
5.127,51.2001,-0.016918
5.158,51.2001,-0.018127
5.190,51.2001,-0.018127
5.220,51.2001,-0.021752
5.241,51.2001,-0.021752
5.267,51.2001,-0.018127
5.289,51.2001,-0.016918
5.316,51.2001,-0.020544
5.337,51.2001,-0.020544
5.361,51.2001,-0.018127
5.392,51.2001,-0.013293
5.423,51.2001,-0.019335
5.453,51.2001,-0.020544
5.484,51.2001,-0.012084
5.515,51.2001,-0.016918
5.544,51.2001,-0.015710
5.579,51.2001,-0.014501
5.607,51.2001,-0.015710
5.639,51.2001,-0.016918
5.670,51.2001,-0.018127
5.702,51.2001,-0.018127
5.733,51.2001,-0.016918
5.764,51.2001,-0.024169
5.784,51.2001,-0.024169
5.810,51.2001,-0.022961
5.841,51.2001,-0.014501
5.872,51.2001,-0.016918
5.903,51.2001,-0.021752
5.933,51.2001,-0.016918
5.964,51.2001,-0.014501
5.994,51.2001,-0.019335
6.025,51.2001,-0.016918
6.057,51.2001,-0.016918
6.088,51.2001,-0.015710
6.119,51.2001,-0.013293
6.150,51.2001,-0.016918
6.180,51.2001,-0.019335
6.201,51.2001,-0.019335
6.227,51.2001,-0.018127
6.257,51.2001,-0.019335
6.288,51.2001,-0.016918
6.319,51.2001,-0.014501
6.351,51.2001,-0.020544
6.380,51.2001,-0.019335
6.412,51.2001,-0.015710
6.443,51.2001,-0.015710
6.474,51.2001,-0.016918
6.505,51.2001,-0.012084
6.536,51.2001,-0.012084
6.567,51.2001,-0.015710
6.598,51.2001,-0.015710
6.629,51.2001,-0.015710
6.660,51.2001,-0.018127
6.692,51.2001,-0.018127
6.722,51.2001,-0.016918
6.752,51.2001,-0.014501
6.783,51.2001,-0.016918
6.813,51.2001,-0.016918
6.843,51.2001,-0.016918
6.866,51.2001,-0.016918
6.891,51.2001,-0.018127
6.923,51.2001,-0.014501
6.952,51.2001,-0.015710
6.983,51.2001,-0.012084
7.014,51.2001,-0.009668
7.045,51.2001,-0.018127
7.076,51.2001,-0.018127
7.106,51.2001,-0.015710
7.138,51.2001,-0.019335
7.169,51.2001,-0.018127
7.200,51.2001,-0.016918
7.231,51.2001,-0.016918
7.252,51.2001,-0.019335
7.277,51.2001,-0.019335
7.298,51.2001,-0.015710
7.324,51.2001,-0.015710
7.355,51.2001,-0.015710
7.386,51.2001,-0.015710
7.418,51.2001,-0.015710
7.449,51.2001,-0.016918
7.480,51.2001,-0.019335
7.511,51.2001,-0.021752
7.542,51.2001,-0.014501
7.575,51.2001,-0.014501
7.605,51.2001,-0.015710
7.637,51.2001,-0.015710
7.667,51.2001,-0.015710
7.699,51.2001,-0.016918
7.729,51.2001,-0.018127
7.761,51.2001,-0.018127
7.792,51.2001,-0.013293
7.823,51.2001,-0.018127
7.854,51.2001,-0.018127
7.876,51.2001,-0.013293
7.901,51.2001,-0.012084
7.932,51.2001,-0.018127
7.955,51.2001,-0.015710
7.979,51.2001,-0.012084
8.010,51.2001,-0.013293
8.043,51.2001,-0.015710
8.072,51.2001,-0.015710
8.102,51.2001,-0.016918
8.134,51.2001,-0.016918
8.165,51.2001,-0.013293
8.195,51.2001,-0.014501
8.226,51.2001,-0.014501
8.258,51.2001,-0.016918
8.289,51.2001,-0.021752
8.320,51.2001,-0.016918
8.352,51.2001,-0.018127
8.376,51.2001,-0.018127
8.400,51.2001,-0.019335
8.429,51.2001,-0.018127
8.461,51.2001,-0.015710
8.481,51.2001,-0.016918
8.506,51.2001,-0.016918
8.538,51.2001,-0.016918
8.568,51.2001,-0.019335
8.601,51.2001,-0.015710
8.631,51.2001,-0.020544
8.662,51.2001,-0.016918
8.693,51.2001,-0.014501
8.724,51.2001,-0.012084
8.754,51.2001,-0.015710
8.786,51.2001,-0.014501
8.817,51.2001,-0.013293
8.849,51.2001,-0.015710
8.879,51.2001,-0.015710
8.910,51.2001,-0.016918
8.941,51.2001,-0.014501
8.961,51.2001,-0.010876
8.988,51.2001,-0.015710
9.009,51.2001,-0.015710
9.034,51.2001,-0.015710
9.065,51.2001,-0.016918
9.096,51.2001,-0.015710
9.126,51.2001,-0.019335
9.158,51.2001,-0.010876
9.188,51.2001,-0.012084
9.219,51.2001,-0.015710
9.251,51.2001,-0.016918
9.282,51.2001,-0.013293
9.313,51.2001,-0.013293
9.344,51.2001,-0.015710
9.376,51.2001,-0.015710
9.408,51.2001,-0.015710
9.439,51.2001,-0.014501
9.470,51.2001,-0.018127
9.502,51.2001,-0.012084
9.533,51.2001,-0.014501
9.553,51.2001,-0.014501
9.581,51.2001,-0.019335
9.611,51.2001,-0.014501
9.632,51.2001,-0.012084
9.659,51.2001,-0.018127
9.688,51.2001,-0.022961
9.718,51.2001,-0.018127
9.750,51.2001,-0.015710
9.782,51.2001,-0.016918
9.812,51.2001,-0.015710
9.843,51.2001,-0.015710
9.875,51.2001,-0.012084
9.906,51.2001,-0.015710
9.937,51.2001,-0.015710
9.968,51.2001,-0.016918
9.999,51.2001,-0.016918
10.030,51.2001,-0.016918
10.062,51.2001,-0.009668
10.092,51.2001,-0.016918
10.124,51.2001,-0.015710
10.144,51.2001,-0.015710
10.171,51.2001,-0.014501
10.192,51.2001,-0.016918
10.217,51.2001,-0.016918
10.247,51.2001,-0.015710
10.278,51.2001,-0.015710
10.309,51.2001,-0.014501
10.340,51.2001,-0.015710
10.371,51.2001,-0.016918
10.404,51.2001,-0.015710
10.434,51.2001,-0.015710
10.465,51.2001,-0.016918
10.495,51.2001,-0.013293
10.526,51.2001,-0.015710
10.558,51.2001,-0.015710
10.589,51.2001,-0.018127
10.620,51.2001,-0.015710
10.651,51.2001,-0.018127
10.672,51.2001,-0.019335
10.698,51.2001,-0.019335
10.729,51.2001,-0.019335
10.760,51.2001,-0.013293
10.791,51.2001,-0.010876
10.822,51.2001,-0.019335
10.853,51.2001,-0.016918
10.884,51.2001,-0.018127
10.914,51.2001,-0.015710
10.946,51.2001,-0.010876
10.980,51.2001,-0.012084
11.011,51.2001,-0.014501
11.041,51.2001,-0.015710
11.071,51.2001,-0.016918
11.104,51.2001,-0.013293
11.134,50.9767,-0.013293
11.164,50.3668,0.089425
11.195,49.7242,0.089425
11.216,49.3101,0.134138
11.241,48.8000,0.209061
11.272,48.1514,0.299695
11.303,47.5190,0.357701
11.334,46.8907,0.134138
11.365,46.2663,0.003625
11.396,45.6360,0.001208
11.427,45.1549,-0.015710
11.458,45.1501,-0.015710
11.489,45.1501,0.000000
11.520,45.1501,0.002417
11.550,45.1501,0.006042
11.582,45.1501,0.000000
11.613,45.1501,0.000000
11.643,45.1501,0.006042
11.665,45.1501,0.006042
11.689,45.1501,0.004834
11.710,45.1501,0.003625
11.735,45.1501,0.003625
11.765,45.1501,0.000000
11.797,45.1501,0.001208
11.828,45.1501,0.002417
11.859,45.1501,0.004834
11.889,45.2353,0.001208
11.920,45.8468,-0.077341
11.951,46.4669,-0.079758
11.981,47.0993,0.003625
12.013,47.7460,0.001208
12.046,48.4294,0.000000
12.077,49.0374,0.001208
12.109,49.6860,0.003625
12.140,50.3348,0.000000
12.171,50.9586,-0.021752
12.202,51.1501,-0.025377
12.233,51.1501,-0.016918
12.254,51.1501,-0.056797
12.279,51.1501,-0.058005
12.302,51.1501,-0.053172
12.326,51.1501,-0.047129
12.357,51.1501,-0.041087
12.388,51.1501,-0.042296
12.418,51.1501,-0.039879
12.450,51.1501,-0.035045
12.481,51.1501,-0.033837
12.513,51.1501,-0.037462
12.543,51.1501,-0.033837
12.574,51.1501,-0.030211
12.606,51.1501,-0.031420
12.636,51.1501,-0.032628
12.668,51.1501,-0.031420
12.698,51.1501,-0.027794
12.729,51.1501,-0.027794
12.750,51.1501,-0.031420
12.775,51.1501,-0.033837
12.806,51.1501,-0.030211
12.837,51.1501,-0.026586
12.868,51.1501,-0.029003
12.899,51.1501,-0.029003
12.930,51.1501,-0.029003
12.964,51.1501,-0.027794
12.993,51.1501,-0.030211
13.026,51.1501,-0.031420
13.054,51.1501,-0.026586
13.086,51.1501,-0.022961
13.116,51.1501,-0.029003
13.149,51.1501,-0.025377
13.180,51.1501,-0.021752
13.212,51.1501,-0.024169
13.243,51.1501,-0.027794
13.274,51.1501,-0.027794
13.305,51.1501,-0.024169
13.325,51.1501,-0.024169
13.352,51.1501,-0.024169
13.373,51.1501,-0.021752
13.398,51.1501,-0.021752
13.429,51.1501,-0.022961
13.460,51.1501,-0.025377
13.492,51.1501,-0.026586
13.523,51.1501,-0.022961
13.554,51.1501,-0.025377
13.584,51.1501,-0.022961
13.616,51.1501,-0.024169
13.647,51.1501,-0.021752
13.678,51.1501,-0.020544
13.709,51.1501,-0.026586
13.740,51.1501,-0.025377
13.771,51.1501,-0.024169
13.802,51.1501,-0.019335
13.832,51.1501,-0.020544
13.853,51.1501,-0.018127
13.879,51.1501,-0.021752
13.912,51.1501,-0.019335
13.932,51.1501,-0.020544
13.957,51.1501,-0.020544
13.989,51.1501,-0.020544
14.020,51.1501,-0.022961
14.051,51.1501,-0.025377
14.082,51.1501,-0.021752
14.113,51.1501,-0.020544
14.143,51.1501,-0.021752
14.174,51.1501,-0.019335
14.205,51.1501,-0.020544
14.236,51.1501,-0.021752
14.261,51.1501,-0.021752
14.282,51.1501,-0.025377
14.313,51.1501,-0.024169
14.345,51.1501,-0.022961
14.376,51.1501,-0.019335
14.397,51.1501,-0.020544
14.422,51.1501,-0.021752
14.453,51.1501,-0.018127
14.485,51.1501,-0.014501
14.515,51.1501,-0.015710
14.546,51.1501,-0.020544
14.577,51.1501,-0.021752
14.608,51.1501,-0.019335
14.639,51.1501,-0.021752
14.670,51.1501,-0.022961
14.701,51.1501,-0.019335
14.732,51.1501,-0.020544
14.765,51.1501,-0.019335
14.795,51.1501,-0.015710
14.826,51.1501,-0.014501
14.858,51.1501,-0.016918
14.889,51.1501,-0.021752
14.919,51.1501,-0.020544
14.940,51.1501,-0.020544
14.968,51.1501,-0.021752
14.998,51.1501,-0.018127
15.029,51.1501,-0.018127
15.061,51.1501,-0.019335
15.092,51.1501,-0.020544
15.123,51.1501,-0.020544
15.153,51.1501,-0.014501
15.185,51.1501,-0.019335
15.216,51.1501,-0.015710
15.247,51.1501,-0.016918
15.278,51.1501,-0.016918
15.310,51.1501,-0.020544
15.341,51.1501,-0.019335
15.372,51.1501,-0.020544
15.403,51.1501,-0.020544
15.434,51.1501,-0.020544
15.465,51.1501,-0.022961
15.497,51.1501,-0.020544
15.527,51.1501,-0.018127
15.548,51.1501,-0.020544
15.573,51.1501,-0.020544
15.605,51.1501,-0.014501
15.635,51.1501,-0.015710
15.667,51.1501,-0.021752
15.698,51.1501,-0.020544
15.729,51.1501,-0.019335
15.761,51.1501,-0.019335
15.791,51.1501,-0.018127
15.823,51.1501,-0.022961
15.854,51.1501,-0.019335
15.885,51.1501,-0.021752
15.917,51.1501,-0.021752
15.948,51.1501,-0.014501
15.979,51.1501,-0.016918
16.011,51.1501,-0.024169
16.042,51.1501,-0.019335
16.072,51.1501,-0.016918
16.103,51.1501,-0.020544
16.124,51.1501,-0.018127
16.147,51.1501,-0.018127
16.178,51.1501,-0.015710
16.208,51.1501,-0.015710
16.238,51.1501,-0.018127
16.270,51.1501,-0.016918
16.300,51.1501,-0.014501
16.332,51.1501,-0.015710
16.361,51.1501,-0.019335
16.393,51.1501,-0.019335
16.414,51.1501,-0.018127
16.438,51.1501,-0.016918
16.460,51.1501,-0.018127
16.485,51.1501,-0.019335
16.516,51.1501,-0.016918
16.545,51.1501,-0.018127
16.576,51.1501,-0.015710
16.608,51.1501,-0.018127
16.639,51.1501,-0.015710
16.670,51.1501,-0.016918
16.701,51.1501,-0.021752
16.733,51.1501,-0.016918
16.763,51.1501,-0.018127
16.795,51.1501,-0.015710
16.826,51.1501,-0.015710
16.857,51.1501,-0.018127
16.888,51.1501,-0.018127
16.919,51.1501,-0.018127
16.941,51.1501,-0.016918
16.964,51.1501,-0.020544
16.996,51.1501,-0.018127
17.027,51.1501,-0.020544
17.057,51.1501,-0.016918
17.089,51.1501,-0.019335
17.119,51.1501,-0.014501
17.151,51.1501,-0.014501
17.182,51.1501,-0.016918
17.213,51.1501,-0.018127
17.245,51.1501,-0.019335
17.276,51.1501,-0.019335
17.307,51.1501,-0.015710
17.338,51.1501,-0.012084
17.369,51.1501,-0.016918
17.400,51.1501,-0.015710
17.431,51.1501,-0.014501
17.451,51.1501,-0.018127
17.477,51.1501,-0.018127
17.509,51.1501,-0.016918
17.540,51.1501,-0.016918
17.570,51.1501,-0.014501
17.601,51.1501,-0.019335
17.622,51.1501,-0.020544
17.648,51.1501,-0.020544
17.679,51.1501,-0.018127
17.710,51.1501,-0.018127
17.743,51.1501,-0.021752
17.771,51.1501,-0.021752
17.804,51.1501,-0.015710
17.834,51.1501,-0.016918
17.864,51.1501,-0.014501
17.895,51.1501,-0.014501
17.926,51.1501,-0.014501
17.958,51.1501,-0.019335
17.989,51.1501,-0.018127
18.021,51.1501,-0.014501
18.052,51.1501,-0.012084
18.082,51.1501,-0.018127
18.102,51.1501,-0.016918
18.129,51.1501,-0.018127
18.150,51.1501,-0.013293
18.175,51.1501,-0.013293
18.206,51.1501,-0.015710
18.238,51.1501,-0.019335
18.268,51.1501,-0.016918
18.299,51.1501,-0.018127
18.331,51.1501,-0.022961
18.363,51.1501,-0.016918
18.394,51.1501,-0.019335
18.424,51.1501,-0.020544
18.456,51.1501,-0.020544
18.485,51.1501,-0.018127
18.517,51.1501,-0.018127
18.547,51.1501,-0.018127
18.579,51.1501,-0.019335
18.610,51.1501,-0.016918
18.642,51.1501,-0.015710
18.673,51.1501,-0.013293
18.693,51.1501,-0.014501
18.718,51.1501,-0.014501
18.749,51.1501,-0.016918
18.781,51.1501,-0.020544
18.811,51.1501,-0.018127
18.843,51.1501,-0.013293
18.873,51.1501,-0.015710
18.904,51.1501,-0.014501
18.936,51.1501,-0.014501
18.967,51.1501,-0.014501
18.998,51.1501,-0.014501
19.029,51.1501,-0.018127
19.060,51.1501,-0.020544
19.091,51.1501,-0.015710
19.122,51.1501,-0.014501
19.143,51.1501,-0.015710
19.168,51.1501,-0.016918
19.190,51.1501,-0.018127
19.214,51.1501,-0.018127
19.246,51.1501,-0.018127
19.277,51.1501,-0.015710
19.309,51.1501,-0.015710
19.339,51.1501,-0.018127
19.371,51.1501,-0.019335
19.401,51.1501,-0.015710
19.433,51.1501,-0.015710
19.464,51.1501,-0.022961
19.496,51.1501,-0.020544
19.527,51.1501,-0.019335
19.558,51.1501,-0.016918
19.589,51.1501,-0.015710
19.620,51.1501,-0.013293
19.651,51.1501,-0.012084
19.682,51.1501,-0.020544
19.712,51.1501,-0.016918
19.733,51.1501,-0.016918
19.760,51.1501,-0.015710
19.781,51.1501,-0.015710
19.806,51.1501,-0.015710
19.837,51.1501,-0.014501
19.866,51.1501,-0.018127
19.897,51.1501,-0.016918
19.928,51.1501,-0.016918
19.959,51.1501,-0.012084
19.990,51.1501,-0.013293
20.021,51.1501,-0.014501
20.052,51.1501,-0.018127
20.086,51.1501,-0.019335
20.115,51.1501,-0.018127
20.147,51.1501,-0.015710
