Elapsed Time (s),Position (mm),Force (N)
-0.017,54.0999,-0.022961
0.000,54.0999,-0.021752
0.015,54.0999,-0.026586
0.031,54.0999,-0.026586
0.047,54.0999,-0.025377
0.064,54.0999,-0.024169
0.079,54.0999,-0.026586
0.097,54.0999,-0.030211
0.111,54.0999,-0.021752
0.128,54.0999,-0.021752
0.143,54.0999,-0.018127
0.160,54.0999,-0.018127
0.175,54.0999,-0.025377
0.192,54.0999,-0.021752
0.207,54.0999,-0.021752
0.224,54.0999,-0.021752
0.239,54.0999,-0.021752
0.255,54.0999,-0.025377
0.272,54.0999,-0.022961
0.288,54.0999,-0.020544
0.304,54.0999,-0.019335
0.319,54.0999,-0.015710
0.342,54.0999,-0.021752
0.367,54.0999,-0.029003
0.391,54.0999,-0.021752
0.413,54.0999,-0.020544
0.431,54.0999,-0.018127
0.448,54.0999,-0.024169
0.463,54.0999,-0.020544
0.479,54.0999,-0.024169
0.510,54.0999,-0.021752
0.526,54.0999,-0.015710
0.542,54.0999,-0.019335
0.558,54.0999,-0.012084
0.576,54.0999,-0.018127
0.590,54.0999,-0.021752
0.606,54.0999,-0.024169
0.622,54.0999,-0.027794
0.639,54.0999,-0.020544
0.654,54.0999,-0.020544
0.673,54.0999,-0.020544
0.686,54.0999,-0.018127
0.703,54.0999,-0.022961
0.718,54.0999,-0.022961
0.734,54.0999,-0.022961
0.750,54.0999,-0.022961
0.766,54.0999,-0.018127
0.782,54.0999,-0.018127
0.798,54.0999,-0.022961
0.822,54.0999,-0.020544
0.832,54.0999,-0.024169
0.847,54.0999,-0.020544
0.862,54.0999,-0.016918
0.878,54.0999,-0.016918
0.894,54.0999,-0.024169
0.910,54.0999,-0.025377
0.926,54.0999,-0.021752
0.944,54.0999,-0.018127
0.958,54.0999,-0.018127
0.974,54.0999,-0.018127
0.990,54.0999,-0.020544
1.006,54.0999,-0.020544
1.021,54.0999,-0.014501
1.038,54.0999,-0.013293
1.065,54.0999,-0.020544
1.082,54.0999,-0.022961
1.098,54.0999,-0.021752
1.113,54.0999,-0.016918
1.130,54.0999,-0.016918
1.146,54.0999,-0.015710
1.163,54.0999,-0.016918
1.177,54.0999,-0.016918
1.199,54.0999,-0.024169
1.210,54.0999,-0.022961
1.225,54.0999,-0.024169
1.241,54.0999,-0.016918
1.258,54.0999,-0.019335
1.273,54.0999,-0.019335
1.289,54.0999,-0.019335
1.305,54.0999,-0.016918
1.321,54.0999,-0.020544
1.338,54.0999,-0.019335
1.353,54.0999,-0.020544
1.377,54.0999,-0.022961
1.388,54.0999,-0.019335
1.402,54.0999,-0.020544
1.418,54.0999,-0.021752
1.434,54.0999,-0.022961
1.450,54.0999,-0.015710
1.466,54.0999,-0.016918
1.481,54.0999,-0.024169
1.499,54.0999,-0.020544
1.513,54.0999,-0.016918
1.530,54.0999,-0.021752
1.545,54.0999,-0.024169
1.564,54.0999,-0.019335
1.578,54.0999,-0.013293
1.594,54.0999,-0.016918
1.609,54.0999,-0.026586
1.632,54.0999,-0.026586
1.646,54.0999,-0.020544
1.663,54.0999,-0.020544
1.678,54.0999,-0.020544
1.701,54.0999,-0.020544
1.711,54.0999,-0.018127
1.727,54.0999,-0.021752
1.742,54.0999,-0.016918
1.759,54.0999,-0.021752
1.774,54.0999,-0.016918
1.790,54.0999,-0.015710
1.807,54.0999,-0.021752
1.823,54.0999,-0.015710
1.839,54.0999,-0.025377
1.854,54.0999,-0.021752
1.871,54.0999,-0.021752
1.886,54.0999,-0.018127
1.903,54.0999,-0.014501
1.918,54.0999,-0.016918
1.935,54.0999,-0.012084
1.951,54.0999,-0.013293
1.966,54.0999,-0.018127
1.983,54.0999,-0.016918
1.998,54.0999,-0.016918
2.014,54.0999,-0.020544
2.030,54.0999,-0.012084
2.055,54.0999,-0.013293
2.066,54.0999,-0.020544
2.079,54.0999,-0.015710
2.095,54.0999,-0.015710
2.111,54.0999,-0.016918
2.127,54.0999,-0.020544
2.142,54.0999,-0.016918
2.158,54.0999,-0.013293
2.174,54.0999,-0.012084
2.190,54.0999,-0.012084
2.206,54.0999,-0.016918
2.221,54.0999,-0.016918
2.239,54.0999,-0.016918
2.254,54.0999,-0.021752
2.270,54.0999,-0.021752
2.286,54.0999,-0.014501
2.302,54.0999,-0.016918
2.318,54.0999,-0.015710
2.334,54.0999,-0.018127
2.350,54.0999,-0.016918
2.366,54.0999,-0.018127
2.382,54.0999,-0.015710
2.398,54.0999,-0.010876
2.414,54.0999,-0.021752
2.430,54.0999,-0.021752
2.446,54.0999,-0.019335
2.463,54.0999,-0.020544
2.478,54.0999,-0.020544
2.495,54.0999,-0.019335
2.517,54.0999,-0.020544
2.541,54.0999,-0.018127
2.558,54.0999,-0.018127
2.578,54.0999,-0.014501
2.590,54.0999,-0.016918
2.606,54.0999,-0.020544
2.621,54.0999,-0.020544
2.642,54.0999,-0.016918
2.654,54.0999,-0.016918
2.670,54.0999,-0.018127
2.686,54.0999,-0.018127
2.709,54.0999,-0.018127
2.724,54.0999,-0.018127
2.740,54.0999,-0.015710
2.756,54.0999,-0.018127
2.771,54.0999,-0.020544
2.788,54.0999,-0.018127
2.804,54.0999,-0.018127
2.820,54.0999,-0.015710
2.836,54.0999,-0.012084
2.852,54.0999,-0.010876
2.868,54.0999,-0.014501
2.884,54.0999,-0.015710
2.900,54.0999,-0.019335
2.916,54.0999,-0.015710
2.932,54.0999,-0.015710
2.948,54.0999,-0.014501
2.964,54.0999,-0.014501
2.980,54.0999,-0.019335
2.996,54.0999,-0.013293
3.015,54.0999,-0.014501
3.028,54.0999,-0.010876
3.044,54.0999,-0.019335
3.060,54.0999,-0.016918
3.077,54.0999,-0.018127
3.093,54.0999,-0.013293
3.108,54.0999,-0.013293
3.124,54.0999,-0.021752
3.140,54.0999,-0.021752
3.156,54.0999,-0.014501
3.171,54.0999,-0.016918
3.188,54.0999,-0.012084
3.204,54.0999,-0.015710
3.220,54.0999,-0.015710
3.236,54.0999,-0.018127
3.259,54.0999,-0.018127
3.274,54.0999,-0.020544
3.291,54.0999,-0.020544
3.306,54.0999,-0.015710
3.323,54.0999,-0.014501
3.339,54.0999,-0.013293
3.355,54.0999,-0.010876
3.371,54.0999,-0.015710
3.388,54.0999,-0.018127
3.403,54.0999,-0.013293
3.419,54.0999,-0.015710
3.435,54.0999,-0.015710
3.450,54.0999,-0.015710
3.467,54.0999,-0.019335
3.483,54.0999,-0.015710
3.498,54.0999,-0.019335
3.514,54.0999,-0.013293
3.530,54.0999,-0.012084
3.554,54.0999,-0.012084
3.569,54.0999,-0.014501
3.579,54.0999,-0.013293
