Layer,Peak_Peel_Force_N,Work_of_Adhesion_mJ,Time_to_Peel_Start_s,Peel_Time_s,Total_Peel_Time_s,Distance_to_Peel_Start_mm,Peak_Retraction_Force_N
1,0.0459,0.0175,3.1759,0.8871,4.0630,1.5287,-0.1039
2,0.0338,0.0114,3.0213,0.6781,3.6994,1.4822,-0.0967
3,0.0290,0.0087,3.2064,0.3147,3.5211,1.5746,-0.0931
4,0.0266,0.0080,3.0106,0.4769,3.4875,1.4474,-0.0882
5,0.0230,0.0074,2.9966,0.3153,3.3119,1.4705,-0.0846
6,0.0242,0.0069,2.4674,0.0488,2.5162,1.2291,-0.0798
7,0.0882,0.0631,0.5030,0.0960,0.5990,2.2013,-0.0906
8,0.0882,0.0632,0.4687,0.1439,0.6126,2.0012,-0.0931
9,0.0882,0.0678,0.3740,0.1923,0.5663,1.7568,-0.0894
10,0.1039,0.0662,0.3988,0.1411,0.5400,1.8694,-0.0834
11,0.0991,0.0703,0.3624,0.1599,0.5223,1.8662,-0.0870
12,0.0979,0.0686,0.4162,0.1260,0.5423,1.9299,-0.0822
13,0.1039,0.0742,0.4117,0.0961,0.5077,2.1135,-0.0846
14,0.1003,0.0747,0.3360,0.1284,0.4643,1.8993,-0.0773
15,0.1015,0.0727,0.3926,0.1121,0.5047,1.9268,-0.0725
16,0.1148,0.0860,0.3832,0.1130,0.4962,2.0332,-0.0677
17,0.1088,0.0761,0.3807,0.0949,0.4756,2.0800,-0.0798
18,0.1112,0.0812,0.3830,0.0810,0.4640,2.1093,-0.0640
19,0.1196,0.0846,0.3424,0.0964,0.4387,1.9764,-0.0906
20,0.1208,0.0913,0.3470,0.0798,0.4268,2.0248,-0.0846
21,0.1269,0.0856,0.3356,0.1096,0.4452,1.8470,-0.0713
22,0.1281,0.0999,0.2400,0.1339,0.3739,1.7273,-0.0761
23,0.1366,0.1039,0.3210,0.1107,0.4317,1.8945,-0.1015
24,0.1341,0.1016,0.3038,0.1130,0.4168,1.8540,-0.1027
25,0.1474,0.1125,0.2939,0.1279,0.4218,1.7756,-0.0616
26,0.1462,0.1156,0.3208,0.0948,0.4156,2.0876,-0.1088
27,0.1571,0.1209,0.3199,0.0799,0.3998,2.0988,-0.0955
28,0.1486,0.1154,0.3040,0.0808,0.3848,2.0986,-0.1015
29,0.1583,0.1138,0.2702,0.1296,0.3998,1.8164,-0.1015
30,0.1535,0.1079,0.3039,0.0790,0.3828,1.9932,-0.0616
31,0.1607,0.1382,0.2720,0.0964,0.3684,1.9004,-0.0616
32,0.1631,0.1195,0.2938,0.0801,0.3740,2.0146,-0.1148
33,0.1619,0.1202,0.2399,0.1120,0.3519,2.0425,-0.1063
34,0.1680,0.1215,0.2556,0.0936,0.3492,1.8497,-0.0701
35,0.1643,0.1267,0.2322,0.0643,0.2966,2.0701,-0.1221
36,0.1692,0.1334,0.2876,0.0813,0.3688,2.0320,-0.1208
