Elapsed Time (s),Position (mm),Force (N)
-0.018,64.0999,-0.021752
0.000,64.0999,-0.020544
0.016,64.0999,-0.020544
0.031,64.0999,-0.024169
0.046,64.0999,-0.020544
0.062,64.0999,-0.020544
0.078,64.0999,-0.025377
0.094,64.0999,-0.025377
0.110,64.0999,-0.032628
0.134,64.0999,-0.020544
0.158,64.0999,-0.024169
0.175,64.0999,-0.025377
0.191,64.0999,-0.029003
0.207,64.0999,-0.029003
0.223,64.0999,-0.019335
0.238,64.0999,-0.026586
0.256,64.0999,-0.026586
0.271,64.0999,-0.016918
0.288,64.0999,-0.018127
0.302,64.0999,-0.016918
0.320,64.0999,-0.021752
0.335,64.0999,-0.021752
0.352,64.0999,-0.025377
0.379,64.0999,-0.018127
0.396,64.0999,-0.013293
0.411,64.0999,-0.020544
0.427,64.0999,-0.020544
0.443,64.0999,-0.020544
0.459,64.0999,-0.022961
0.475,64.0999,-0.022961
0.491,64.0999,-0.024169
0.509,64.0999,-0.016918
0.524,64.0999,-0.019335
0.541,64.0999,-0.019335
0.555,64.0999,-0.020544
0.572,64.0999,-0.022961
0.588,64.0999,-0.022961
0.604,64.0999,-0.019335
0.619,64.0999,-0.015710
0.635,64.0999,-0.018127
0.651,64.0999,-0.018127
0.667,64.0999,-0.020544
0.684,64.0999,-0.018127
0.700,64.0999,-0.022961
0.715,64.0999,-0.021752
0.731,64.0999,-0.018127
0.748,64.0999,-0.016918
0.763,64.0999,-0.022961
0.779,64.0999,-0.025377
0.795,64.0999,-0.024169
0.812,64.0999,-0.022961
0.827,64.0999,-0.016918
0.843,64.0999,-0.016918
0.860,64.0999,-0.019335
0.876,64.0999,-0.014501
0.890,64.0999,-0.020544
0.922,64.0999,-0.021752
0.938,64.0999,-0.015710
0.954,64.0999,-0.014501
0.970,64.0999,-0.018127
0.987,64.0999,-0.013293
1.002,64.0999,-0.014501
1.020,64.0999,-0.015710
1.034,64.0999,-0.024169
1.051,64.0999,-0.016918
1.067,64.0999,-0.015710
1.086,64.0999,-0.019335
1.098,64.0999,-0.015710
1.114,64.0999,-0.015710
1.130,64.0999,-0.018127
1.146,64.0999,-0.018127
1.162,64.0999,-0.013293
1.178,64.0999,-0.018127
1.194,64.0999,-0.019335
1.210,64.0999,-0.021752
1.226,64.0999,-0.016918
1.243,64.0999,-0.019335
1.258,64.0999,-0.014501
1.274,64.0999,-0.019335
1.293,64.0999,-0.020544
1.306,64.0999,-0.015710
1.322,64.0999,-0.015710
1.338,64.0999,-0.018127
1.354,64.0999,-0.020544
1.370,64.0999,-0.016918
1.386,64.0999,-0.013293
1.404,64.0999,-0.015710
1.418,64.0999,-0.016918
1.434,64.0999,-0.016918
1.463,64.0999,-0.016918
1.478,64.0999,-0.015710
1.494,64.0999,-0.013293
1.510,64.0999,-0.018127
1.526,64.0999,-0.014501
1.543,64.0999,-0.014501
1.561,64.0999,-0.010876
1.574,64.0999,-0.008459
1.591,64.0999,-0.013293
1.607,64.0999,-0.016918
1.624,64.0999,-0.020544
1.638,64.0999,-0.016918
1.654,64.0999,-0.016918
1.671,64.0999,-0.016918
1.686,64.0999,-0.016918
1.702,64.0999,-0.021752
1.718,64.0999,-0.020544
1.734,64.0999,-0.020544
1.750,64.0999,-0.015710
1.769,64.0999,-0.018127
1.782,64.0999,-0.016918
1.798,64.0999,-0.012084
1.814,64.0999,-0.012084
1.831,64.0999,-0.014501
1.846,64.0999,-0.013293
1.863,64.0999,-0.016918
1.878,64.0999,-0.018127
1.897,64.0999,-0.016918
1.909,64.0999,-0.015710
1.925,64.0999,-0.015710
1.942,64.0999,-0.015710
1.958,64.0999,-0.016918
1.974,64.0999,-0.015710
1.990,64.0999,-0.010876
2.006,64.0999,-0.009668
2.022,64.0999,-0.007251
2.038,64.0999,-0.009668
2.054,64.0999,-0.009668
2.070,64.0999,-0.016918
2.086,64.0999,-0.019335
2.101,64.0999,-0.020544
2.118,64.0999,-0.009668
2.133,64.0999,-0.009668
2.150,64.0999,-0.007251
2.165,64.0999,-0.007251
2.181,64.0999,-0.016918
2.197,64.0999,-0.015710
2.213,64.0999,-0.010876
2.230,64.0999,-0.013293
2.246,64.0999,-0.009668
2.261,64.0999,-0.019335
2.277,64.0999,-0.020544
2.293,64.0999,-0.018127
2.309,64.0999,-0.015710
2.326,64.0999,-0.012084
2.342,64.0999,-0.008459
2.357,64.0999,-0.016918
2.374,64.0999,-0.016918
2.390,64.0999,-0.012084
2.407,64.0999,-0.014501
2.424,64.0999,-0.013293
2.438,64.0999,-0.015710
2.453,64.0999,-0.010876
2.469,64.0999,-0.012084
2.486,64.0999,-0.012084
2.502,64.0999,-0.009668
2.520,64.0999,-0.013293
2.544,64.0999,-0.013293
2.560,64.0999,-0.012084
2.577,64.0999,-0.018127
2.592,64.0999,-0.016918
2.609,64.0999,-0.016918
2.626,64.0999,-0.015710
2.642,64.0999,-0.015710
2.656,64.0999,-0.016918
2.673,64.0999,-0.013293
2.689,64.0999,-0.013293
2.704,64.0999,-0.013293
2.721,64.0999,-0.012084
2.743,64.0999,-0.016918
2.753,64.0999,-0.016918
2.769,64.0999,-0.019335
2.784,64.0999,-0.019335
2.801,64.0999,-0.015710
2.816,64.0999,-0.012084
2.832,64.0999,-0.013293
2.854,64.0999,-0.016918
2.864,64.0999,-0.020544
2.881,64.0999,-0.010876
2.897,64.0999,-0.012084
2.913,64.0999,-0.014501
2.928,64.0999,-0.013293
2.944,64.0999,-0.013293
2.960,64.0999,-0.013293
2.978,64.0999,-0.016918
2.993,64.0999,-0.018127
3.009,64.0999,-0.018127
3.024,64.0999,-0.019335
3.040,64.0999,-0.013293
3.057,64.0999,-0.013293
3.072,64.0999,-0.014501
3.096,64.0999,-0.019335
3.111,64.0999,-0.019335
3.127,64.0999,-0.013293
3.143,64.0999,-0.015710
3.159,64.0999,-0.014501
3.175,64.0999,-0.019335
3.191,64.0999,-0.016918
3.207,64.0999,-0.015710
3.225,64.0999,-0.016918
3.239,64.0999,-0.019335
3.255,64.0999,-0.012084
3.271,64.0999,-0.018127
3.287,64.0999,-0.013293
3.304,64.0999,-0.015710
3.322,64.0999,-0.014501
3.335,64.0999,-0.016918
3.352,64.0999,-0.007251
3.368,64.0999,-0.004834
3.384,64.0999,-0.004834
3.399,64.0999,-0.010876
3.415,64.0999,-0.010876
3.431,64.0999,-0.015710
3.446,64.0999,-0.016918
3.465,64.0999,-0.014501
3.479,64.0999,-0.015710
3.495,64.0999,-0.009668
3.510,64.0999,-0.012084
3.531,64.0999,-0.016918
3.543,64.0999,-0.014501
3.558,64.0999,-0.015710
3.575,64.0999,-0.010876
3.596,64.0999,-0.012084
3.607,64.0999,-0.013293
3.623,64.0999,-0.006042
3.638,64.0999,-0.018127
3.662,64.0999,-0.014501
3.678,64.0999,-0.010876
3.694,64.0999,-0.013293
3.710,64.0999,-0.019335
3.726,64.0999,-0.019335
3.742,64.0999,-0.014501
3.758,64.0999,-0.016918
3.774,64.0999,-0.016918
3.791,64.0999,-0.024169
3.807,64.0999,-0.021752
3.823,64.0999,-0.013293
3.838,64.0999,-0.013293
3.860,64.0999,-0.019335
3.882,64.0999,-0.015710
3.902,64.0999,-0.018127
3.919,64.0999,-0.015710
3.935,64.0999,-0.008459
3.950,64.0999,-0.012084
3.965,64.0999,-0.013293
3.985,64.0999,-0.013293
