Layer,Peak_Force_N,Work_of_Adhesion_mJ
1,0.5210,0.2179
2,0.1298,0.0483
3,0.1230,0.0477
4,0.1242,0.0462
5,0.1239,0.0439
6,0.1099,0.0379
7,0.1021,0.0335
8,0.0963,0.0300
9,0.0875,0.0259
10,0.0796,0.0226
11,0.0692,0.0189
12,0.0608,0.0165
13,0.0519,0.0135
14,0.0443,0.0115
15,0.0379,0.0093
16,0.0324,0.0080
17,0.0279,0.0067
18,0.0239,0.0055
19,0.0207,0.0046
20,0.0175,0.0039
21,0.0152,0.0035
22,0.0132,0.0030
23,0.0109,0.0025
24,0.0093,0.0021
25,0.0078,0.0019
26,0.0067,0.0016
27,0.0055,0.0014
28,0.0046,0.0012
29,0.0040,0.0011
30,0.0032,0.0010
31,0.0025,0.0009
32,0.0020,0.0008
33,0.0019,0.0008
34,0.0020,0.0007
35,0.0020,0.0008
36,0.0020,0.0008
37,0.0021,0.0008
38,0.0022,0.0009
39,0.0022,0.0009
40,0.0022,0.0009
41,0.0023,0.0010
42,0.0023,0.0010
43,0.0023,0.0010
44,0.0025,0.0011
45,0.0026,0.0012
46,0.0026,0.0012
47,0.0026,0.0013
48,0.0028,0.0014
49,0.0028,0.0015
50,0.0029,0.0015
51,0.0030,0.0016
52,0.0030,0.0016
53,0.0031,0.0017
54,0.0031,0.0019
55,0.0032,0.0019
56,0.0032,0.0020
57,0.0033,0.0021
58,0.0033,0.0020
59,0.0034,0.0022
60,0.0034,0.0023
61,0.0035,0.0024
62,0.0035,0.0024
63,0.0036,0.0026
64,0.0037,0.0028
65,0.0037,0.0028
66,0.0037,0.0028
67,0.0040,0.0031
68,0.0039,0.0031
69,0.0040,0.0033
70,0.0040,0.0034
71,0.0042,0.0035
72,0.0042,0.0037
73,0.0043,0.0039
74,0.0044,0.0040
75,0.0044,0.0041
76,0.0046,0.0043
77,0.0046,0.0044
78,0.0047,0.0046
79,0.0047,0.0048
80,0.0048,0.0050
81,0.0049,0.0052
82,0.0050,0.0053
83,0.0050,0.0055
84,0.0052,0.0058
85,0.0052,0.0059
86,0.0053,0.0061
87,0.0054,0.0064
88,0.0054,0.0065
89,0.0055,0.0067
90,0.0055,0.0069
91,0.0056,0.0072
92,0.0057,0.0074
93,0.0058,0.0076
94,0.0058,0.0079
