Layer,Peak_Force_N,Work_of_Adhesion_mJ
1,1.4929,0.4891
2,0.8466,0.2445
3,1.2339,0.3065
4,0.3889,0.1136
5,0.8719,0.2251
6,0.7783,0.2069
7,0.8989,0.2307
8,1.0300,0.2657
9,1.1441,0.2892
10,2.1550,0.5945
11,2.2090,0.5885
12,0.5943,0.1575
13,1.8819,0.4948
14,2.7259,0.7468
15,0.3379,0.1018
16,1.4846,0.4041
17,1.5987,0.4111
18,1.7125,0.4330
19,0.9267,0.2358
20,0.9451,0.2404
21,0.9106,0.2335
22,0.9466,0.2386
23,1.1697,0.2877
24,0.9734,0.2536
25,1.9057,0.4940
26,1.1201,0.2911
27,0.9036,0.2297
28,1.0023,0.2542
29,1.0301,0.2582
30,1.0095,0.2638
31,1.0663,0.2800
32,1.8650,0.5126
33,1.0979,0.2777
34,1.1853,0.3021
35,1.9082,0.5176
36,0.9166,0.2371
37,1.1737,0.3125
38,1.2097,0.3060
39,1.1817,0.2964
40,1.0358,0.2692
41,1.0669,0.2770
42,1.1557,0.2902
43,1.0907,0.2890
44,1.9507,0.5142
45,1.9878,0.5432
46,0.9963,0.2508
47,2.0972,0.5619
48,1.4312,0.3920
49,2.0932,0.5571
50,1.1547,0.2871
51,1.2657,0.3201
52,1.1879,0.3105
53,1.1278,0.2930
54,0.9674,0.2525
55,1.9604,0.5588
56,0.8869,0.2343
57,1.1100,0.2983
58,2.0769,0.5872
59,1.1139,0.2831
60,1.1614,0.2975
61,1.2129,0.3066
62,1.1045,0.2827
63,1.1201,0.2871
64,1.1917,0.2974
65,2.1278,0.5945
66,0.9609,0.2540
67,0.5656,0.1599
68,2.0872,0.5585
69,0.9348,0.2416
70,2.0670,0.5708
71,2.1953,0.6352
72,1.4153,0.3637
73,1.4655,0.3880
74,1.2541,0.3179
75,3.4483,1.0712
76,2.9073,0.8525
77,0.8685,0.2346
78,1.9566,0.5246
79,1.4277,0.3822
80,1.7710,0.4954
81,1.7033,0.4507
82,1.5080,0.4005
83,1.4953,0.4080
84,1.6745,0.4401
85,1.3325,0.3560
86,3.2643,1.0813
87,1.7757,0.4689
88,1.3256,0.3448
89,1.3615,0.3501
90,3.0027,0.8852
91,1.4463,0.3749
92,2.7946,0.8413
93,1.0020,0.2607
94,1.4267,0.3699
95,2.5834,0.7509
96,2.5289,0.7234
97,1.1279,0.2974
98,1.3221,0.3541
99,1.4655,0.3951
100,1.2972,0.3527
101,1.3353,0.3463
102,1.2706,0.3315
103,1.3934,0.3562
104,1.2700,0.3206
105,2.7564,0.8070
106,1.2469,0.3292
107,1.3658,0.3644
108,2.9013,0.8508
109,1.1696,0.3098
110,1.9728,0.5583
111,1.2810,0.3400
112,1.4557,0.3908
113,1.7155,0.4637
114,2.0335,0.5769
115,1.6601,0.4316
116,1.8447,0.5224
117,1.2130,0.3211
118,2.2340,0.6296
119,0.8289,0.2255
120,3.8167,1.3170
121,3.8428,1.3034
122,1.3403,0.3611
123,2.2328,0.6242
124,1.1542,0.3049
125,1.2533,0.3378
126,1.6814,0.4564
127,4.0109,1.3792
128,1.2823,0.3394
129,1.2909,0.3434
130,1.2017,0.3176
131,1.4044,0.3641
132,1.4364,0.3721
133,1.4296,0.3701
134,1.4638,0.3906
135,1.4186,0.3804
136,1.4078,0.3736
137,1.4558,0.3894
138,1.3157,0.3467
139,1.4266,0.3730
