Elapsed Time (s),Position (mm),Force (N)
-0.013,78.1515,-0.026806
0.095,78.1515,-0.026806
0.203,78.1515,-0.026806
0.315,78.1515,-0.025665
0.423,78.1515,-0.025665
0.534,78.1515,-0.024647
0.643,78.1515,-0.024647
0.751,78.1515,-0.023856
0.860,78.1515,-0.023856
0.970,78.1515,-0.023205
1.079,78.1515,-0.023205
1.187,78.1515,-0.023205
1.296,78.1515,-0.022583
1.405,78.1515,-0.022583
1.515,78.1515,-0.022084
1.624,78.1515,-0.022084
1.733,78.1515,-0.021603
1.842,78.1515,-0.021603
1.952,78.1515,-0.021603
2.062,78.1515,-0.021141
2.172,78.1515,-0.021141
2.283,78.1515,-0.020783
2.392,78.1515,-0.020783
2.502,78.1515,-0.020453
2.609,78.1515,-0.020453
2.718,78.1515,-0.020142
2.830,78.1515,-0.020142
2.938,78.1515,-0.020142
3.047,78.1515,-0.019765
3.157,78.1515,-0.019765
3.269,78.1515,-0.019511
3.378,78.1515,-0.019511
3.487,78.1515,-0.019416
3.597,78.1515,-0.019416
3.707,78.1515,-0.019416
3.820,78.1515,-0.019690
3.928,78.1515,-0.019690
4.038,78.1515,-0.020274
4.148,78.1483,-0.020274
4.257,78.1361,-0.020491
4.365,78.1162,-0.020491
4.474,78.0943,-0.015297
4.584,78.0724,-0.015297
4.694,78.0502,-0.015297
4.803,78.0286,-0.001612
4.912,78.0069,-0.001612
5.020,77.9852,0.013940
5.129,77.9634,0.013940
5.239,77.9412,0.013940
5.349,77.9195,0.027070
5.456,77.8979,0.027070
5.566,77.8759,0.039474
5.675,77.8541,0.039474
5.785,77.8321,0.052170
5.894,77.8102,0.052170
6.003,77.7885,0.052170
6.112,77.7669,0.065554
6.222,77.7448,0.079616
6.330,77.7233,0.079616
6.439,77.7014,0.079616
6.546,77.6798,0.094650
6.657,77.6579,0.094650
6.764,77.6364,0.111191
6.873,77.6145,0.111191
6.982,77.5927,0.129335
7.091,77.5711,0.129335
7.201,77.5491,0.129335
7.310,77.5272,0.149195
7.420,77.5051,0.149195
7.531,77.4829,0.170977
7.638,77.4616,0.170977
7.747,77.4397,0.195030
7.857,77.4177,0.195030
7.966,77.3961,0.195030
8.073,77.3746,0.221601
8.183,77.3524,0.221601
8.291,77.3311,0.250980
8.400,77.3093,0.250980
8.511,77.2869,0.283695
8.619,77.2654,0.283695
8.727,77.2438,0.320398
8.837,77.2217,0.320398
8.949,77.1994,0.320398
9.058,77.1774,0.361294
9.168,77.1555,0.361294
9.277,77.1336,0.406753
9.387,77.1118,0.406753
9.496,77.0900,0.457330
9.605,77.0682,0.457330
9.714,77.0463,0.457330
9.824,77.0245,0.513892
9.932,77.0027,0.513892
10.042,76.9809,0.577042
10.150,76.9590,0.577042
10.259,76.9373,0.646997
10.369,76.9154,0.646997
10.477,76.8938,0.724757
10.586,76.8720,0.724757
10.695,76.8503,0.724757
10.804,76.8283,0.810377
10.913,76.8066,0.810377
11.024,76.7844,0.903849
11.133,76.7627,0.903849
11.240,76.7411,1.005690
11.351,76.7190,1.005690
11.459,76.6975,1.005690
11.568,76.6755,1.115374
11.678,76.6534,1.115374
11.786,76.6320,1.231184
11.895,76.6103,1.231184
12.004,76.5883,1.335334
12.115,76.5661,1.335334
12.225,76.5442,1.335334
12.335,76.5222,0.832998
12.445,76.5003,0.832998
12.554,76.4783,0.147225
12.664,76.4565,0.147225
12.773,76.4347,0.008106
12.883,76.4126,0.008106
12.992,76.3907,0.008106
13.100,76.3692,0.007493
13.210,76.3471,0.007493
13.321,76.3249,0.007587
13.430,76.3032,0.007587
13.540,76.2811,0.007455
13.651,76.2592,0.007455
13.760,76.2373,0.007455
13.870,76.2153,0.007314
13.977,76.1938,0.007314
14.085,76.1722,0.007210
14.194,76.1503,0.007210
14.302,76.1288,0.007069
14.411,76.1071,0.007069
14.520,76.0853,0.006928
14.630,76.0631,0.006928
14.740,76.0410,0.006852
14.848,76.0197,0.006852
14.957,75.9977,0.006852
15.066,75.9759,0.006777
15.176,75.9538,0.006777
15.286,75.9321,0.006645
15.394,75.9104,0.006645
15.505,75.8883,0.006532
15.614,75.8665,0.006532
15.723,75.8447,0.006419
15.830,75.8232,0.006419
15.940,75.8013,0.006419
16.050,75.7789,0.006400
16.159,75.7575,0.006400
16.269,75.7354,0.006372
16.377,75.7140,0.006372
16.486,75.6920,0.006268
16.595,75.6703,0.006268
16.703,75.6487,0.006268
16.812,75.6268,0.006155
