Elapsed Time (s),Position (mm),Force (N)
-0.027,80.4902,-0.004720
0.000,80.4902,-0.004720
0.035,80.4902,-0.004720
0.066,80.4902,-0.004720
0.097,80.4902,-0.004720
0.127,80.4902,-0.004720
0.158,80.4902,-0.003966
0.188,80.4902,-0.003966
0.219,80.4902,-0.003966
0.250,80.4902,-0.003966
0.282,80.4902,-0.003966
0.313,80.4902,-0.003966
0.344,80.4902,-0.003966
0.375,80.4902,-0.003486
0.407,80.4902,-0.003486
0.437,80.4902,-0.003486
0.467,80.4902,-0.003486
0.498,80.4902,-0.003486
0.530,80.4902,-0.003486
0.561,80.4902,-0.003486
0.592,80.4902,-0.003486
0.623,80.4902,-0.003486
0.654,80.4902,-0.003185
0.685,80.4902,-0.003185
0.717,80.4902,-0.003185
0.747,80.4902,-0.003185
0.778,80.4902,-0.003185
0.809,80.4902,-0.003185
0.842,80.4902,-0.003185
0.871,80.4902,-0.002940
0.904,80.4902,-0.002940
0.935,80.4902,-0.002940
0.966,80.4902,-0.002940
0.997,80.4902,-0.002940
1.027,80.4902,-0.002940
1.058,80.4902,-0.002940
1.088,80.4902,-0.002940
1.119,80.4902,-0.002629
1.150,80.4902,-0.002629
1.181,80.4902,-0.002629
1.212,80.4902,-0.002629
1.244,80.4902,-0.002629
1.275,80.4902,-0.002629
1.306,80.4902,-0.002629
1.338,80.4902,-0.002629
1.369,80.4902,-0.002629
1.401,80.4902,-0.002412
1.432,80.4902,-0.002412
1.463,80.4902,-0.002412
1.494,80.4902,-0.002412
1.526,80.4902,-0.002412
1.557,80.4902,-0.002412
1.589,80.4902,-0.002412
1.620,80.4902,-0.002412
1.653,80.4902,-0.002205
1.682,80.4902,-0.002205
1.713,80.4902,-0.002205
1.744,80.4902,-0.002205
1.775,80.4902,-0.002205
1.807,80.4902,-0.002205
1.838,80.4902,-0.002205
1.869,80.4902,-0.002035
1.901,80.4902,-0.002035
1.932,80.4902,-0.002035
1.963,80.4902,-0.002035
1.993,80.4902,-0.002035
2.024,80.4902,-0.002035
2.057,80.4902,-0.002035
2.086,80.4902,-0.002035
2.118,80.4902,-0.001922
2.148,80.4902,-0.001922
2.179,80.4902,-0.001922
2.210,80.4902,-0.001922
2.242,80.4902,-0.001922
2.272,80.4902,-0.001922
2.304,80.4902,-0.001922
2.337,80.4902,-0.001922
2.367,80.4902,-0.001762
2.398,80.4902,-0.001762
2.430,80.4902,-0.001762
2.461,80.4902,-0.001762
2.492,80.4902,-0.001762
2.523,80.4902,-0.001762
2.554,80.4902,-0.001762
2.586,80.4902,-0.001762
2.616,80.4902,-0.001630
2.647,80.4902,-0.001630
2.678,80.4902,-0.001630
2.709,80.4902,-0.001630
2.740,80.4902,-0.001630
2.771,80.4902,-0.001630
2.802,80.4902,-0.001630
2.834,80.4902,-0.001630
2.866,80.4902,-0.001479
2.897,80.4902,-0.001479
2.928,80.4902,-0.001479
2.959,80.4902,-0.001479
2.989,80.4902,-0.001479
3.020,80.4902,-0.001479
3.051,80.4902,-0.001479
3.083,80.4902,-0.001479
3.116,80.4902,-0.001338
3.147,80.4902,-0.001338
3.177,80.4902,-0.001338
3.208,80.4902,-0.001338
3.239,80.4902,-0.001338
3.269,80.4902,-0.001338
3.302,80.4902,-0.001338
3.333,80.4902,-0.001338
3.363,80.4902,-0.001262
3.394,80.4902,-0.001262
3.425,80.4902,-0.001262
3.456,80.4902,-0.001262
3.487,80.4902,-0.001262
3.519,80.4902,-0.001262
3.551,80.4902,-0.001262
3.582,80.4902,-0.001262
3.613,80.4902,-0.001206
3.644,80.4902,-0.001206
3.675,80.4902,-0.001206
3.706,80.4902,-0.001206
3.736,80.4902,-0.001206
3.767,80.4902,-0.001206
3.798,80.4902,-0.001206
3.830,80.4902,-0.001206
3.861,80.4902,-0.001074
3.893,80.4902,-0.001074
3.924,80.4902,-0.001074
3.955,80.4902,-0.001074
3.986,80.4902,-0.001074
4.017,80.4902,-0.001074
4.047,80.4902,-0.001074
4.078,80.4897,-0.001074
4.109,80.4884,-0.001074
4.141,80.4864,-0.000839
4.171,80.4836,-0.000839
4.202,80.4803,-0.000839
4.233,80.4761,-0.000839
4.264,80.4711,-0.000839
4.296,80.4654,-0.000839
4.327,80.4592,-0.000839
4.358,80.4529,-0.000839
4.390,80.4467,0.000641
4.421,80.4404,0.000641
4.452,80.4343,0.000641
4.485,80.4276,0.000641
4.515,80.4218,0.000641
4.545,80.4154,0.000641
4.576,80.4095,0.000641
4.607,80.4032,0.000641
4.638,80.3971,0.005427
4.669,80.3908,0.005427
4.700,80.3847,0.005427
4.731,80.3785,0.005427
4.761,80.3725,0.005427
4.792,80.3663,0.005427
4.823,80.3599,0.005427
4.854,80.3538,0.005427
4.886,80.3476,0.012616
4.917,80.3413,0.012616
4.948,80.3352,0.012616
4.979,80.3290,0.012616
5.010,80.3228,0.012616
5.040,80.3166,0.012616
5.071,80.3104,0.012616
5.103,80.3041,0.012616
5.134,80.2979,0.020963
5.166,80.2914,0.020963
5.197,80.2853,0.020963
5.229,80.2789,0.020963
5.260,80.2727,0.020963
5.291,80.2664,0.020963
5.323,80.2602,0.020963
5.354,80.2537,0.020963
5.385,80.2478,0.031468
5.415,80.2416,0.031468
5.446,80.2355,0.031468
5.477,80.2293,0.031468
5.507,80.2231,0.031468
5.538,80.2169,0.031468
5.569,80.2107,0.031468
5.600,80.2046,0.031468
5.632,80.1981,0.044856
5.663,80.1921,0.044856
5.694,80.1857,0.044856
5.724,80.1798,0.044856
5.756,80.1735,0.044856
5.787,80.1673,0.044856
5.818,80.1609,0.044856
5.850,80.1546,0.061495
5.884,80.1477,0.061495
5.912,80.1422,0.061495
5.944,80.1359,0.061495
5.975,80.1297,0.061495
6.006,80.1236,0.061495
6.036,80.1173,0.061495
6.067,80.1113,0.061495
6.098,80.1049,0.081666
6.129,80.0989,0.081666
6.160,80.0926,0.081666
6.192,80.0862,0.081666
6.222,80.0801,0.081666
6.253,80.0741,0.081666
6.284,80.0677,0.081666
6.316,80.0615,0.081666
6.347,80.0553,0.081666
6.377,80.0493,0.105447
6.408,80.0430,0.105447
6.440,80.0367,0.105447
6.469,80.0307,0.105447
6.501,80.0245,0.105447
6.533,80.0181,0.105447
6.565,80.0115,0.105447
6.596,80.0055,0.105447
6.625,79.9996,0.133108
6.656,79.9934,0.133108
6.688,79.9871,0.133108
6.720,79.9806,0.133108
6.750,79.9747,0.133108
6.781,79.9685,0.133108
6.812,79.9623,0.133108
6.844,79.9559,0.133108
6.874,79.9498,0.164699
6.905,79.9438,0.164699
6.936,79.9376,0.164699
6.966,79.9315,0.164699
6.998,79.9250,0.164699
7.027,79.9192,0.164699
7.059,79.9129,0.164699
7.089,79.9067,0.164699
7.121,79.9005,0.164699
7.152,79.8942,0.200096
7.184,79.8878,0.200096
7.216,79.8815,0.200096
7.247,79.8751,0.200096
7.279,79.8689,0.200096
7.310,79.8628,0.200096
7.341,79.8566,0.200096
7.372,79.8504,0.200096
7.403,79.8442,0.239393
7.434,79.8379,0.239393
7.464,79.8318,0.239393
7.495,79.8256,0.239393
7.526,79.8194,0.239393
7.558,79.8131,0.239393
7.587,79.8072,0.239393
7.619,79.8009,0.239393
7.650,79.7947,0.282469
7.683,79.7880,0.282469
7.713,79.7822,0.282469
7.744,79.7758,0.282469
7.774,79.7696,0.282469
7.805,79.7636,0.282469
7.836,79.7575,0.282469
7.867,79.7513,0.282469
7.898,79.7451,0.328776
7.929,79.7388,0.328776
7.960,79.7328,0.328776
7.991,79.7265,0.328776
8.021,79.7205,0.328776
8.053,79.7140,0.328776
8.083,79.7080,0.328776
8.115,79.7017,0.328776
8.146,79.6955,0.377750
8.177,79.6892,0.377750
