Layer,Peak_Peel_Force_N,Work_of_Adhesion_mJ,Time_to_Peel_Start_s,Peel_Time_s,Total_Peel_Time_s,Distance_to_Peel_Start_mm,Peak_Retraction_Force_N
1,0.0488,0.0220,12.4501,7.2048,19.6549,0.6201,-0.0560
2,0.0291,0.0136,14.0730,2.5179,16.5909,0.7022,-0.0475
3,0.0215,0.0117,12.2230,2.1821,14.4050,0.6114,-0.0403
4,0.0260,0.0138,8.4038,2.4066,10.8104,0.6236,-0.0400
5,0.0249,0.0130,7.7656,1.9655,9.7312,0.5815,-0.0340
6,0.0283,0.0146,5.7800,1.9693,7.7493,0.5704,-0.0333
7,0.0274,0.0140,5.2373,2.0704,7.3077,0.5156,-0.0287
8,0.0293,0.0157,4.1467,2.1814,6.3281,0.5122,-0.0276
9,0.0530,0.0253,8.9476,1.2026,10.1502,1.1121,-0.0252
10,0.1189,0.0551,11.3527,0.5444,11.8970,1.6940,-0.0254
11,0.0302,0.0159,3.1614,1.1993,4.3607,0.5376,-0.0237
12,0.0311,0.0164,2.6226,1.5272,4.1498,0.4953,-0.0223
13,0.0276,0.0155,2.1851,1.5294,3.7144,0.4106,-0.0193
14,0.0231,0.0146,1.7493,1.7469,3.4962,0.3258,-0.0170
15,0.0197,0.0139,1.6471,1.4280,3.0751,0.3057,-0.0149
16,0.0172,0.0137,1.4152,1.4170,2.8322,0.2607,-0.0125
