Elapsed Time (s),Position (mm),Force (N)
-0.016,71.1307,0.181603
0.045,71.1307,0.181603
0.107,71.1307,0.186818
0.170,71.1307,0.186818
0.233,71.1307,0.186818
0.295,71.1307,0.186818
0.358,71.1307,0.190707
0.421,71.1307,0.190707
0.482,71.1307,0.190707
0.545,71.1307,0.190707
0.607,71.1307,0.193776
0.669,71.1307,0.193776
0.731,71.1307,0.193776
0.794,71.1307,0.193776
0.857,71.1307,0.196402
0.919,71.1307,0.196402
0.981,71.1307,0.196402
1.044,71.1307,0.196402
1.105,71.1307,0.198709
1.169,71.1307,0.198709
1.231,71.1307,0.198709
1.294,71.1307,0.198709
1.356,71.1307,0.200714
1.418,71.1307,0.200714
1.480,71.1307,0.200714
1.542,71.1307,0.200714
1.604,71.1307,0.202540
1.667,71.1307,0.202540
1.729,71.1307,0.202540
1.791,71.1307,0.202540
1.854,71.1307,0.204160
1.918,71.1307,0.204160
1.979,71.1307,0.204160
2.042,71.1307,0.204160
2.103,71.1307,0.205666
2.166,71.1307,0.205666
2.229,71.1307,0.205666
2.292,71.1307,0.205666
2.355,71.1307,0.207097
2.418,71.1307,0.207097
2.479,71.1307,0.207097
2.540,71.1307,0.207097
2.603,71.1307,0.208424
2.665,71.1307,0.208424
2.728,71.1307,0.208424
2.791,71.1307,0.208424
2.854,71.1307,0.209629
2.916,71.1307,0.209629
2.978,71.1307,0.209629
3.042,71.1307,0.209629
3.106,71.1307,0.210740
3.166,71.1307,0.210740
3.229,71.1307,0.210740
3.290,71.1307,0.210740
3.352,71.1307,0.211776
3.416,71.1307,0.211776
3.479,71.1307,0.211776
3.541,71.1307,0.211776
3.606,71.1307,0.212774
3.667,71.1307,0.212774
3.728,71.1307,0.212774
3.791,71.1307,0.212774
3.854,71.1307,0.213734
3.916,71.1307,0.213734
3.977,71.1307,0.213734
4.040,71.1307,0.213734
4.102,71.1294,0.214619
4.164,71.1253,0.214619
4.225,71.1184,0.214619
4.289,71.1081,0.214619
4.350,71.0961,0.217490
4.413,71.0835,0.217490
4.475,71.0710,0.217490
4.536,71.0587,0.217490
4.598,71.0465,0.230426
4.660,71.0339,0.230426
4.722,71.0216,0.230426
4.783,71.0094,0.230426
4.844,70.9972,0.250516
4.907,70.9846,0.250516
4.969,70.9722,0.250516
5.031,70.9596,0.250516
5.093,70.9474,0.269128
5.155,70.9348,0.269128
5.217,70.9224,0.269128
5.280,70.9100,0.269128
5.341,70.8977,0.286695
5.403,70.8852,0.286695
5.466,70.8728,0.286695
5.529,70.8603,0.286695
5.592,70.8476,0.286695
5.656,70.8347,0.303538
5.717,70.8226,0.303538
5.780,70.8101,0.303538
5.842,70.7975,0.319853
5.905,70.7851,0.319853
5.966,70.7727,0.319853
6.029,70.7602,0.319853
6.091,70.7478,0.335659
6.154,70.7352,0.335659
6.215,70.7230,0.335659
6.278,70.7104,0.335659
6.341,70.6977,0.335659
6.403,70.6854,0.350995
6.466,70.6726,0.350995
6.527,70.6605,0.350995
6.590,70.6481,0.365908
6.653,70.6354,0.365908
6.715,70.6230,0.365908
6.778,70.6105,0.365908
6.839,70.5981,0.380415
6.902,70.5856,0.380415
6.965,70.5731,0.380415
7.027,70.5605,0.380415
7.088,70.5485,0.394612
7.151,70.5358,0.394612
7.213,70.5236,0.394612
7.274,70.5113,0.394612
7.337,70.4988,0.408310
7.399,70.4862,0.408310
7.460,70.4740,0.408310
7.521,70.4619,0.408310
7.583,70.4493,0.421556
7.647,70.4366,0.421556
7.709,70.4242,0.421556
7.769,70.4122,0.421556
7.832,70.3997,0.421556
7.896,70.3869,0.434463
7.957,70.3746,0.434463
8.020,70.3618,0.434463
8.083,70.3494,0.434463
8.147,70.3367,0.447116
8.208,70.3244,0.447116
8.270,70.3120,0.447116
8.333,70.2993,0.459496
8.395,70.2869,0.459496
8.455,70.2749,0.459496
8.519,70.2623,0.459496
8.581,70.2497,0.471443
8.643,70.2373,0.471443
8.706,70.2248,0.471443
8.769,70.2123,0.471443
