Elapsed Time (s),Position (mm),Force (N)
-0.017,73.9093,-0.110083
0.014,73.9093,-0.110083
0.045,73.9093,-0.110083
0.077,73.9093,-0.110083
0.107,73.9093,-0.110083
0.138,73.9093,-0.110083
0.169,73.9093,-0.110083
0.201,73.9093,-0.110083
0.231,73.9093,-0.110083
0.263,73.9093,-0.098743
0.295,73.9093,-0.098743
0.326,73.9093,-0.098743
0.357,73.9093,-0.098743
0.387,73.9093,-0.098743
0.418,73.9093,-0.098743
0.449,73.9093,-0.098743
0.481,73.9093,-0.098743
0.512,73.9093,-0.093078
0.543,73.9093,-0.093078
0.574,73.9093,-0.093078
0.605,73.9093,-0.093078
0.636,73.9093,-0.093078
0.666,73.9093,-0.093078
0.697,73.9093,-0.093078
0.729,73.9093,-0.093078
0.758,73.9093,-0.088938
0.790,73.9093,-0.088938
0.821,73.9093,-0.088938
0.851,73.9093,-0.088938
0.882,73.9093,-0.088938
0.912,73.9093,-0.088938
0.943,73.9093,-0.088938
0.975,73.9093,-0.085832
1.006,73.9093,-0.085832
1.037,73.9093,-0.085832
1.067,73.9093,-0.085832
1.099,73.9093,-0.085832
1.130,73.9093,-0.085832
1.161,73.9093,-0.085832
1.192,73.9093,-0.085832
1.223,73.9093,-0.083357
1.255,73.9093,-0.083357
1.285,73.9093,-0.083357
1.318,73.9093,-0.083357
1.348,73.9093,-0.083357
1.379,73.9093,-0.083357
1.409,73.9093,-0.083357
1.440,73.9093,-0.083357
1.471,73.9093,-0.081174
1.503,73.9093,-0.081174
1.535,73.9093,-0.081174
1.566,73.9093,-0.081174
1.597,73.9093,-0.081174
1.627,73.9093,-0.081174
1.657,73.9093,-0.081174
1.688,73.9093,-0.081174
1.719,73.9093,-0.079311
1.750,73.9093,-0.079311
1.781,73.9093,-0.079311
1.813,73.9093,-0.079311
1.844,73.9093,-0.079311
1.875,73.9093,-0.079311
1.906,73.9093,-0.079311
1.938,73.9093,-0.079311
1.969,73.9093,-0.077720
2.000,73.9093,-0.077720
2.031,73.9093,-0.077720
2.062,73.9093,-0.077720
2.094,73.9093,-0.077720
2.125,73.9093,-0.077720
2.156,73.9093,-0.077720
2.187,73.9093,-0.077720
2.218,73.9093,-0.077720
2.249,73.9093,-0.076309
2.282,73.9093,-0.076309
2.311,73.9093,-0.076309
2.342,73.9093,-0.076309
2.373,73.9093,-0.076309
2.404,73.9093,-0.076309
2.438,73.9093,-0.076309
2.465,73.9093,-0.076309
