Layer,Peak_Peel_Force_N,Work_of_Adhesion_mJ,Time_to_Peel_Start_s,Peel_Time_s,Total_Peel_Time_s,Distance_to_Peel_Start_mm,Peak_Retraction_Force_N
1,0.1244,0.1886,3.0419,2.2288,5.2707,3.2427,-0.1784
2,0.0716,0.1164,2.1510,3.0053,5.1563,1.6589,-0.1659
3,0.1197,0.1550,3.4375,1.7353,5.1728,3.8730,-0.1537
4,0.0763,0.1283,3.1311,1.7368,4.8679,3.3883,-0.1450
5,0.0989,0.1399,3.1009,1.7596,4.8606,3.3914,-0.1340
6,0.0908,0.1318,3.0129,1.7384,4.7513,3.2464,-0.1261
7,0.0835,0.1283,2.9403,1.7631,4.7035,3.0950,-0.1169
8,0.0876,0.1296,3.0320,1.7653,4.7972,3.2246,-0.1102
9,0.0850,0.1271,2.9746,1.7710,4.7455,3.1516,-0.1027
10,0.0723,0.1168,3.0121,1.7313,4.7434,3.2257,-0.0963
11,0.0657,0.1060,2.8805,1.7367,4.6172,2.9888,-0.0890
12,0.0640,0.1079,2.9140,1.7408,4.6548,3.0739,-0.0803
13,0.0680,0.1110,2.6899,2.0198,4.7097,2.6699,-0.0748
14,0.0698,0.1081,2.7334,1.7523,4.4857,2.7238,-0.0703
15,0.0671,0.1046,2.7009,1.7532,4.4541,2.6453,-0.0665
16,0.0631,0.0980,2.7888,1.4872,4.2760,2.8019,-0.0630
17,0.0580,0.0924,2.6648,1.5348,4.1996,2.6277,-0.0581
18,0.0507,0.0856,2.7002,1.5309,4.2311,2.6958,-0.0543
19,0.0510,0.0821,2.5746,1.7608,4.3354,2.4278,-0.0499
20,0.0486,0.0806,2.6694,1.4691,4.1385,2.6093,-0.0473
21,0.0482,0.0770,2.5520,1.7645,4.3166,2.3660,-0.0439
22,0.0449,0.0751,2.3919,1.7850,4.1770,2.0774,-0.0413
23,0.0452,0.0722,2.4449,1.7002,4.1451,2.1993,-0.0388
24,0.0457,0.0710,2.4476,1.7344,4.1820,2.1779,-0.0364
25,0.0460,0.0702,2.5132,1.6788,4.1920,2.3259,-0.0345
26,0.0457,0.0696,2.5305,1.5183,4.0489,2.3006,-0.0326
27,0.0432,0.0678,2.5055,1.4839,3.9894,2.2869,-0.0309
28,0.0441,0.0657,2.3669,1.7369,4.1038,2.0315,-0.0294
29,0.0415,0.0657,2.2628,1.7378,4.0005,1.8879,-0.0282
30,0.0439,0.0640,2.3859,1.4856,3.8714,2.1005,-0.0271
31,0.0418,0.0646,2.5079,1.4945,4.0024,2.2738,-0.0258
32,0.0407,0.0637,2.4425,1.5176,3.9601,2.1713,-0.0247
33,0.0444,0.0633,2.4154,1.5121,3.9275,2.1110,-0.0242
34,0.0441,0.0625,2.3692,1.4827,3.8519,2.0739,-0.0236
35,0.0412,0.0612,2.2922,1.4871,3.7793,1.8904,-0.0227
36,0.0434,0.0607,2.3114,1.5192,3.8306,1.9782,-0.0220
37,0.0422,0.0598,2.3198,1.4611,3.7809,1.9635,-0.0217
38,0.0390,0.0595,2.1919,1.5140,3.7059,1.7461,-0.0212
39,0.0430,0.0592,2.2937,1.2602,3.5539,1.9432,-0.0206
40,0.0426,0.0587,2.3230,1.2715,3.5945,1.9516,-0.0199
41,0.0442,0.0602,2.3239,1.2419,3.5657,1.9752,-0.0199
42,0.0427,0.0587,2.2927,1.2401,3.5328,1.9019,-0.0195
43,0.0431,0.0588,2.3256,1.2405,3.5661,1.9598,-0.0194
44,0.0427,0.0588,2.2622,1.4858,3.7479,1.8888,-0.0189
45,0.0402,0.0582,2.2012,1.5178,3.7190,1.7764,-0.0191
46,0.0423,0.0591,2.2324,1.5186,3.7510,1.8161,-0.0183
47,0.0402,0.0596,2.3902,1.2732,3.6635,2.1034,-0.0186
48,0.0445,0.0626,2.4176,1.2449,3.6626,2.0945,-0.0190
49,0.0428,0.0608,2.4835,1.2741,3.7576,2.1010,-0.0191
50,0.0406,0.0580,2.2451,1.2427,3.4879,1.8393,-0.0190
51,0.0415,0.0598,2.3871,1.2391,3.6263,2.0948,-0.0187
52,0.0394,0.0587,2.4126,0.9910,3.4036,2.1399,-0.0185
53,0.0418,0.0582,2.2608,1.2433,3.5042,1.8850,-0.0177
54,0.0414,0.0590,2.3886,0.9927,3.3813,2.0572,-0.0187
55,0.0433,0.0590,2.3467,0.9946,3.3413,2.0007,-0.0181
56,0.0431,0.0595,2.3835,1.0227,3.4062,2.0510,-0.0186
57,0.0378,0.0575,2.1721,1.2288,3.4009,1.7058,-0.0188
58,0.0409,0.0574,2.2072,1.2708,3.4780,1.7649,-0.0186
59,0.0428,0.0588,2.2200,1.2718,3.4918,1.8198,-0.0191
60,0.0424,0.0587,2.3734,0.9739,3.3473,2.0770,-0.0192
61,0.0435,0.0588,2.3203,1.0538,3.3741,1.9243,-0.0193
62,0.0424,0.0581,2.2651,1.0255,3.2906,1.8674,-0.0191
63,0.0376,0.0576,2.1718,0.9917,3.1635,1.7273,-0.0186
64,0.0419,0.0565,2.2901,0.9633,3.2534,1.9246,-0.0184
65,0.0410,0.0563,2.2674,0.9895,3.2569,1.8520,-0.0183
66,0.0413,0.0561,2.2672,0.9570,3.2241,1.8861,-0.0184
67,0.0425,0.0583,2.3581,0.7423,3.1004,2.0492,-0.0180
68,0.0425,0.0575,2.3280,0.7765,3.1045,1.9794,-0.0182
69,0.0407,0.0563,2.2991,1.0242,3.3233,1.8876,-0.0180
70,0.0408,0.0554,2.2611,1.0258,3.2868,1.8698,-0.0172
71,0.0410,0.0562,2.2000,0.9902,3.1902,1.7740,-0.0177
72,0.0450,0.0579,2.2937,0.7431,3.0368,1.8890,-0.0195
73,0.0466,0.0600,2.3793,0.7154,3.0947,2.0696,-0.0203
74,0.0484,0.0626,2.2953,0.7729,3.0682,1.9107,-0.0212
75,0.0449,0.0609,2.4442,0.8036,3.2478,2.1821,-0.0217
76,0.0497,0.0632,2.4352,0.7740,3.2091,2.1499,-0.0244
77,0.0485,0.0639,2.5097,0.7448,3.2545,2.3061,-0.0257
78,0.0497,0.0638,2.3189,0.7420,3.0610,1.9583,-0.0271
79,0.0491,0.0654,2.2910,1.0270,3.3180,1.8881,-0.0283
80,0.0472,0.0618,2.4448,0.7757,3.2205,2.1748,-0.0285
