Elapsed Time (s),Position (mm),Force (N)
-0.011,73.9093,-0.144289
0.020,73.9093,-0.144289
0.051,73.9093,-0.144289
0.081,73.9093,-0.144289
0.112,73.9093,-0.144289
0.144,73.9093,-0.117865
0.175,73.9093,-0.117865
0.206,73.9093,-0.117865
0.237,73.9093,-0.117865
0.269,73.9093,-0.117865
0.300,73.9093,-0.117865
0.331,73.9093,-0.117865
0.363,73.9093,-0.117865
0.395,73.9093,-0.099901
0.425,73.9093,-0.099901
0.457,73.9093,-0.099901
0.488,73.9093,-0.099901
0.518,73.9093,-0.099901
0.550,73.9093,-0.099901
0.580,73.9093,-0.099901
0.612,73.9093,-0.099901
0.643,73.9093,-0.092683
0.674,73.9093,-0.092683
0.705,73.9093,-0.092683
0.737,73.9093,-0.092683
0.769,73.9093,-0.092683
0.801,73.9093,-0.092683
0.832,73.9093,-0.092683
0.863,73.9093,-0.092683
0.894,73.9093,-0.092683
0.926,73.9093,-0.092683
0.954,73.9093,-0.087931
0.988,73.9093,-0.087931
1.019,73.9093,-0.087931
1.050,73.9093,-0.087931
1.081,73.9093,-0.087931
1.113,73.9093,-0.087931
1.144,73.9093,-0.087931
1.175,73.9093,-0.084430
1.208,73.9093,-0.084430
1.238,73.9093,-0.084430
1.269,73.9093,-0.084430
1.300,73.9093,-0.084430
1.330,73.9093,-0.084430
1.361,73.9093,-0.084430
1.392,73.9093,-0.084430
1.423,73.9093,-0.081692
1.454,73.9093,-0.081692
1.487,73.9093,-0.081692
1.517,73.9093,-0.081692
1.548,73.9093,-0.081692
1.580,73.9093,-0.081692
1.611,73.9093,-0.081692
1.642,73.9093,-0.081692
1.672,73.9093,-0.079442
1.703,73.9093,-0.079442
1.734,73.9093,-0.079442
1.765,73.9093,-0.079442
1.797,73.9093,-0.079442
1.828,73.9093,-0.079442
1.859,73.9093,-0.079442
1.892,73.9093,-0.079442
1.922,73.9093,-0.077560
1.953,73.9093,-0.077560
1.983,73.9093,-0.077560
2.014,73.9093,-0.077560
2.045,73.9093,-0.077560
2.077,73.9093,-0.077560
2.108,73.9093,-0.077560
2.139,73.9093,-0.077560
2.170,73.9093,-0.075970
2.203,73.9093,-0.075970
2.233,73.9093,-0.075970
2.263,73.9093,-0.075970
2.294,73.9093,-0.075970
2.324,73.9093,-0.075970
2.355,73.9093,-0.075970
2.386,73.9093,-0.075970
2.417,73.9093,-0.074540
2.447,73.9093,-0.074540
2.478,73.9093,-0.074540
2.509,73.9093,-0.074540
2.539,73.9093,-0.074540
2.571,73.9093,-0.074540
2.601,73.9093,-0.074540
2.633,73.9093,-0.074540
2.662,73.9093,-0.073307
2.693,73.9093,-0.073307
2.724,73.9093,-0.073307
2.757,73.9093,-0.073307
2.786,73.9093,-0.073307
2.817,73.9093,-0.073307
2.848,73.9093,-0.073307
2.878,73.9093,-0.073307
2.909,73.9093,-0.072178
2.941,73.9093,-0.072178
2.972,73.9093,-0.072178
3.002,73.9093,-0.072178
3.033,73.9093,-0.072178
3.063,73.9093,-0.072178
3.094,73.9093,-0.072178
3.125,73.9093,-0.072178
3.155,73.9093,-0.071086
3.187,73.9093,-0.071086
3.218,73.9093,-0.071086
3.249,73.9093,-0.071086
3.280,73.9093,-0.071086
3.311,73.9093,-0.071086
3.342,73.9093,-0.071086
3.374,73.9093,-0.071086
3.404,73.9093,-0.070136
3.435,73.9093,-0.070136
3.466,73.9093,-0.070136
3.498,73.9093,-0.070136
3.528,73.9093,-0.070136
3.560,73.9093,-0.070136
3.592,73.9093,-0.070136
3.623,73.9093,-0.070136
3.653,73.9093,-0.069185
3.684,73.9093,-0.069185
3.715,73.9093,-0.069185
3.747,73.9093,-0.069185
3.778,73.9093,-0.069185
3.809,73.9093,-0.069185
3.840,73.9093,-0.069185
3.871,73.9093,-0.069185
3.903,73.9093,-0.068244
3.933,73.9093,-0.068244
3.964,73.9093,-0.068244
3.996,73.9093,-0.068244
4.027,73.9092,-0.068244
4.058,73.9084,-0.068244
4.090,73.9068,-0.068244
4.121,73.9046,-0.068244
4.153,73.9015,-0.067595
4.184,73.8976,-0.067595
4.214,73.8933,-0.067595
4.245,73.8882,-0.067595
4.277,73.8821,-0.067595
4.308,73.8756,-0.067595
4.338,73.8682,-0.067595
4.370,73.8600,-0.067595
4.402,73.8509,-0.067595
4.431,73.8421,-0.044022
4.462,73.8316,-0.044022
4.492,73.8212,-0.044022
4.522,73.8097,-0.044022
4.553,73.7972,-0.044022
4.583,73.7844,-0.044022
4.615,73.7700,-0.044022
4.647,73.7555,-0.044022
4.678,73.7395,-0.019997
4.708,73.7244,-0.019997
4.739,73.7075,-0.019997
4.770,73.6901,-0.019997
4.801,73.6720,-0.019997
4.832,73.6529,-0.019997
4.862,73.6337,-0.019997
4.893,73.6134,-0.019997
4.924,73.5924,-0.009721
4.955,73.5702,-0.009721
4.986,73.5476,-0.009721
5.017,73.5242,-0.009721
5.048,73.5006,-0.009721
5.079,73.4757,-0.009721
5.110,73.4502,-0.009721
5.142,73.4240,-0.009721
5.173,73.3971,0.009128
5.204,73.3683,0.009128
5.235,73.3399,0.009128
5.267,73.3109,0.009128
5.297,73.2811,0.009128
5.328,73.2504,0.009128
5.359,73.2196,0.009128
5.391,73.1870,0.009128
5.422,73.1540,0.024796
5.453,73.1207,0.024796
5.483,73.0871,0.024796
5.514,73.0509,0.024796
5.545,73.0163,0.024796
5.576,72.9797,0.024796
5.607,72.9429,0.024796
5.639,72.9043,0.024796
5.670,72.8655,0.034668
5.701,72.8258,0.034668
5.731,72.7868,0.034668
5.761,72.7471,0.034668
5.793,72.7051,0.034668
5.824,72.6621,0.034668
5.855,72.6196,0.034668
5.886,72.5760,0.034668
5.917,72.5318,0.041236
5.949,72.4851,0.041236
5.979,72.4405,0.041236
6.010,72.3932,0.041236
6.042,72.3450,0.041236
6.073,72.2964,0.041236
6.102,72.2510,0.041236
6.135,72.1983,0.041236
6.165,72.1501,0.047410
6.197,72.0971,0.047410
6.227,72.0482,0.047410
6.257,71.9956,0.047410
6.288,71.9438,0.047410
6.323,71.8799,0.047410
6.365,71.8081,0.047410
6.396,71.7525,0.047410
6.427,71.6968,0.052661
6.457,71.6404,0.052661
6.487,71.5840,0.052661
6.519,71.5241,0.052661
6.553,71.4587,0.052661
6.580,71.4056,0.052661
6.611,71.3473,0.052661
6.642,71.2869,0.057074
6.673,71.2284,0.057074
6.705,71.1680,0.057074
6.736,71.1107,0.057074
6.766,71.0556,0.057074
6.797,71.0006,0.057074
6.828,70.9448,0.057074
6.859,70.8893,0.057074
6.890,70.8359,0.057074
6.921,70.7815,0.057074
6.953,70.7270,0.038366
6.983,70.6776,0.038366
7.014,70.6270,0.038366
7.046,70.5745,0.038366
7.077,70.5248,0.038366
7.109,70.4740,0.038366
7.140,70.4256,0.038366
7.172,70.3785,0.013410
7.203,70.3303,0.013410
7.235,70.2847,0.013410
7.264,70.2398,0.013410
7.296,70.1954,0.013410
7.328,70.1505,0.013410
7.358,70.1083,0.013410
7.389,70.0656,0.013410
7.420,70.0240,0.009090
7.451,69.9839,0.009090
7.481,69.9441,0.009090
7.512,69.9051,0.009090
7.543,69.8680,0.009090
7.575,69.8280,0.009090
7.605,69.7918,0.009090
7.636,69.7555,0.009090
7.668,69.7190,0.008592
7.699,69.6842,0.008592
7.730,69.6498,0.008592
7.761,69.6155,0.008592
7.792,69.5831,0.008592
7.824,69.5499,0.008592
7.855,69.5185,0.008592
7.887,69.4870,0.008592
7.917,69.4585,0.008347
7.947,69.4299,0.008347
7.978,69.4014,0.008347
8.010,69.3734,0.008347
8.039,69.3476,0.008347
8.070,69.3215,0.008347
8.101,69.2959,0.008347
8.132,69.2708,0.008347
8.163,69.2470,0.008225
8.194,69.2232,0.008225
8.225,69.2007,0.008225
8.255,69.1798,0.008225
8.285,69.1589,0.008225
8.317,69.1376,0.008225
8.348,69.1181,0.008225
8.379,69.0990,0.008225
8.409,69.0812,0.008084
8.441,69.0636,0.008084
8.472,69.0467,0.008084
8.502,69.0305,0.008084
8.533,69.0148,0.008084
8.565,69.0002,0.008084
8.595,68.9864,0.008084
8.626,68.9733,0.008084
8.657,68.9608,0.007971
8.689,68.9487,0.007971
8.720,68.9377,0.007971
8.751,68.9275,0.007971
8.781,68.9180,0.007971
8.813,68.9089,0.007971
8.844,68.9007,0.007971
8.875,68.8933,0.007971
8.907,68.8866,0.007895
8.938,68.8805,0.007895
8.970,68.8752,0.007895
9.001,68.8707,0.007895
9.032,68.8670,0.007895
9.066,68.8638,0.007895
9.094,68.8618,0.007895
9.126,68.8602,0.007895
9.157,68.8594,0.007895
9.187,68.8593,0.007792
9.217,68.8593,0.007792
9.249,68.8593,0.007792
9.280,68.8593,0.007792
9.311,68.8595,0.007792
9.342,68.8604,0.007792
9.374,68.8620,0.007792
9.404,68.8644,0.007782
9.436,68.8675,0.007782
9.466,68.8712,0.007782
9.498,68.8759,0.007782
9.528,68.8810,0.007782
9.558,68.8867,0.007782
9.590,68.8937,0.007782
9.622,68.9012,0.007782
9.652,68.9095,0.007754
9.683,68.9182,0.007754
9.714,68.9276,0.007754
9.745,68.9381,0.007754
9.775,68.9490,0.007754
9.806,68.9605,0.007754
9.837,68.9728,0.007754
9.867,68.9859,0.007754
9.900,69.0004,0.007575
9.929,69.0147,0.007575
9.961,69.0308,0.007575
9.992,69.0462,0.007575
10.024,69.0641,0.007575
10.054,69.0812,0.007575
10.085,69.0993,0.007575
10.117,69.1185,0.007575
10.148,69.1384,0.007575
10.179,69.1591,0.007509
10.210,69.1810,0.007509
10.242,69.2033,0.007509
10.274,69.2265,0.007509
10.304,69.2496,0.007509
10.335,69.2740,0.007509
10.366,69.2982,0.007509
10.397,69.3245,0.007509
10.426,69.3491,0.007378
10.457,69.3756,0.007378
10.488,69.4038,0.007378
10.521,69.4337,0.007378
10.550,69.4621,0.007378
10.581,69.4908,0.007378
10.613,69.5226,0.007378
10.648,69.5587,0.007378
10.676,69.5873,0.007133
10.707,69.6207,0.007133
10.738,69.6550,0.007133
10.768,69.6874,0.007133
10.799,69.7225,0.007133
10.830,69.7579,0.007133
10.861,69.7947,0.007133
10.892,69.8315,0.006926
10.923,69.8703,0.006926
10.954,69.9087,0.006926
10.985,69.9485,0.006926
11.016,69.9877,0.006926
11.045,70.0276,0.006926
11.077,70.0685,0.006926
11.107,70.1112,0.006926
11.138,70.1536,0.006587
11.169,70.1975,0.006587
11.202,70.2439,0.006587
11.230,70.2863,0.006587
11.261,70.3328,0.006587
11.292,70.3776,0.006587
11.323,70.4260,0.006587
11.354,70.4738,0.006587
11.385,70.5225,0.006587
11.415,70.5701,0.006136
11.445,70.6194,0.006136
11.476,70.6698,0.006136
11.507,70.7205,0.006136
11.538,70.7750,0.006136
11.569,70.8268,0.006136
11.599,70.8789,0.006136
11.630,70.9345,0.006136
11.661,70.9878,0.005533
11.692,71.0457,0.005533
11.723,71.1019,0.005533
11.754,71.1592,0.005533
11.785,71.2176,0.005533
11.817,71.2773,0.005533
11.846,71.3334,0.005533
11.876,71.3942,0.005533
11.908,71.4549,0.004592
11.939,71.5138,0.004592
11.971,71.5714,0.004592
12.002,71.6304,0.004592
12.034,71.6900,0.004592
12.066,71.7455,0.004592
12.095,71.7977,0.004592
12.127,71.8530,0.004592
12.157,71.9058,0.003407
12.191,71.9641,0.003407
12.219,72.0111,0.003407
12.251,72.0636,0.003407
12.281,72.1129,0.003407
12.313,72.1645,0.003407
12.344,72.2140,0.003407
12.376,72.2635,0.003407
12.406,72.3103,0.001553
12.438,72.3590,0.001553
12.468,72.4039,0.001553
12.499,72.4489,0.001553
12.530,72.4946,0.001553
12.561,72.5383,0.001553
12.592,72.5824,0.001553
12.623,72.6245,0.001553
12.654,72.6669,-0.001948
12.686,72.7090,-0.001948
12.717,72.7500,-0.001948
12.748,72.7895,-0.001948
12.780,72.8295,-0.001948
12.810,72.8666,-0.001948
12.841,72.9049,-0.001948
12.871,72.9404,-0.001948
12.897,72.9710,-0.008978
12.933,73.0123,-0.008978
12.964,73.0468,-0.008978
12.995,73.0811,-0.008978
13.027,73.1152,-0.008978
13.057,73.1475,-0.008978
13.088,73.1787,-0.008978
13.120,73.2099,-0.008978
13.151,73.2407,-0.022284
13.181,73.2699,-0.022284
13.212,73.2992,-0.022284
13.243,73.3272,-0.022284
13.274,73.3553,-0.022284
13.306,73.3817,-0.022284
13.336,73.4079,-0.022284
13.367,73.4322,-0.022284
13.399,73.4577,-0.022284
13.428,73.4804,-0.041914
13.459,73.5034,-0.041914
13.490,73.5256,-0.041914
13.521,73.5475,-0.041914
13.552,73.5680,-0.041914
13.583,73.5882,-0.041914
13.613,73.6077,-0.041914
13.644,73.6260,-0.041914
13.675,73.6440,-0.064922
13.707,73.6619,-0.064922
13.738,73.6785,-0.064922
13.771,73.6955,-0.064922
13.802,73.7102,-0.064922
13.833,73.7247,-0.064922
13.864,73.7386,-0.064922
13.895,73.7514,-0.064922
13.926,73.7636,-0.064922
13.958,73.7752,-0.088909
13.987,73.7856,-0.088909
14.018,73.7953,-0.088909
14.048,73.8046,-0.088909
14.079,73.8129,-0.088909
14.110,73.8210,-0.088909
14.145,73.8288,-0.088909
14.173,73.8346,-0.120547
14.203,73.8400,-0.120547
14.234,73.8449,-0.120547
14.265,73.8491,-0.120547
14.297,73.8527,-0.120547
14.327,73.8555,-0.120547
14.358,73.8574,-0.120547
14.389,73.8587,-0.120547
14.420,73.8593,-0.149183
14.451,73.8593,-0.149183
14.481,73.8593,-0.149183
14.513,73.8593,-0.149183
14.544,73.8593,-0.149183
14.576,73.8593,-0.149183
14.607,73.8593,-0.149183
14.639,73.8593,-0.149183
14.671,73.8593,-0.136451
14.703,73.8593,-0.136451
14.733,73.8593,-0.136451
14.764,73.8593,-0.136451
14.794,73.8593,-0.136451
14.827,73.8593,-0.136451
14.856,73.8593,-0.136451
14.888,73.8593,-0.136451
14.919,73.8593,-0.107410
14.951,73.8593,-0.107410
14.982,73.8593,-0.107410
15.013,73.8593,-0.107410
15.044,73.8593,-0.107410
15.075,73.8593,-0.107410
15.106,73.8593,-0.107410
15.141,73.8593,-0.107410
15.169,73.8593,-0.096588
15.200,73.8593,-0.096588
15.229,73.8593,-0.096588
15.261,73.8593,-0.096588
15.291,73.8593,-0.096588
15.321,73.8593,-0.096588
15.352,73.8593,-0.096588
15.383,73.8593,-0.096588
15.415,73.8593,-0.090594
15.448,73.8593,-0.090594
15.478,73.8593,-0.090594
15.509,73.8593,-0.090594
15.540,73.8593,-0.090594
15.570,73.8593,-0.090594
15.601,73.8593,-0.090594
15.633,73.8593,-0.090594
15.664,73.8593,-0.086350
15.695,73.8593,-0.086350
15.725,73.8593,-0.086350
15.757,73.8593,-0.086350
15.787,73.8593,-0.086350
15.820,73.8593,-0.086350
15.849,73.8593,-0.086350
15.881,73.8593,-0.086350
15.912,73.8593,-0.083225
15.943,73.8593,-0.083225
15.974,73.8593,-0.083225
16.006,73.8593,-0.083225
16.037,73.8593,-0.083225
16.068,73.8593,-0.083225
16.098,73.8593,-0.083225
16.129,73.8593,-0.080854
16.160,73.8593,-0.080854
16.191,73.8593,-0.080854
16.222,73.8593,-0.080854
16.253,73.8593,-0.080854
16.284,73.8593,-0.080854
16.316,73.8593,-0.080854
16.351,73.8593,-0.080854
16.379,73.8593,-0.080854
16.409,73.8593,-0.078746
16.440,73.8593,-0.078746
16.471,73.8593,-0.078746
16.502,73.8593,-0.078746
16.533,73.8593,-0.078746
16.564,73.8593,-0.078746
16.593,73.8593,-0.078746
16.627,73.8593,-0.078746
16.658,73.8593,-0.076873
16.688,73.8593,-0.076873
16.720,73.8593,-0.076873
16.751,73.8593,-0.076873
16.783,73.8593,-0.076873
16.814,73.8593,-0.076873
16.845,73.8593,-0.076873
16.876,73.8593,-0.076873
16.907,73.8593,-0.076873
16.939,73.8593,-0.075396
16.969,73.8593,-0.075396
17.001,73.8593,-0.075396
17.033,73.8593,-0.075396
17.063,73.8593,-0.075396
17.094,73.8593,-0.075396
17.125,73.8593,-0.075396
17.156,73.8593,-0.075396
17.186,73.8593,-0.074041
17.218,73.8593,-0.074041
17.249,73.8593,-0.074041
17.281,73.8593,-0.074041
17.311,73.8593,-0.074041
17.342,73.8593,-0.074041
17.373,73.8593,-0.074041
17.404,73.8593,-0.074041
17.435,73.8593,-0.072780
17.466,73.8593,-0.072780
17.497,73.8593,-0.072780
17.528,73.8593,-0.072780
17.558,73.8593,-0.072780
17.589,73.8593,-0.072780
17.620,73.8593,-0.072780
17.652,73.8593,-0.072780
17.682,73.8593,-0.072780
17.712,73.8593,-0.071792
17.743,73.8593,-0.071792
17.774,73.8593,-0.071792
17.805,73.8593,-0.071792
17.835,73.8593,-0.071792
17.867,73.8593,-0.071792
17.898,73.8593,-0.071792
17.929,73.8593,-0.070898
17.961,73.8593,-0.070898
17.991,73.8593,-0.070898
18.021,73.8593,-0.070898
18.052,73.8593,-0.070898
18.085,73.8593,-0.070898
18.115,73.8593,-0.070898
18.146,73.8593,-0.070898
18.177,73.8593,-0.069900
18.207,73.8593,-0.069900
18.239,73.8593,-0.069900
18.271,73.8593,-0.069900
18.300,73.8593,-0.069900
18.330,73.8593,-0.069900
18.361,73.8593,-0.069900
18.392,73.8593,-0.069900
18.423,73.8593,-0.068893
18.453,73.8593,-0.068893
18.484,73.8593,-0.068893
18.515,73.8593,-0.068893
18.546,73.8593,-0.068893
18.578,73.8593,-0.068893
18.609,73.8593,-0.068893
18.640,73.8593,-0.068893
18.670,73.8593,-0.068075
18.701,73.8589,-0.068075
18.732,73.8579,-0.068075
18.763,73.8562,-0.068075
18.793,73.8538,-0.068075
18.825,73.8504,-0.068075
18.856,73.8465,-0.068075
18.886,73.8418,-0.068075
18.917,73.8366,-0.061920
18.948,73.8303,-0.061920
18.979,73.8237,-0.061920
19.011,73.8159,-0.061920
19.041,73.8077,-0.061920
19.075,73.7979,-0.061920
19.103,73.7890,-0.061920
19.134,73.7786,-0.061920
19.165,73.7674,-0.041472
19.196,73.7555,-0.041472
19.227,73.7425,-0.041472
19.258,73.7295,-0.041472
19.289,73.7153,-0.041472
19.319,73.7008,-0.041472
19.350,73.6854,-0.041472
19.381,73.6688,-0.041472
19.412,73.6524,-0.019856
19.444,73.6336,-0.019856
19.474,73.6157,-0.019856
19.505,73.5960,-0.019856
19.536,73.5765,-0.019856
19.569,73.5547,-0.019856
19.598,73.5347,-0.019856
19.630,73.5119,-0.019856
19.660,73.4901,-0.003040
19.691,73.4663,-0.003040
19.721,73.4426,-0.003040
19.753,73.4174,-0.003040
19.784,73.3911,-0.003040
19.816,73.3637,-0.003040
19.847,73.3361,-0.003040
19.877,73.3096,-0.003040
19.908,73.2806,-0.003040
19.939,73.2517,0.015085
19.971,73.2213,0.015085
20.001,73.1902,0.015085
20.032,73.1589,0.015085
20.067,73.1222,0.015085
20.095,73.0927,0.015085
20.127,73.0577,0.015085
20.158,73.0240,0.028476
20.189,72.9879,0.028476
20.220,72.9517,0.028476
20.251,72.9150,0.028476
20.282,72.8775,0.028476
20.313,72.8396,0.028476
20.343,72.8023,0.028476
20.373,72.7639,0.028476
20.404,72.7237,0.036456
20.436,72.6811,0.036456
20.467,72.6407,0.036456
20.498,72.5970,0.036456
20.527,72.5566,0.036456
20.562,72.5077,0.036456
20.590,72.4676,0.036456
20.620,72.4217,0.036456
20.651,72.3773,0.042319
20.681,72.3310,0.042319
20.712,72.2841,0.042319
20.743,72.2368,0.042319
20.774,72.1868,0.042319
20.807,72.1348,0.042319
20.837,72.0852,0.042319
20.868,72.0338,0.042319
20.898,71.9843,0.048012
20.929,71.9315,0.048012
20.960,71.8785,0.048012
20.991,71.8236,0.048012
21.022,71.7698,0.048012
21.052,71.7149,0.048012
21.084,71.6581,0.048012
21.115,71.6007,0.048012
21.145,71.5439,0.053018
21.179,71.4794,0.053018
21.207,71.4255,0.053018
21.238,71.3673,0.053018
21.269,71.3076,0.053018
21.303,71.2407,0.053018
21.330,71.1877,0.053018
21.361,71.1308,0.053018
21.393,71.0723,0.055982
21.423,71.0158,0.055982
21.454,70.9599,0.055982
21.485,70.9030,0.055982
21.516,70.8495,0.055982
21.548,70.7931,0.055982
21.578,70.7419,0.055982
21.609,70.6878,0.055982
21.641,70.6369,0.055982
21.672,70.5842,0.033821
21.703,70.5344,0.033821
21.734,70.4845,0.033821
21.764,70.4379,0.033821
21.795,70.3880,0.033821
21.826,70.3413,0.033821
21.859,70.2913,0.033821
21.889,70.2468,0.009984
21.921,70.2000,0.009984
21.954,70.1525,0.009984
21.981,70.1139,0.009984
22.013,70.0703,0.009984
22.044,70.0270,0.009984
22.078,69.9815,0.009984
22.106,69.9450,0.009984
22.137,69.9049,0.009984
22.167,69.8651,0.008789
22.198,69.8271,0.008789
22.229,69.7882,0.008789
22.260,69.7509,0.008789
22.292,69.7138,0.008789
22.323,69.6781,0.008789
22.354,69.6424,0.008789
22.384,69.6090,0.008789
22.415,69.5758,0.008441
22.445,69.5435,0.008441
22.477,69.5098,0.008441
22.508,69.4788,0.008441
22.538,69.4485,0.008441
22.569,69.4184,0.008441
22.601,69.3888,0.008441
22.630,69.3611,0.008441
22.661,69.3329,0.008441
22.692,69.3062,0.008281
22.724,69.2785,0.008281
22.755,69.2533,0.008281
22.785,69.2285,0.008281
22.816,69.2043,0.008281
22.847,69.1805,0.008281
22.878,69.1578,0.008281
22.909,69.1356,0.008281
22.940,69.1144,0.008159
22.971,69.0936,0.008159
23.001,69.0737,0.008159
23.033,69.0546,0.008159
23.063,69.0368,0.008159
23.094,69.0188,0.008159
23.125,69.0014,0.008159
23.157,68.9843,0.008159
23.188,68.9689,0.008084
23.219,68.9538,0.008084
23.251,68.9399,0.008084
23.282,68.9263,0.008084
23.312,68.9139,0.008084
23.343,68.9016,0.008084
23.374,68.8907,0.008084
23.405,68.8800,0.008084
23.436,68.8705,0.007989
23.468,68.8609,0.007989
23.499,68.8529,0.007989
23.530,68.8450,0.007989
23.561,68.8383,0.007989
23.591,68.8323,0.007989
23.622,68.8269,0.007989
23.654,68.8221,0.007989
23.685,68.8180,0.007867
23.716,68.8149,0.007867
23.747,68.8124,0.007867
23.778,68.8107,0.007867
23.809,68.8096,0.007867
23.840,68.8093,0.007867
23.871,68.8093,0.007867
23.903,68.8093,0.007867
23.934,68.8093,0.007782
23.966,68.8093,0.007782
23.996,68.8093,0.007782
24.028,68.8098,0.007782
24.058,68.8111,0.007782
24.089,68.8130,0.007782
24.120,68.8156,0.007782
24.151,68.8192,0.007782
24.183,68.8233,0.007782
24.215,68.8283,0.007782
24.245,68.8339,0.007782
24.276,68.8403,0.007782
24.307,68.8474,0.007782
24.338,68.8551,0.007782
24.370,68.8636,0.007782
24.400,68.8728,0.007726
24.430,68.8826,0.007726
24.461,68.8932,0.007726
24.493,68.9049,0.007726
24.523,68.9167,0.007726
24.554,68.9295,0.007726
24.585,68.9433,0.007726
24.618,68.9585,0.007726
24.648,68.9733,0.007566
24.680,68.9893,0.007566
24.710,69.0049,0.007566
24.741,69.0226,0.007566
24.773,69.0411,0.007566
24.802,69.0592,0.007566
24.834,69.0786,0.007566
24.865,69.0990,0.007566
24.895,69.1194,0.007566
24.926,69.1411,0.007462
24.957,69.1629,0.007462
24.988,69.1857,0.007462
