Layer_Number,Peak_Force_N,Work_of_Adhesion_mJ,Initiation_Time_s,Propagation_End_Time_s,Total_Peel_Duration_s,Distance_to_Peak_mm,Peel_Distance_mm,Peak_Retraction_Force_N,Peak_Position_mm,Propagation_Start_Time_s,Propagation_Duration_s
1,0.0314,-0.0247,11.4506,13.2974,1.8468,-0.7094,-1.8470,-0.1015,67.9865,12.1600,1.1374
2,0.0435,-0.0044,12.2867,12.3980,0.1113,-0.0311,-0.1110,-0.0906,67.7170,12.3180,0.0800
3,0.0359,-0.0153,11.3390,15.5622,4.2232,-0.8291,-4.2236,-0.0846,67.8553,12.1677,3.3944
4,0.0371,-0.0202,11.3147,15.1832,3.8684,-0.9232,-3.8683,-0.0785,67.7122,12.2378,2.9454
5,0.0346,-0.0184,11.3039,14.9317,3.6278,-0.8284,-3.6273,-0.0725,67.7694,12.1324,2.7993
6,0.0387,-0.0302,11.3221,13.0899,1.7678,-0.7424,-1.7681,-0.0737,67.8180,12.0644,1.0255
7,0.0387,-0.0287,11.2463,13.0875,1.8411,-0.7169,-1.8424,-0.0665,67.8094,11.9630,1.1245
8,0.0399,-0.0265,11.3071,13.8494,2.5423,-1.0957,-2.5425,-0.0616,67.3642,12.4020,1.4474
9,0.0391,-0.0232,11.2785,13.8054,2.5269,-0.8287,-2.5260,-0.0568,67.5926,12.1082,1.6973
10,0.0419,-0.0213,11.3062,15.0880,3.7817,-0.8383,-3.7812,-0.0520,67.5391,12.1448,2.9432
11,0.0383,-0.0146,11.3349,15.0152,3.6803,-0.7615,-3.6804,-0.0471,67.5793,12.0957,2.9195
12,0.0423,-0.0167,11.2095,15.7451,4.5356,-1.0399,-4.5355,-0.0483,67.2857,12.2492,3.4959
13,0.0407,-0.0023,11.9880,12.0489,0.0609,0.0000,-0.0616,-0.0387,67.4903,11.9880,0.0609
14,0.0475,-0.0210,11.2011,14.8300,3.6289,-0.9262,-3.6292,-0.0375,67.2830,12.1268,2.7032
15,0.0375,-0.0165,11.1816,14.0624,2.8808,-0.8574,-2.8806,-0.0350,67.3711,12.0382,2.0241
16,0.0403,-0.0121,11.1813,15.1908,4.0095,-0.8689,-4.0094,-0.0350,67.2931,12.0503,3.1405
17,0.0342,-0.0150,11.2348,12.9445,1.7097,-0.6696,-1.7102,-0.0314,67.4113,11.9043,1.0401
18,0.0330,-0.0154,11.3727,12.0886,0.7159,-0.5937,-0.7157,-0.0302,67.3571,11.9660,0.1225
19,0.0254,-0.0033,11.1814,13.8108,2.6294,-0.5543,-2.6287,-0.0266,67.4893,11.7364,2.0744
20,0.0173,-0.0055,11.3413,11.7658,0.4245,-0.1599,-0.4248,-0.0242,67.6817,11.5012,0.2646
21,0.0769,-0.0721,11.4160,12.5270,1.1110,-0.8907,-12.3319,-0.0350,67.0564,11.5433,0.9837
