Layer,Peak_Peel_Force_N,Work_of_Adhesion_mJ,Time_to_Peel_Start_s,Peel_Time_s,Total_Peel_Time_s,Distance_to_Peel_Start_mm,Peak_Retraction_Force_N
1,0.1140,0.1768,3.4998,2.0461,5.5459,3.7210,-0.2870
2,0.1290,0.1645,3.9651,1.5207,5.4858,4.3019,-0.3319
3,0.1327,0.1768,3.7840,1.7367,5.5206,4.0964,-0.3956
4,0.1187,0.1579,3.7797,2.0173,5.7970,3.9629,-0.2665
5,0.0716,0.1227,1.9523,3.5009,5.4532,1.3996,-0.2296
6,0.0720,0.1147,2.0145,3.5036,5.5181,1.4299,-0.1987
7,0.0699,0.1078,1.7344,4.0041,5.7385,1.0922,-0.1750
8,0.0686,0.1057,1.9510,3.7417,5.6927,1.3951,-0.1589
9,0.0679,0.1039,1.8921,4.0106,5.9027,1.2970,-0.1447
10,0.0663,0.1019,1.8589,4.0136,5.8725,1.2425,-0.1336
11,0.0639,0.0977,1.8611,4.0212,5.8823,1.2323,-0.1236
12,0.0618,0.0944,1.8676,3.9644,5.8320,1.1780,-0.1138
13,0.0589,0.0914,1.8064,3.9793,5.7857,1.1705,-0.1052
14,0.0566,0.0909,1.6440,4.4923,6.1363,0.9808,-0.0980
15,0.0556,0.0882,2.2022,3.7473,5.9495,1.7698,-0.0911
16,0.0544,0.0852,2.1673,4.0076,6.1748,1.7205,-0.0851
17,0.0523,0.0819,2.2788,4.0066,6.2854,1.8620,-0.0801
18,0.0518,0.0800,2.0813,4.2371,6.3184,1.5663,-0.0749
19,0.0506,0.0778,2.1369,3.7479,5.8848,1.6477,-0.0699
20,0.0495,0.0770,2.0718,4.2391,6.3109,1.5344,-0.0655
21,0.0478,0.0756,1.9591,3.9940,5.9531,1.3851,-0.0612
22,0.0462,0.0747,1.9539,3.9930,5.9469,1.3765,-0.0575
23,0.0447,0.0730,2.1396,3.7458,5.8854,1.6601,-0.0540
24,0.0428,0.0702,2.1403,3.7126,5.8529,1.6228,-0.0504
25,0.0415,0.0701,1.8794,3.9987,5.8782,1.2799,-0.0476
26,0.0403,0.0698,1.8890,3.9685,5.8575,1.2747,-0.0449
27,0.0398,0.0682,2.4109,3.4601,5.8710,2.0758,-0.0424
28,0.0396,0.0656,2.4031,3.5049,5.9080,2.0454,-0.0402
29,0.0392,0.0657,2.3808,3.4704,5.8512,2.0120,-0.0376
30,0.0385,0.0638,2.3222,3.2531,5.5754,1.9114,-0.0360
