Layer,Peak_Peel_Force_N,Work_of_Adhesion_mJ,Time_to_Peel_Start_s,Peel_Time_s,Total_Peel_Time_s,Distance_to_Peel_Start_mm,Peak_Retraction_Force_N
1,0.1120,0.1773,3.6835,1.4898,5.1734,3.9452,-0.3211
2,0.0883,0.1443,3.7306,1.4895,5.2201,3.9715,-0.4026
3,0.1112,0.1541,3.7160,1.4863,5.2024,3.9727,-0.3819
4,0.1139,0.1575,3.7580,1.2388,4.9967,4.0487,-0.2967
5,0.0826,0.1332,3.4770,1.4596,4.9366,3.6473,-0.2535
6,0.0756,0.1157,1.9242,3.0069,4.9311,1.3350,-0.2175
7,0.0744,0.1122,2.0001,2.7640,4.7641,1.4609,-0.1957
8,0.0727,0.1081,2.0087,3.0073,5.0160,1.4416,-0.1782
9,0.0724,0.1074,1.9816,3.0206,5.0022,1.4218,-0.1634
10,0.0696,0.1047,2.0391,2.6971,4.7362,1.5140,-0.1528
11,0.0694,0.1021,1.9094,3.0042,4.9136,1.3165,-0.1432
12,0.0672,0.1008,1.9167,2.7271,4.6438,1.3427,-0.1331
13,0.0652,0.0967,1.9268,2.7242,4.6510,1.3345,-0.1242
14,0.0645,0.0948,2.1879,2.5060,4.6939,1.7334,-0.1161
15,0.0624,0.0914,2.3225,2.2291,4.5516,1.9225,-0.1084
16,0.0612,0.0885,2.2068,2.5299,4.7367,1.7505,-0.1020
17,0.0581,0.0866,2.0375,2.4959,4.5334,1.5048,-0.0951
18,0.0573,0.0838,2.2049,2.2637,4.4686,1.7388,-0.0895
19,0.0565,0.0805,2.0451,2.5140,4.5591,1.4862,-0.0828
20,0.0543,0.0792,1.9526,2.4845,4.4371,1.3901,-0.0787
21,0.0535,0.0770,2.0503,2.4524,4.5027,1.5371,-0.0729
22,0.0519,0.0768,1.9196,2.5418,4.4614,1.3398,-0.0681
23,0.0498,0.0744,1.8868,2.5069,4.3937,1.2963,-0.0639
24,0.0479,0.0717,1.9233,2.4784,4.4017,1.3390,-0.0597
25,0.0460,0.0700,1.9276,2.4342,4.3618,1.3452,-0.0561
26,0.0447,0.0690,1.9489,2.4689,4.4178,1.3760,-0.0525
27,0.0426,0.0674,1.8648,2.4769,4.3417,1.2569,-0.0488
28,0.0419,0.0654,2.5596,1.7341,4.2937,2.2928,-0.0458
29,0.0412,0.0638,2.5068,1.8014,4.3082,2.2066,-0.0435
30,0.0412,0.0624,2.3598,1.7615,4.1213,1.9909,-0.0410
31,0.0415,0.0613,2.4481,1.7386,4.1868,2.0941,-0.0386
32,0.0399,0.0607,2.2952,1.9802,4.2753,1.8847,-0.0363
33,0.0405,0.0594,2.4489,1.7661,4.2151,2.1119,-0.0345
34,0.0411,0.0592,2.4552,1.7592,4.2144,2.1249,-0.0329
35,0.0397,0.0585,2.4374,1.7654,4.2028,2.1095,-0.0318
36,0.0412,0.0567,2.3571,1.7337,4.0907,1.9789,-0.0304
37,0.0397,0.0559,2.2953,1.7403,4.0355,1.8778,-0.0289
38,0.0412,0.0561,2.3282,1.7670,4.0952,1.9473,-0.0276
39,0.0391,0.0554,2.2052,1.8238,4.0290,1.7507,-0.0269
40,0.0400,0.0551,2.3431,1.7644,4.1076,1.9566,-0.0254
41,0.0372,0.0548,2.4147,1.5180,3.9327,2.0577,-0.0247
42,0.0405,0.0544,2.3237,1.7538,4.0774,1.9196,-0.0235
43,0.0389,0.0540,2.1993,1.7375,3.9367,1.7713,-0.0231
44,0.0408,0.0539,2.3267,1.4844,3.8110,1.9229,-0.0221
