Elapsed Time (s),Position (mm),Force (N)
-0.036,66.1593,-0.878657
0.001,66.1593,-0.878657
0.026,66.1593,-0.878657
0.058,66.1593,-0.878657
0.089,66.1593,-0.723104
0.120,66.1593,-0.723104
0.151,66.1593,-0.723104
0.182,66.1593,-0.723104
0.214,66.1593,-0.723104
0.243,66.1593,-0.723104
0.274,66.1593,-0.723104
0.305,66.1593,-0.723104
0.336,66.1593,-0.486771
0.367,66.1593,-0.486771
0.398,66.1593,-0.486771
0.429,66.1593,-0.486771
0.461,66.1593,-0.486771
0.491,66.1593,-0.486771
0.522,66.1593,-0.486771
0.553,66.1593,-0.486771
0.584,66.1593,-0.486771
0.614,66.1593,-0.387106
0.646,66.1593,-0.387106
0.678,66.1593,-0.387106
0.708,66.1593,-0.387106
0.740,66.1593,-0.387106
0.771,66.1593,-0.387106
0.803,66.1593,-0.387106
0.833,66.1593,-0.336243
0.864,66.1593,-0.336243
0.895,66.1593,-0.336243
0.929,66.1593,-0.336243
0.957,66.1593,-0.336243
0.988,66.1593,-0.336243
1.018,66.1593,-0.336243
1.053,66.1593,-0.336243
1.082,66.1593,-0.307729
1.112,66.1593,-0.307729
1.143,66.1593,-0.307729
1.173,66.1593,-0.307729
1.204,66.1593,-0.307729
1.235,66.1593,-0.307729
1.266,66.1593,-0.307729
1.297,66.1593,-0.307729
1.328,66.1593,-0.289162
1.363,66.1593,-0.289162
1.389,66.1593,-0.289162
1.420,66.1593,-0.289162
1.451,66.1593,-0.289162
1.487,66.1593,-0.289162
1.513,66.1593,-0.289162
1.545,66.1593,-0.289162
1.577,66.1593,-0.276185
1.608,66.1593,-0.276185
1.640,66.1593,-0.276185
1.671,66.1593,-0.276185
1.702,66.1593,-0.276185
1.734,66.1593,-0.276185
1.764,66.1593,-0.276185
1.795,66.1593,-0.276185
1.825,66.1593,-0.276185
1.857,66.1593,-0.266436
1.888,66.1593,-0.266436
1.917,66.1593,-0.266436
1.951,66.1593,-0.266436
1.979,66.1593,-0.266436
2.010,66.1593,-0.266436
2.042,66.1593,-0.266436
2.073,66.1593,-0.266436
2.103,66.1593,-0.258682
2.134,66.1593,-0.258682
2.165,66.1593,-0.258682
2.197,66.1593,-0.258682
2.228,66.1593,-0.258682
2.258,66.1593,-0.258682
2.290,66.1593,-0.258682
2.320,66.1593,-0.258682
2.352,66.1593,-0.253130
2.383,66.1593,-0.253130
2.414,66.1593,-0.253130
2.448,66.1593,-0.253130
2.475,66.1593,-0.253130
2.506,66.1593,-0.253130
2.538,66.1593,-0.253130
2.569,66.1593,-0.253130
2.601,66.1593,-0.247757
2.632,66.1593,-0.247757
2.663,66.1593,-0.247757
2.694,66.1593,-0.247757
2.726,66.1593,-0.247757
2.757,66.1593,-0.247757
2.788,66.1593,-0.247757
2.820,66.1593,-0.243051
2.851,66.1593,-0.243051
2.882,66.1593,-0.243051
2.913,66.1593,-0.243051
2.944,66.1593,-0.243051
2.975,66.1593,-0.243051
3.011,66.1593,-0.243051
3.037,66.1593,-0.243051
3.068,66.1593,-0.243051
3.099,66.1593,-0.239946
3.129,66.1593,-0.239946
3.160,66.1593,-0.239946
3.191,66.1593,-0.239946
3.222,66.1593,-0.239946
3.252,66.1593,-0.239946
3.283,66.1593,-0.239946
3.314,66.1593,-0.239946
3.344,66.1593,-0.237311
3.375,66.1593,-0.237311
3.407,66.1593,-0.237311
3.437,66.1593,-0.237311
3.468,66.1593,-0.237311
3.499,66.1593,-0.237311
3.530,66.1593,-0.237311
3.562,66.1593,-0.233509
3.592,66.1593,-0.233509
3.622,66.1593,-0.233509
3.653,66.1593,-0.233509
3.685,66.1593,-0.233509
3.715,66.1593,-0.233509
3.746,66.1593,-0.233509
3.778,66.1593,-0.233509
3.810,66.1593,-0.233509
3.840,66.1593,-0.229566
3.871,66.1593,-0.229566
3.903,66.1593,-0.229566
3.933,66.1593,-0.229566
3.963,66.1593,-0.229566
3.995,66.1593,-0.229566
4.026,66.1593,-0.229566
4.058,66.1593,-0.229566
4.090,66.1593,-0.225633
4.120,66.1593,-0.225633
4.152,66.1592,-0.225633
4.183,66.1582,-0.225633
4.213,66.1566,-0.225633
4.244,66.1545,-0.225633
4.275,66.1514,-0.225633
4.305,66.1477,-0.225633
4.336,66.1432,-0.225633
4.367,66.1381,-0.216796
4.398,66.1320,-0.216796
4.428,66.1255,-0.216796
4.459,66.1183,-0.216796
4.490,66.1102,-0.216796
4.522,66.1010,-0.216796
4.552,66.0918,-0.216796
4.585,66.0809,-0.216796
4.614,66.0704,0.346265
4.646,66.0584,0.346265
4.677,66.0461,0.346265
4.708,66.0326,0.346265
4.739,66.0188,0.346265
4.769,66.0045,0.346265
4.802,65.9877,0.346265
4.832,65.9730,0.346265
4.863,65.9557,0.456526
4.895,65.9376,0.456526
4.927,65.9186,0.456526
4.957,65.8997,0.456526
4.994,65.8767,0.456526
5.035,65.8491,0.456526
5.066,65.8279,0.013909
5.096,65.8058,0.013909
