Layer,Peak_Peel_Force_N,Work_of_Adhesion_mJ,Time_to_Peel_Start_s,Peel_Time_s,Total_Peel_Time_s,Distance_to_Peel_Start_mm,Peak_Retraction_Force_N
1,0.0169,0.0120,109.3303,8.4947,117.8250,2.7296,-0.0313
2,0.0106,0.0133,46.8521,3.2362,50.0883,2.3416,-0.0201
3,0.0168,0.0171,54.5810,3.9817,58.5627,2.7276,-0.0189
4,0.0172,0.0177,56.6299,3.4855,60.1154,2.8295,-0.0183
5,0.0224,0.0230,60.1209,6.9674,67.0884,3.0041,-0.0164
6,0.0423,0.0380,43.2671,13.4438,56.7110,3.2404,-0.0138
7,0.0307,0.0296,40.6994,14.9930,55.6924,3.0459,-0.0401
8,0.0296,0.0279,48.2107,10.2038,58.4146,3.6118,-0.0301
9,0.0355,0.0344,37.1355,8.7811,45.9166,3.7069,-0.0408
10,0.0336,0.0335,36.3868,9.7805,46.1673,3.6268,-0.0602
11,0.0387,0.0367,29.9845,8.0188,38.0033,3.7347,-0.1201
12,0.0456,0.0401,0.4344,0.4974,0.9318,0.0428,-0.1609
13,0.1000,0.0438,0.3734,0.5637,0.9372,0.0394,-0.1707
14,0.1030,0.0436,23.7715,8.7080,32.4795,3.5498,-0.1817
15,0.1587,0.0493,0.5599,0.2538,0.8137,0.0774,-0.1699
16,0.0489,0.0483,19.5251,5.9656,25.4907,3.8688,-0.1861
17,0.1409,0.0556,0.3099,0.5617,0.8716,0.0334,-0.1855
18,0.1303,0.0536,0.5589,0.2518,0.8107,0.0846,-0.1973
19,0.1403,0.0561,0.3722,0.4979,0.8701,0.0468,-0.2098
20,0.1411,0.0552,0.6264,0.2484,0.8748,0.0902,-0.2011
21,0.1359,0.0525,0.6849,0.2486,0.9335,0.1005,-0.1988
22,0.0602,0.0486,0.4356,0.5597,0.9953,0.0544,-0.1902
23,0.1202,0.0509,0.3726,0.4971,0.8697,0.0479,-0.1766
24,0.1389,0.0521,0.3750,0.4945,0.8695,0.0424,-0.1739
25,0.0491,0.0499,19.5556,3.7279,23.2835,3.8721,-0.1928
26,0.0872,0.0516,0.5586,0.2490,0.8076,0.0831,-0.1613
27,0.2062,0.0614,0.4370,0.4957,0.9327,0.0536,-0.2138
28,0.1009,0.0579,0.4349,0.4986,0.9336,0.0605,-0.1341
29,0.1885,0.0759,0.6205,0.2479,0.8684,0.0982,-0.1509
30,0.0582,0.0754,20.5407,9.7652,30.3060,4.0501,-0.1607
31,0.2301,0.0918,0.6174,0.2505,0.8679,0.0926,-0.2017
32,0.0729,0.0904,0.7443,0.2479,0.9922,0.1186,-0.2673
33,0.5100,0.1185,0.4362,0.4979,0.9340,0.0608,-0.2971
34,0.5686,0.1239,0.4987,0.4380,0.9367,0.0727,-0.2893
35,0.4694,0.1271,0.6847,0.2500,0.9347,0.1090,-0.2797
36,0.2611,0.1194,0.6253,0.2482,0.8735,0.0944,-0.3032
37,0.2403,0.1230,0.6820,0.1882,0.8702,0.1036,-0.3367
38,0.1112,0.1241,0.5617,0.4972,1.0588,0.0790,-0.2738
39,0.2014,0.1306,0.6808,0.4980,1.1787,0.1018,-0.3472
40,0.3414,0.1389,0.6829,0.2469,0.9299,0.1086,-0.3565
41,0.3534,0.1453,0.7461,0.2492,0.9953,0.1122,-0.3185
42,0.1380,0.1402,0.6285,0.4987,1.1272,0.0895,-0.2643
43,0.1102,0.1443,20.9099,12.4431,33.3530,4.0501,-0.2455
44,0.1149,0.1512,20.8947,12.4538,33.3484,4.0500,-0.2449
45,0.1199,0.1573,20.7701,12.9915,33.7615,4.0500,-0.1787
46,0.1741,0.1665,0.6841,0.5004,1.1844,0.1007,-0.2077
47,0.1280,0.1697,20.6675,12.7559,33.4234,4.0489,-0.1849
48,0.1314,0.1728,20.8474,13.5037,34.3511,4.0500,-0.1530
49,0.1357,0.1782,20.8326,13.2530,34.0856,4.0381,-0.1269
50,0.1403,0.1852,20.7150,13.5129,34.2279,4.0494,-0.1261
51,0.1450,0.1917,20.8577,14.0107,34.8684,4.0500,-0.1043
52,0.1500,0.1988,20.7334,14.0134,34.7468,4.0496,-0.0898
53,0.1552,0.2065,20.7742,13.9998,34.7739,4.0479,-0.0785
54,0.1603,0.2145,20.8505,14.2423,35.0929,4.0398,-0.0699
55,0.1658,0.2229,20.8474,14.2461,35.0935,4.0420,-0.0626
56,0.1710,0.2308,20.8574,14.7510,35.6084,4.0500,-0.0604
57,0.1764,0.2399,20.8430,14.4932,35.3361,4.0416,-0.0498
58,0.1810,0.2478,20.9702,15.0125,35.9827,4.0500,-0.0566
59,0.1865,0.2568,20.7349,14.9457,35.6806,4.0482,-0.0543
60,0.1921,0.2660,20.9011,15.4386,36.3397,4.0500,-0.0533
61,0.1979,0.2749,20.8413,15.6937,36.5350,4.0500,-0.0479
62,0.2034,0.2840,20.7860,15.7961,36.5822,4.0500,-0.0393
63,0.2066,0.2911,20.8409,15.9861,36.8270,4.0501,-0.0333
64,0.2087,0.2980,20.7664,16.2370,37.0034,4.0500,-0.0297
65,0.2132,0.3074,20.7812,16.2260,37.0073,4.0500,-0.0250
66,0.2187,0.3172,20.7002,16.4714,37.1715,4.0500,-0.0210
67,0.2250,0.3275,20.6538,16.7277,37.3815,4.0500,-0.0205
68,0.2310,0.3373,20.8604,16.7447,37.6051,4.0500,-0.0180
69,0.2368,0.3475,20.6552,17.0456,37.7008,4.0500,-0.0185
70,0.2427,0.3578,20.7265,17.0016,37.7282,4.0501,-0.0191
71,0.2483,0.3682,20.7775,16.9916,37.7691,4.0500,-0.0208
72,0.2541,0.3795,20.7131,17.2665,37.9796,4.0500,-0.0215
