Elapsed Time (s),Position (mm),Force (N)
-0.010,72.6307,0.136085
0.051,72.6307,0.136085
0.113,72.6307,0.138485
0.175,72.6307,0.138485
0.237,72.6307,0.138485
0.299,72.6307,0.138485
0.362,72.6307,0.140208
0.424,72.6307,0.140208
0.486,72.6307,0.140208
0.549,72.6307,0.140208
0.610,72.6307,0.141573
0.672,72.6307,0.141573
0.735,72.6307,0.141573
0.797,72.6307,0.141573
0.859,72.6307,0.142750
0.922,72.6307,0.142750
0.984,72.6307,0.142750
1.049,72.6307,0.142750
1.109,72.6307,0.143767
1.176,72.6307,0.143767
1.235,72.6307,0.143767
1.298,72.6307,0.143767
1.361,72.6307,0.143767
1.423,72.6307,0.144633
1.486,72.6307,0.144633
1.549,72.6307,0.144633
1.612,72.6307,0.145461
1.673,72.6307,0.145461
1.737,72.6307,0.145461
1.800,72.6307,0.145461
1.863,72.6307,0.146280
1.925,72.6307,0.146280
1.988,72.6307,0.146280
2.050,72.6307,0.146280
2.113,72.6307,0.146911
2.175,72.6307,0.146911
2.237,72.6307,0.146911
2.299,72.6307,0.146911
2.361,72.6307,0.147485
2.422,72.6307,0.147485
2.483,72.6307,0.147485
2.546,72.6307,0.147485
2.608,72.6307,0.148022
2.671,72.6307,0.148022
2.733,72.6307,0.148022
2.797,72.6307,0.148022
2.860,72.6307,0.148568
2.923,72.6307,0.148568
2.986,72.6307,0.148568
3.049,72.6307,0.148568
3.111,72.6307,0.149114
3.171,72.6307,0.149114
3.234,72.6307,0.149114
3.297,72.6307,0.149114
3.360,72.6307,0.149575
3.422,72.6307,0.149575
3.483,72.6307,0.149575
3.545,72.6307,0.149575
3.607,72.6307,0.150074
3.673,72.6307,0.150074
3.732,72.6307,0.150074
3.794,72.6307,0.150074
3.857,72.6307,0.150507
3.919,72.6307,0.150507
3.981,72.6307,0.150507
4.043,72.6307,0.150507
4.107,72.6307,0.150903
4.169,72.6307,0.150903
4.232,72.6286,0.150903
4.294,72.6237,0.150903
4.357,72.6156,0.151477
4.419,72.6048,0.151477
4.481,72.5924,0.151477
4.544,72.5799,0.151477
4.607,72.5672,0.157097
4.668,72.5551,0.157097
4.731,72.5423,0.157097
4.794,72.5298,0.157097
4.856,72.5175,0.168621
4.922,72.5042,0.168621
4.981,72.4923,0.168621
5.044,72.4799,0.168621
5.105,72.4676,0.180294
5.167,72.4552,0.180294
5.231,72.4426,0.180294
5.293,72.4299,0.180294
5.356,72.4174,0.190829
5.418,72.4050,0.190829
5.481,72.3925,0.190829
5.544,72.3798,0.190829
5.606,72.3674,0.200789
5.667,72.3553,0.200789
5.729,72.3427,0.200789
5.792,72.3301,0.200789
5.855,72.3176,0.210232
5.916,72.3052,0.210232
5.978,72.2928,0.210232
6.041,72.2804,0.210232
6.104,72.2677,0.210232
6.166,72.2554,0.219336
6.228,72.2430,0.219336
6.291,72.2304,0.219336
6.353,72.2181,0.219336
6.415,72.2056,0.228082
6.476,72.1933,0.228082
6.538,72.1811,0.228082
6.598,72.1689,0.228082
6.661,72.1563,0.236668
6.723,72.1441,0.236668
6.786,72.1314,0.236668
6.848,72.1190,0.245169
6.912,72.1062,0.245169
6.974,72.0938,0.245169
7.037,72.0812,0.245169
7.098,72.0690,0.253689
7.159,72.0569,0.253689
7.221,72.0445,0.253689
7.283,72.0321,0.253689
7.345,72.0198,0.262227
