Elapsed Time (s),Position (mm),Force (N)
-0.014,66.2001,-0.025377
0.016,66.2001,-0.029003
0.047,66.2001,-0.029003
0.078,66.2001,-0.025377
0.108,66.2001,-0.020544
0.139,66.2001,-0.019335
0.170,66.2001,-0.024169
0.202,66.2001,-0.025377
0.233,66.2001,-0.026586
0.264,66.2001,-0.029003
0.285,66.2001,-0.026586
0.311,66.2001,-0.022961
0.342,66.2001,-0.024169
0.375,66.2001,-0.026586
0.404,66.2001,-0.027794
0.434,66.2001,-0.024169
0.465,66.2001,-0.024169
0.496,66.2001,-0.025377
0.527,66.2001,-0.026586
0.559,66.2001,-0.027794
0.591,66.2001,-0.029003
0.622,66.2001,-0.029003
0.646,66.2001,-0.024169
0.669,66.2001,-0.024169
0.701,66.2001,-0.019335
0.732,66.2001,-0.024169
0.764,66.2001,-0.024169
0.795,66.2001,-0.022961
0.826,66.2001,-0.020544
0.857,66.2001,-0.024169
0.877,66.2001,-0.024169
0.904,66.2001,-0.025377
0.925,66.2001,-0.024169
0.951,66.2001,-0.026586
0.981,66.2001,-0.026586
1.012,66.2001,-0.024169
1.043,66.2001,-0.022961
1.073,66.2001,-0.024169
1.105,66.2001,-0.025377
1.137,66.2001,-0.026586
1.167,66.2001,-0.020544
1.198,66.2001,-0.020544
1.229,66.2001,-0.020544
1.261,66.2001,-0.024169
1.292,66.2001,-0.022961
1.324,66.2001,-0.022961
1.353,66.2001,-0.024169
1.374,66.2001,-0.021752
1.401,66.2001,-0.021752
1.432,66.2001,-0.024169
1.454,66.2001,-0.026586
1.478,66.2001,-0.026586
1.509,66.2001,-0.019335
1.541,66.2001,-0.020544
1.572,66.2001,-0.022961
1.602,66.2001,-0.020544
1.634,66.2001,-0.022961
1.665,66.2001,-0.019335
1.697,66.2001,-0.020544
1.732,66.2001,-0.025377
1.758,66.2001,-0.020544
1.790,66.2001,-0.021752
1.820,66.2001,-0.021752
1.851,66.2001,-0.024169
1.883,66.2001,-0.021752
1.914,66.2001,-0.024169
1.945,66.2001,-0.027794
1.975,66.2001,-0.024169
1.996,66.2001,-0.019335
2.022,66.2001,-0.019335
2.052,66.2001,-0.022961
2.084,66.2001,-0.021752
2.114,66.2001,-0.019335
2.145,66.2001,-0.024169
2.176,66.2001,-0.027794
2.206,66.2001,-0.018127
2.238,66.2001,-0.021752
2.260,66.2001,-0.025377
2.283,66.2001,-0.022961
2.315,66.2001,-0.024169
2.346,66.2001,-0.022961
2.370,66.2001,-0.022961
2.393,66.2001,-0.025377
2.424,66.2001,-0.025377
2.444,66.2001,-0.022961
2.471,66.2001,-0.022961
2.491,66.2001,-0.022961
2.517,66.2001,-0.027794
2.548,66.2001,-0.024169
2.580,66.2001,-0.018127
2.610,66.2001,-0.021752
2.641,66.2001,-0.021752
2.672,66.2001,-0.020544
2.703,66.2001,-0.020544
2.734,66.2001,-0.018127
2.766,66.2001,-0.016918
2.796,66.2001,-0.020544
2.827,66.2001,-0.024169
2.859,66.2001,-0.025377
2.890,66.2001,-0.016918
2.920,66.2001,-0.015710
2.951,66.2001,-0.025377
2.982,66.2001,-0.022961
3.003,66.2001,-0.019335
3.028,66.2001,-0.021752
3.050,66.2001,-0.021752
3.075,66.2001,-0.025377
3.106,66.2001,-0.022961
3.137,66.2001,-0.019335
3.168,66.2001,-0.024169
3.198,66.2001,-0.027794
3.229,66.2001,-0.022961
3.263,66.2001,-0.019335
3.290,66.2001,-0.020544
3.321,66.2001,-0.020544
3.352,66.2001,-0.016918
3.383,66.2001,-0.016918
3.403,66.2001,-0.016918
3.431,66.2001,-0.022961
3.462,66.2001,-0.022961
3.493,66.2001,-0.018127
3.514,66.2001,-0.020544
3.540,66.2001,-0.020544
3.570,66.2001,-0.019335
3.593,66.2001,-0.019335
3.618,66.2001,-0.020544
3.640,66.2001,-0.020544
3.663,66.2001,-0.024169
3.694,66.2001,-0.020544
3.725,66.2001,-0.019335
3.756,66.2001,-0.020544
3.788,66.2001,-0.019335
3.818,66.2001,-0.019335
3.848,66.2001,-0.018127
3.879,66.2001,-0.019335
3.910,66.2001,-0.024169
3.941,66.2001,-0.024169
3.972,66.2001,-0.026586
4.003,66.2001,-0.021752
4.035,66.2001,-0.020544
4.056,66.2001,-0.020544
4.082,66.2001,-0.020544
4.113,66.2001,-0.019335
4.144,66.2001,-0.022961
4.176,66.2001,-0.018127
4.207,66.2001,-0.018127
4.239,66.2001,-0.020544
4.270,66.2001,-0.022961
4.301,66.2001,-0.020544
4.332,66.2001,-0.019335
4.367,66.2001,-0.019335
4.393,66.2001,-0.020544
4.425,66.2001,-0.022961
4.455,66.2001,-0.022961
4.487,66.2001,-0.021752
4.517,66.2001,-0.016918
4.548,66.2001,-0.024169
4.580,66.2001,-0.024169
4.612,66.2001,-0.025377
4.632,66.2001,-0.021752
4.660,66.2001,-0.019335
4.687,66.2001,-0.021752
4.708,66.2001,-0.021752
4.734,66.2001,-0.024169
4.765,66.2001,-0.021752
4.796,66.2001,-0.021752
4.828,66.2001,-0.020544
4.860,66.2001,-0.016918
4.892,66.2001,-0.015710
4.924,66.2001,-0.015710
4.955,66.2001,-0.014501
4.986,66.2001,-0.019335
5.017,66.2001,-0.020544
5.049,66.2001,-0.019335
5.079,66.2001,-0.021752
5.112,66.2001,-0.020544
5.142,66.2001,-0.019335
5.173,66.2001,-0.022961
5.204,66.2001,-0.020544
5.235,66.2001,-0.014501
5.266,66.2001,-0.022961
5.286,66.2001,-0.026586
5.312,66.2001,-0.024169
5.343,66.2001,-0.022961
5.364,66.2001,-0.019335
5.390,66.2001,-0.021752
5.421,66.2001,-0.024169
5.451,66.2001,-0.019335
5.483,66.2001,-0.021752
5.514,66.2001,-0.020544
5.545,66.2001,-0.020544
5.576,66.2001,-0.016918
5.607,66.2001,-0.020544
5.640,66.2001,-0.022961
5.669,66.2001,-0.018127
5.700,66.2001,-0.015710
5.730,66.2001,-0.021752
