Layer_Number,Cross_Sectional_Area_mm2
1,4.9974
2,4.9974
3,4.9974
4,4.9974
5,4.9974
6,4.9974
7,4.9974
8,4.9974
9,4.9974
10,4.9974
11,4.9974
12,4.9974
13,4.9974
14,4.9974
15,4.9974
16,4.9974
17,4.9974
18,4.9974
19,4.9974
20,4.9974
21,4.9974
22,4.9974
23,4.9974
24,4.9974
25,4.9974
26,4.9974
27,4.9974
28,4.9974
29,4.9974
30,4.9974
31,4.9974
32,4.9974
33,4.9974
34,4.9974
35,4.9974
36,4.9974
37,4.9974
38,4.9974
39,4.9974
40,4.9974
41,4.9974
42,4.9974
43,4.9974
44,4.9974
45,4.9974
46,4.9974
47,4.9974
48,4.9974
49,4.9974
50,4.9974
51,9.9991
52,9.9991
53,9.9991
54,9.9991
55,9.9991
56,10.3994
57,10.3994
58,10.3994
59,10.3994
60,10.3994
61,10.8116
62,10.8116
63,10.8116
64,10.8116
65,10.8116
66,11.2430
67,11.2430
68,11.2430
69,11.2430
70,11.2430
71,11.6900
72,11.6900
73,11.6900
74,11.6900
75,11.6900
76,12.1562
77,12.1562
78,12.1562
79,12.1562
80,12.1562
81,12.6374
82,12.6374
83,12.6374
84,12.6374
85,12.6374
86,13.1408
87,13.1408
88,13.1408
89,13.1408
90,13.1408
91,13.6642
92,13.6642
93,13.6642
94,13.6642
95,13.6642
96,14.2088
97,14.2088
98,14.2088
99,14.2088
100,14.2088
101,14.7759
102,14.7759
103,14.7759
104,14.7759
105,14.7759
106,15.3636
107,15.3636
108,15.3636
109,15.3636
110,15.3636
111,15.9728
112,15.9728
113,15.9728
114,15.9728
115,15.9728
116,16.6093
117,16.6093
118,16.6093
119,16.6093
120,16.6093
121,17.2704
122,17.2704
123,17.2704
124,17.2704
125,17.2704
126,17.9581
127,17.9581
128,17.9581
129,17.9581
130,17.9581
131,18.6738
132,18.6738
133,18.6738
134,18.6738
135,18.6738
136,19.4143
137,19.4143
138,19.4143
139,19.4143
140,19.4143
141,20.1885
142,20.1885
143,20.1885
144,20.1885
145,20.1885
146,20.9891
147,20.9891
148,20.9891
149,20.9891
150,20.9891
151,21.8261
152,21.8261
153,21.8261
154,21.8261
155,21.8261
156,22.6967
157,22.6967
158,22.6967
159,22.6967
160,22.6967
161,23.6008
162,23.6008
163,23.6008
164,23.6008
165,23.6008
166,24.5377
167,24.5377
168,24.5377
169,24.5377
170,24.5377
171,25.5141
172,25.5141
173,25.5141
174,25.5141
175,25.5141
176,26.5297
177,26.5297
178,26.5297
179,26.5297
180,26.5297
181,27.5848
182,27.5848
183,27.5848
184,27.5848
185,27.5848
186,28.6849
187,28.6849
188,28.6849
189,28.6849
190,28.6849
191,29.8247
192,29.8247
193,29.8247
194,29.8247
195,29.8247
196,31.0116
197,31.0116
198,31.0116
199,31.0116
200,31.0116
201,32.2456
202,32.2456
203,32.2456
204,32.2456
205,32.2456
206,33.5320
207,33.5320
208,33.5320
209,33.5320
210,33.5320
211,34.8616
212,34.8616
213,34.8616
214,34.8616
215,34.8616
216,36.2525
217,36.2525
218,36.2525
219,36.2525
220,36.2525
221,37.6933
222,37.6933
223,37.6933
224,37.6933
225,37.6933
226,39.1988
227,39.1988
228,39.1988
229,39.1988
230,39.1988
231,40.7559
232,40.7559
233,40.7559
234,40.7559
235,40.7559
236,42.3724
237,42.3724
238,42.3724
239,42.3724
240,42.3724
241,44.0637
242,44.0637
243,44.0637
244,44.0637
245,44.0637
246,45.8127
247,45.8127
248,45.8127
249,45.8127
250,45.8127
251,47.6353
252,47.6353
253,47.6353
254,47.6353
255,47.6353
256,49.5333
257,49.5333
258,49.5333
259,49.5333
260,49.5333
261,51.5091
262,51.5091
263,51.5091
264,51.5091
265,51.5091
266,53.5531
267,53.5531
268,53.5531
269,53.5531
270,53.5531
271,55.6893
272,55.6893
273,55.6893
274,55.6893
275,55.6893
276,57.9015
277,57.9015
278,57.9015
279,57.9015
280,57.9015
281,60.2050
282,60.2050
283,60.2050
284,60.2050
285,60.2050
286,62.6023
287,62.6023
288,62.6023
289,62.6023
290,62.6023
291,65.0996
292,65.0996
293,65.0996
294,65.0996
295,65.0996
296,67.6883
297,67.6883
298,67.6883
299,67.6883
300,67.6883
301,70.3830
302,70.3830
303,70.3830
304,70.3830
305,70.3830
306,73.1835
307,73.1835
308,73.1835
309,73.1835
310,73.1835
311,76.0887
312,76.0887
313,76.0887
314,76.0887
315,76.0887
316,79.1195
317,79.1195
318,79.1195
319,79.1195
320,79.1195
321,82.2748
322,82.2748
323,82.2748
324,82.2748
325,82.2748
326,85.5438
327,85.5438
328,85.5438
329,85.5438
330,85.5438
331,88.9535
332,88.9535
333,88.9535
334,88.9535
335,88.9535
336,92.4908
337,92.4908
338,92.4908
339,92.4908
340,92.4908
341,96.1748
342,96.1748
343,96.1748
344,96.1748
345,96.1748
346,99.9981
347,99.9981
348,99.9981
349,99.9981
350,99.9981
