folder,fluid_type,gap,test_type,condition_label,layer,speed_um_s,speed_mm_min,peak_force_N,work_of_adhesion_mJ,peel_distance_mm,peak_retraction_force_N,distance_to_peak_mm,propagation_distance_mm
2p5PEO_1mm_Ramped_BPAGDA,2p5PEO,1mm,Ramped,2p5PEO_1mm,110,2073.728814,124.42372884,0.19847305627705597,0.20855922311168806,-1.9023000000000039,0.19772516883116853,-1.3071000000000055,-0.5951999999999984
2p5PEO_1mm_Ramped_BPAGDA,2p5PEO,1mm,Ramped,2p5PEO_1mm,111,2073.728814,124.42372884,0.20760717748917717,0.21137308617424247,-1.9823000000000022,0.20522675324675294,-1.400100000000002,-0.5822000000000003
2p5PEO_1mm_Ramped_BPAGDA,2p5PEO,1mm,Ramped,2p5PEO_1mm,112,2073.728814,124.42372884,0.2241122727272724,0.24346591731969697,-2.112099999999998,0.22270496969696937,-1.4799000000000007,-0.6321999999999974
2p5PEO_1mm_Ramped_BPAGDA,2p5PEO,1mm,Ramped,2p5PEO_1mm,113,2073.728814,124.42372884,0.265351281385281,0.3061553843714287,-2.2121000000000066,0.2668001774891771,-1.681900000000006,-0.5302000000000007
2p5PEO_1mm_Ramped_BPAGDA,2p5PEO,1mm,Ramped,2p5PEO_1mm,114,2073.728814,124.42372884,0.20360536363636333,0.2116958967889609,-2.0540999999999983,0.20333367532467503,-1.3861999999999952,-0.667900000000003
2p5PEO_1mm_Ramped_BPAGDA,2p5PEO,1mm,Ramped,2p5PEO_1mm,125,2579.661017,154.77966102,0.2628084112554109,0.30807043300000014,-2.3331000000000017,0.25850833333333295,-1.590600000000002,-0.7424999999999997
2p5PEO_1mm_Ramped_BPAGDA,2p5PEO,1mm,Ramped,2p5PEO_1mm,126,2579.661017,154.77966102,0.1996711341991339,0.22545019987164508,-2.041000000000004,0.19812284415584386,-1.3381000000000043,-0.7028999999999996
2p5PEO_1mm_Ramped_BPAGDA,2p5PEO,1mm,Ramped,2p5PEO_1mm,127,2579.661017,154.77966102,0.213210069264069,0.2555383080088744,-2.1274999999999977,0.21239918181818154,-1.431199999999997,-0.6963000000000008
2p5PEO_1mm_Ramped_BPAGDA,2p5PEO,1mm,Ramped,2p5PEO_1mm,128,2579.661017,154.77966102,0.2313474675324672,0.27253005582229445,-2.1536000000000044,0.23243536796536765,-1.4965000000000046,-0.6570999999999998
2p5PEO_1mm_Ramped_BPAGDA,2p5PEO,1mm,Ramped,2p5PEO_1mm,129,2579.661017,154.77966102,0.1990326839826837,0.2392094990101731,-2.0784999999999982,0.19669936363636337,-1.286999999999999,-0.7914999999999992
2p5PEO_1mm_Ramped_BPAGDA,2p5PEO,1mm,Ramped,2p5PEO_1mm,140,3085.59322,185.13559320000002,0.201502043290043,0.25729936871168885,-2.145700000000005,0.20304569264069236,-1.5048999999999992,-0.6408000000000058
2p5PEO_1mm_Ramped_BPAGDA,2p5PEO,1mm,Ramped,2p5PEO_1mm,141,3085.59322,185.13559320000002,0.17683621212121187,0.22261070683116876,-2.129100000000001,0.17554416883116858,-1.2830000000000013,-0.8460999999999999
2p5PEO_1mm_Ramped_BPAGDA,2p5PEO,1mm,Ramped,2p5PEO_1mm,142,3085.59322,185.13559320000002,0.22751793939393905,0.3104896329337665,-2.297699999999999,0.2273979610389607,-1.5322999999999993,-0.7653999999999996
