Radius (mm),Fracture Force (N),Stefan Force (N),Total Force (N),Stefan/Total (%)
1,0.8145165743055661,0.004900884539600078,0.8194174588451661,0.5980937416816902
2,1.1519003861606045,0.07841415263360124,1.2303145387942058,6.373504511330297
3,1.4107840903041913,0.39697164770760623,1.8077557380117975,21.95936316840033
4,1.6290331486111322,1.2546264421376199,2.883659590748752,43.50813272699264
5,1.8213144289475045,3.0630528372500483,4.884367266197553,62.7113538010956
6,1.9951499940883768,6.3515463633217,8.346696357410076,76.09653078709265
7,2.1550082943527906,11.767023779579786,13.922032073932577,84.5208782531984
8,2.303800772321209,20.074023074201918,22.37782384652313,89.70498298618453
9,2.4435497229166985,32.15470346431612,34.59825318723282,92.93736100001026
10,2.5757275667633697,49.00884539600077,51.58457296276414,95.00678707057895
