Layer	File	Thickness	Time	Intensity	Step Speed	Overstep Distance	Acceleration	Pause	Sandwich Speed
1	1.png	50	20	120	10	100	100	5	500
2	2.png	50	1	120	10	100	100	5	500
3	3.png	50	1	120	10	100	100	5	500
4	4.png	50	1	120	10	100	100	5	500
5	5.png	50	1	120	10	100	100	5	500
6	6.png	50	1	120	10	100	100	5	500
7	7.png	50	1	120	10	100	100	5	500
8	8.png	50	1	120	10	100	100	5	500
9	9.png	50	1	120	10	100	100	5	500
10	10.png	50	1	120	10	100	100	5	500
11	11.png	50	1	120	10	100	100	5	500
12	12.png	50	1	120	10	100	100	5	500
13	13.png	50	1	120	10	100	100	5	500
14	14.png	50	1	120	10	100	100	5	500
15	15.png	50	1	120	10	100	100	5	500
16	16.png	50	1	120	10	100	100	5	500
17	17.png	50	1	120	10	100	100	5	500
18	18.png	50	1	120	10	100	100	5	500
19	19.png	50	1	120	10	100	100	5	500
20	20.png	50	1	120	10	100	100	5	500
21	21.png	50	1	120	10	100	100	5	500
22	22.png	50	1	120	10	100	100	5	500
23	23.png	50	1	120	10	100	100	5	500
24	24.png	50	1	120	10	100	100	5	500
25	25.png	50	1	120	10	100	100	5	500
26	26.png	50	1	120	10	100	100	5	500
27	27.png	50	1	120	10	100	100	5	500
28	28.png	50	1	120	10	100	100	5	500
29	29.png	50	1	120	10	100	100	5	500
30	30.png	50	1	120	10	100	100	5	500
31	31.png	50	1	120	10	100	100	5	500
32	32.png	50	1	120	10	100	100	5	500
33	33.png	50	1	120	10	100	100	5	500
34	34.png	50	1	120	10	100	100	5	500
35	35.png	50	1	120	10	100	100	5	500
36	36.png	50	1	120	10	100	100	5	500
37	37.png	50	1	120	10	100	100	5	500
38	38.png	50	1	120	10	100	100	5	500
39	39.png	50	1	120	10	100	100	5	500
40	40.png	50	1	120	10	100	100	5	500
41	41.png	50	1	120	10	100	100	5	500
42	42.png	50	1	120	10	100	100	5	500
43	43.png	50	1	120	10	100	100	5	500
44	44.png	50	1	120	10	100	100	5	500
45	45.png	50	1	120	10	100	100	5	500
46	46.png	50	1	120	10	100	100	5	500
47	47.png	50	1	120	10	100	100	5	500
48	48.png	50	1	120	10	100	100	5	500
49	49.png	50	1	120	10	100	100	5	500
50	50.png	50	1	120	10	100	100	5	500
51	51.png	50	1	120	10	100	100	5	500
52	52.png	50	1	120	10	100	100	5	500
53	53.png	50	1	120	10	100	100	5	500
54	54.png	50	1	120	10	100	100	5	500
55	55.png	50	1	120	10	100	100	5	500
56	56.png	50	1	120	10	100	100	5	500
57	57.png	50	1	120	10	100	100	5	500
58	58.png	50	1	120	10	100	100	5	500
59	59.png	50	1	120	10	100	100	5	500
60	60.png	50	1	120	10	100	100	5	500
61	61.png	50	1	120	10	100	100	5	500
62	62.png	50	1	120	10	100	100	5	500
63	63.png	50	1	120	10	100	100	5	500
64	64.png	50	1	120	10	100	100	5	500
65	65.png	50	1	120	10	100	100	5	500
66	66.png	50	1	120	10	100	100	5	500
67	67.png	50	1	120	10	100	100	5	500
68	68.png	50	1	120	10	100	100	5	500
69	69.png	50	1	120	10	100	100	5	500
70	70.png	50	1	120	10	100	100	5	500
71	71.png	50	1	120	10	100	100	5	500
72	72.png	50	1	120	10	100	100	5	500
73	73.png	50	1	120	10	100	100	5	500
74	74.png	50	1	120	10	100	100	5	500
75	75.png	50	1	120	10	100	100	5	500
76	76.png	50	1	120	10	100	100	5	500
77	77.png	50	1	120	10	100	100	5	500
78	78.png	50	1	120	10	100	100	5	500
79	79.png	50	1	120	10	100	100	5	500
80	80.png	50	1	120	10	100	100	5	500
81	81.png	50	1	120	10	100	100	5	500
82	82.png	50	1	120	10	100	100	5	500
83	83.png	50	1	120	10	100	100	5	500
84	84.png	50	1	120	10	100	100	5	500
85	85.png	50	1	120	10	100	100	5	500
86	86.png	50	1	120	10	100	100	5	500
87	87.png	50	1	120	10	100	100	5	500
88	88.png	50	1	120	10	100	100	5	500
89	89.png	50	1	120	10	100	100	5	500
90	90.png	50	1	120	10	100	100	5	500
91	91.png	50	1	120	10	100	100	5	500
92	92.png	50	1	120	10	100	100	5	500
93	93.png	50	1	120	10	100	100	5	500
94	94.png	50	1	120	10	100	100	5	500
95	95.png	50	1	120	10	100	100	5	500
96	96.png	50	1	120	10	100	100	5	500
97	97.png	50	1	120	10	100	100	5	500
98	98.png	50	1	120	10	100	100	5	500
99	99.png	50	1	120	10	100	100	5	500
100	100.png	50	1	120	10	100	100	5	500
